Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
default_nodes_T20_S1,Greedy,1,1,A,4.47213595499958,6.0,10.47213595499958,11.0,0.05,300,1,2,Task Executed
default_nodes_T20_S1,Greedy,2,2,A,5.5901699437494745,6.0,11.590169943749475,12.0,0.05,200,2,1,Task Executed
default_nodes_T20_S1,Greedy,3,9,A,4.79157423749955,6.0,10.79157423749955,11.0,0.05,300,1,2,Task Executed
default_nodes_T20_S1,Greedy,4,10,A,4.192627457812106,6.0,10.192627457812106,11.0,0.05,200,2,1,Task Executed
default_nodes_T20_S1,Greedy,1,8,B,5.656854249492381,6.0,11.65685424949238,23.0,0.05,150,0,1,Task Executed
default_nodes_T20_S1,Greedy,3,13,B,6.0609152673132645,6.0,12.060915267313264,24.0,0.05,150,0,1,Task Executed
default_nodes_T20_S1,Greedy,4,Idle,Base,4.192627457812106,2.0,6.192627457812106,18.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,20.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,4,7,B,9.375,6.0,15.375,34.0,0.04160091925669622,100,3,0,Task Executed
default_nodes_T20_S1,Greedy,2,12,B,12.5,6.0,18.5,39.0,0.03751300527975589,300,3,0,Task Executed
default_nodes_T20_S1,Greedy,1,Idle,Base,10.0,2.0,12.0,35.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,3,Idle,Base,10.714285714285714,2.0,12.714285714285714,37.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,4,Idle,Base,9.375,2.0,11.375,46.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,1,15,C,12.649110640673518,6.0,18.64911064067352,54.0,0.0200656169943774,100,3,0,Task Executed
default_nodes_T20_S1,Greedy,3,5,C,13.552618543578768,6.0,19.552618543578767,57.0,0.011573760825049116,350,2,2,Task Executed
default_nodes_T20_S1,Greedy,2,Idle,Base,12.5,2.0,14.5,54.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,4,4,D,16.770509831248425,6.0,22.770509831248425,69.0,0.006505423718149892,300,3,0,Task Executed
default_nodes_T20_S1,Greedy,1,6,C,0.0,6.0,6.0,60.0,0.001465611537567816,0,0,0,Task Executed
default_nodes_T20_S1,Greedy,2,19,D,22.360679774997898,6.0,28.360679774997898,83.0,0.0017785594636318084,100,3,0,Task Executed
default_nodes_T20_S1,Greedy,3,16,C,0.0,6.0,6.0,63.0,0.0070925532450243885,200,1,1,Task Executed
default_nodes_T20_S1,Greedy,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,75.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,3,20,D,6.0609152673132645,6.0,12.060915267313264,76.0,0.0021553627470543056,50,0,0,Task Executed
default_nodes_T20_S1,Greedy,4,Idle,Base,16.770509831248425,2.0,18.770509831248425,88.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,1,14,B,10.0,6.0,16.0,91.0,6.79259975214479e-05,400,0,3,Task Executed
default_nodes_T20_S1,Greedy,3,Idle,Base,19.1662969499982,2.0,21.1662969499982,98.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,2,Idle,Base,22.360679774997898,2.0,24.360679774997898,108.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,1,Idle,Base,10.0,2.0,12.0,103.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Exact-HiGHS,3,2,A,4.79157423749955,6.0,10.79157423749955,11.0,0.05,200,2,1,Task Executed
