Scenario,Tasks,Method,Accumulated Benefit,Physical Completed Tasks,Average Response Time,Maximum Response Time,Productive Time,Active Time,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros,Optimality Gap vs Exact,Physical Completion Rate,Positive Benefit Tasks,Operationally Relevant Tasks,Makespan
4helos_4areas_T20_S1,20,Greedy,0.4793007512350555,14,38.785714285714285,110.0,194.78204742102722,307.8062529241566,110.78204742102722,99.02420550312937,209.80625292415658,14.0,223.80625292415658,0.0006060600280761719,False,,,,,,,,,
4helos_4areas_T20_S1,20,Exact-HiGHS,0.5410713961637563,17,43.11764705882353,115.0,230.22491425755274,343.22883937935035,128.22491425755274,97.00392512179764,225.22883937935038,16.0,241.22883937935038,4.008876085281372,True,0.0,45324.0,13868.0,108597.0,,,,,
4helos_4areas_T20_S2,20,Greedy,0.5113468476003441,16,37.25,98.0,217.365773514012,356.38703352238053,121.36577351401202,121.02126000836853,242.38703352238053,18.0,260.38703352238053,0.00016164779663085938,False,,,,,,,,,
4helos_4areas_T20_S2,20,Exact-HiGHS,0.5850205954247654,18,41.0,105.0,226.73854785904885,333.52366315612255,118.73854785904885,90.78511529707369,209.52366315612255,16.0,225.52366315612255,14.356241226196289,True,0.0,56667.0,16766.0,136810.0,,,,,
4helos_4areas_T20_S3,20,Greedy,0.5280363507600252,16,40.25,100.0,191.31424165917832,306.4159243033597,95.31424165917831,95.10168264418141,190.4159243033597,20.0,210.4159243033597,0.0002009868621826172,False,,,,,,,,,
4helos_4areas_T20_S3,20,Exact-HiGHS,0.5991645328915431,18,39.27777777777778,104.0,210.32655441243784,316.32834103571116,102.32655441243784,88.00178662327333,190.32834103571116,18.0,208.32834103571116,7.107834100723267,True,0.0,29920.0,9381.0,71329.0,,,,,
4helos_4areas_T20_S4,20,Greedy,0.47922948360862777,13,32.46153846153846,75.0,180.80267370717843,287.5614570831911,102.80267370717843,92.75878337601266,195.5614570831911,14.0,209.5614570831911,0.00015401840209960938,False,,,,,,,,,
4helos_4areas_T20_S4,20,Exact-HiGHS,0.5647900370664924,16,37.125,97.0,209.81744273792583,300.0613914054391,113.81744273792583,78.24394866751328,192.0613914054391,12.0,204.0613914054391,8.016364097595215,True,0.0,47584.0,14434.0,114261.0,,,,,
4helos_4areas_T20_S5,20,Greedy,0.4618387429320008,15,39.6,97.0,199.86201948304932,313.87403650498675,109.86201948304932,98.01201702193744,207.87403650498675,16.0,223.87403650498675,0.00018095970153808594,False,,,,,,,,,
4helos_4areas_T20_S5,20,Exact-HiGHS,0.5627285799205853,17,37.8235294117647,89.0,225.38386883376495,322.7221488039916,123.38386883376495,83.33827997022667,206.72214880399162,14.0,220.72214880399162,20.010802030563354,True,0.0,50589.0,15617.0,120868.0,,,,,
4helos_4areas_T20_S6,20,Greedy,0.36821612117063585,13,39.84615384615385,93.0,187.4427863198876,314.75103535211883,109.4427863198876,109.30824903223123,218.75103535211883,18.0,236.75103535211883,0.0001690387725830078,False,,,,,,,,,
4helos_4areas_T20_S6,20,Exact-HiGHS,0.48553813644874433,13,33.92307692307692,91.0,174.15411427751582,242.36915195982863,96.15411427751583,58.21503768231281,154.36915195982863,10.0,164.36915195982863,3.203763008117676,True,0.0,7841.0,2541.0,18739.0,,,,,
4helos_4areas_T20_S7,20,Greedy,0.5087021567512583,15,38.8,93.0,213.74239643112878,343.0120538360852,123.74239643112877,113.26965740495643,237.01205383608522,16.0,253.01205383608522,0.00015473365783691406,False,,,,,,,,,
4helos_4areas_T20_S7,20,Exact-HiGHS,0.5728550877690329,18,42.05555555555556,103.0,220.81880416636204,335.9236273091881,112.81880416636203,99.10482314282606,211.92362730918808,16.0,227.92362730918808,4.363891839981079,True,0.0,25051.0,7805.0,59902.0,,,,,
4helos_4areas_T20_S8,20,Greedy,0.48728905214336543,16,39.625,95.0,201.53273180666284,314.54602921702934,105.53273180666284,97.0132974103665,202.54602921702934,16.0,218.54602921702934,0.00017309188842773438,False,,,,,,,,,
4helos_4areas_T20_S8,20,Exact-HiGHS,0.5761095620343393,17,34.1764705882353,78.0,191.31497482761802,267.4941087149647,89.31497482761802,64.17913388734665,153.49410871496468,12.0,165.49410871496468,4.8216400146484375,True,0.0,39580.0,12372.0,94310.0,,,,,
4helos_4areas_T20_S9,20,Greedy,0.43912452309487293,14,40.07142857142857,103.0,183.6625425875964,298.38810915984794,99.66254258759639,98.72556657225155,198.38810915984794,16.0,214.38810915984794,0.00018596649169921875,False,,,,,,,,,
4helos_4areas_T20_S9,20,Exact-HiGHS,0.5338413975426078,17,39.470588235294116,94.0,216.40392752789512,325.88772569713626,114.40392752789512,93.48379816924117,207.8877256971363,16.0,223.8877256971363,11.12345004081726,True,0.0,49187.0,14909.0,118080.0,,,,,
4helos_4areas_T20_S10,20,Greedy,0.4637189525269504,15,39.8,99.0,220.62083962977826,369.1672781682903,130.62083962977826,130.54643853851206,261.1672781682903,18.0,279.1672781682903,0.0001621246337890625,False,,,,,,,,,
4helos_4areas_T20_S10,20,Exact-HiGHS,0.5195095492612944,17,40.0,99.0,212.69879676053452,319.7276169096178,110.69879676053452,93.02882014908324,203.72761690961778,14.0,217.72761690961778,25.337473154067993,True,0.0,80109.0,24478.0,191713.0,,,,,
4helos_4areas_T30_S1,30,Greedy,0.3365721256556029,17,42.529411764705884,102.0,228.21366467497995,371.1675363054035,126.21366467497995,124.95387163042352,251.16753630540347,18.0,269.1675363054035,0.00027179718017578125,False,,,,,,,,,
4helos_4areas_T30_S1,30,Exact-HiGHS,0.41822552300317445,20,42.4,100.0,253.54718958001496,405.6418184596618,133.54718958001496,132.09462887964685,265.6418184596618,20.0,285.6418184596618,21.11705493927002,True,0.0,93472.0,28083.0,224647.0,,,,,
4helos_4areas_T30_S2,30,Greedy,0.3909374889159287,20,43.6,116.0,238.37332979661073,366.4603170960266,118.37332979661075,108.08698729941587,226.4603170960266,20.0,246.4603170960266,0.0002968311309814453,False,,,,,,,,,
4helos_4areas_T30_S2,30,Exact-HiGHS,0.4453289287909096,20,40.1,100.0,227.61355565016822,326.52771245649893,107.61355565016824,82.91415680633072,190.52771245649896,16.0,206.52771245649896,99.43446493148804,True,0.0,144802.0,40725.0,353331.0,,,,,
4helos_4areas_T30_S3,30,Greedy,0.37024510544757483,20,46.5,119.0,246.24604939907564,391.8435029334982,126.24604939907564,123.59745353442256,249.8435029334982,22.0,271.8435029334982,0.00030517578125,False,,,,,,,,,
4helos_4areas_T30_S3,30,Exact-HiGHS,0.46807200252771286,23,43.47826086956522,100.0,241.7385219471466,356.8938705953132,103.73852194714661,95.15534864816661,198.89387059531322,20.0,218.89387059531322,32.583149909973145,True,0.0,62974.0,18974.0,151348.0,,,,,
4helos_4areas_T30_S4,30,Greedy,0.3576077030576933,17,42.588235294117645,110.0,234.52283698943188,363.4145500395338,132.52283698943188,108.89171305010194,241.41455003953382,20.0,261.4145500395338,0.0003020763397216797,False,,,,,,,,,
4helos_4areas_T30_S4,30,Exact-HiGHS,0.444357316646198,20,41.0,113.0,235.4696749305889,333.6185111079474,115.4696749305889,82.14883617735853,197.61851110794743,16.0,213.61851110794743,17.55664086341858,True,0.0,106357.0,32020.0,255434.0,,,,,
4helos_4areas_T30_S5,30,Greedy,0.32059318327732766,17,44.64705882352941,112.0,235.26200134591696,386.07150582643465,133.26200134591696,132.8095044805177,266.07150582643465,18.0,284.07150582643465,0.0002951622009277344,False,,,,,,,,,
4helos_4areas_T30_S5,30,Exact-HiGHS,0.4233236623049258,21,42.61904761904762,98.0,243.1769931943369,342.2168715248666,117.17699319433689,85.0398783305297,202.21687152486658,14.0,216.21687152486658,20.55619192123413,True,0.0,104043.0,30758.0,251000.0,,,,,
4helos_4areas_T30_S6,30,Greedy,0.33861125138488446,16,42.625,101.0,213.52455983105432,348.76055012233667,117.52455983105432,115.23599029128233,232.76055012233667,20.0,252.76055012233667,0.00028896331787109375,False,,,,,,,,,
