Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros
6helos_7areas_T20_S1,20,Greedy,0.6142218130058903,0.09583544750423799,17,0.85,17,0.85,15,0.75,33.0,82.0,103.0,259.04505933124994,429.34751782205194,0.4191667626719255,0.694737083854453,157.04505933124997,152.302458490802,309.34751782205194,18.0,327.34751782205194,0.8975274678557507,0.16666666666666666,17.191770971141406,0.13168587168860046,0.0007948875427246094,False,,,,
6helos_7areas_T20_S1,20,Exact-HiGHS,0.6793252525886518,2.288023636030486e-15,19,0.95,19,0.95,18,0.9,30.105263157894736,72.0,96.0,257.82649420224936,378.82134986305755,0.44761544132334957,0.6576759546233638,143.82649420224936,106.99485566080818,250.82134986305755,14.0,264.82134986305755,0.6871842709362768,0.11403508771929823,15.117139274605394,0.11248271912060703,16.921216011047363,True,0.0,83317.0,26053.0,198469.0
6helos_7areas_T20_S2,20,Greedy,0.6170661533372921,0.12897575402766256,18,0.9,18,0.9,15,0.75,32.77777777777778,80.0,97.0,265.0606512202633,441.1979352846938,0.45543067219976513,0.7580720537537694,157.0606512202633,156.13728406443053,313.1979352846938,20.0,333.1979352846938,0.816496580927726,0.14814814814814822,18.668937343648704,0.13936406117910138,0.00019693374633789062,False,,,,
6helos_7areas_T20_S2,20,Exact-HiGHS,0.7084374013589587,4.701430313371943e-15,19,0.95,19,0.95,18,0.9,30.57894736842105,70.0,70.0,243.2593227229963,328.2568029408046,0.5791888636261817,0.7815638165257253,129.2593227229963,72.99748021780835,202.25680294080465,12.0,214.25680294080465,0.8975274678557507,0.1491228070175438,12.143181929558192,0.11952374978829876,38.35057783126831,True,0.0,108125.0,33437.0,258098.0
6helos_7areas_T20_S3,20,Greedy,0.6370615807241665,0.13554006136066746,17,0.85,17,0.85,16,0.8,28.647058823529413,66.0,87.0,229.67588760020703,369.2870484651126,0.43999212183947706,0.7074464529983,127.67588760020702,119.61116086490559,247.2870484651126,20.0,267.2870484651126,0.6871842709362768,0.12745098039215685,16.50626480906483,0.1508386289848218,0.000225067138671875,False,,,,
6helos_7areas_T20_S3,20,Exact-HiGHS,0.7369474885405414,-1.5065157855736155e-16,19,0.95,19,0.95,18,0.9,29.0,75.0,96.0,242.94440004198844,362.98230088778485,0.42177847229511883,0.6301776057079598,128.94440004198844,104.03790084579643,232.98230088778487,16.0,248.98230088778487,0.6871842709362768,0.11403508771929823,15.815507832339888,0.13270745296443756,9.590802192687988,True,0.0,51897.0,16698.0,122908.0
6helos_7areas_T20_S4,20,Greedy,0.6067532039965188,0.15133681662321377,15,0.75,15,0.75,14,0.7,29.333333333333332,69.0,92.0,232.5640070649195,359.67984982512115,0.42131160700166576,0.6515939308426107,142.5640070649195,113.11584276020164,255.67984982512115,14.0,269.67984982512115,0.5,0.09999999999999994,16.93934032879561,0.1541184136069842,0.0001800060272216797,False,,,,
6helos_7areas_T20_S4,20,Exact-HiGHS,0.7149517215796721,7.764321639593644e-16,19,0.95,19,0.95,17,0.85,34.21052631578947,91.0,114.0,272.30538929425796,377.0135835293227,0.3981072942898508,0.551189449604273,158.30538929425796,92.70819423506474,251.01358352932272,12.0,263.0135835293227,0.8975274678557507,0.1491228070175438,23.3055803000886,0.17568860184900106,15.630427837371826,True,0.0,67749.0,21401.0,161034.0
6helos_7areas_T20_S5,20,Greedy,0.5677938764463474,0.1981942448715656,18,0.9,18,0.9,15,0.75,35.833333333333336,82.0,103.0,284.4794123668325,479.1528801251077,0.46032267373273866,0.7753282849920836,176.4794123668325,172.6734677582752,349.1528801251077,22.0,371.1528801251077,0.816496580927726,0.14814814814814822,18.854372438712367,0.1292703738015438,0.00023293495178222656,False,,,,
6helos_7areas_T20_S5,20,Exact-HiGHS,0.7081439273972214,5.330495874757569e-15,19,0.95,19,0.95,17,0.85,32.10526315789474,86.0,113.0,260.90464784197854,338.72084862172306,0.3848151148111778,0.49958827230342634,146.90464784197854,67.8162007797445,214.72084862172306,10.0,224.72084862172306,1.0671873729054748,0.18421052631578952,27.95455347578057,0.2643271436950654,20.020169973373413,True,0.0,89149.0,28450.0,211145.0
6helos_7areas_T20_S6,20,Greedy,0.5228737602927926,0.15741552492880254,15,0.75,15,0.75,12,0.6,32.93333333333333,92.0,116.0,232.97649290499677,392.8680208045845,0.3347363403807425,0.5644655471330237,142.97649290499677,141.89152789958771,284.8680208045845,18.0,302.8680208045845,0.9574271077563381,0.2111111111111111,31.920639063746993,0.27286813798652637,0.00020313262939453125,False,,,,
6helos_7areas_T20_S6,20,Exact-HiGHS,0.6205594522123262,-1.7890679461365946e-16,17,0.85,17,0.85,15,0.75,34.294117647058826,80.0,102.0,258.8787552140269,393.62832155204654,0.4230045019837041,0.6431835319477884,156.87875521402694,118.74956633801962,275.62832155204654,16.0,291.62832155204654,0.6871842709362768,0.12745098039215685,26.357203111448214,0.2240929117664341,2.0998542308807373,True,0.0,14462.0,4947.0,34008.0
6helos_7areas_T20_S7,20,Greedy,0.5931141998407131,0.11219651037898422,17,0.85,17,0.85,14,0.7,35.88235294117647,88.0,107.0,277.860503247917,467.6234907107073,0.4328045221930171,0.7283854995493884,175.86050324791697,169.76298746279028,345.62349071070724,20.0,365.62349071070724,0.3726779962499649,0.049019607843137226,19.18011638165528,0.13512789001363,0.00019097328186035156,False,,,,
6helos_7areas_T20_S7,20,Exact-HiGHS,0.6680692369140168,-1.6618382695685282e-16,18,0.9,18,0.9,16,0.8,34.111111111111114,84.0,101.0,260.8467151852451,394.0206493479797,0.4304401240680612,0.6501990913332999,152.84671518524507,119.17393416273462,272.0206493479797,14.0,286.0206493479797,0.5773502691896257,0.09259259259259256,19.003245700827847,0.150100681691845,6.64743971824646,True,0.0,36101.0,11479.0,85946.0
6helos_7areas_T20_S8,20,Greedy,0.6053270630163354,0.14317409137618856,16,0.8,16,0.8,15,0.75,27.8125,66.0,87.0,218.96057650342289,355.14961906161716,0.4194647059452546,0.6803632549073125,122.96057650342289,118.1890425581943,241.1496190616172,18.0,259.14961906161716,0.4714045207910317,0.08333333333333333,13.496452200838219,0.12122357581365728,0.00018715858459472656,False,,,,
6helos_7areas_T20_S8,20,Exact-HiGHS,0.7064761428474775,-1.5714940070734205e-16,19,0.95,19,0.95,18,0.9,29.157894736842106,72.0,96.0,236.15809031658952,343.51617313716247,0.40999668457741234,0.596382245029796,122.15809031658952,93.35808282057295,215.51617313716247,14.0,229.51617313716247,0.6871842709362768,0.11403508771929823,18.88374439247326,0.17086377861675395,15.967980146408081,True,0.0,68997.0,22181.0,163193.0
6helos_7areas_T20_S9,20,Greedy,0.5814819444309723,0.1069827185983236,18,0.9,18,0.9,16,0.8,36.27777777777778,91.0,118.0,284.69177909257036,471.200490346692,0.4021070326166248,0.6655374157439152,176.69177909257036,166.50871125412164,343.200490346692,20.0,363.200490346692,0.816496580927726,0.14814814814814822,23.82960698290393,0.16801937331469188,0.00021982192993164062,False,,,,
6helos_7areas_T20_S9,20,Exact-HiGHS,0.6511429919007622,-1.7050372014053111e-16,18,0.9,18,0.9,16,0.8,34.22222222222222,85.0,112.0,272.81728155125813,434.4074055771867,0.4059780975465151,0.6464395916327182,164.81728155125813,143.59012402592856,308.4074055771867,18.0,326.4074055771867,0.5773502691896257,0.09259259259259256,25.480874016704377,0.19492881406024853,16.467212915420532,True,0.0,84242.0,26689.0,199959.0
6helos_7areas_T20_S10,20,Greedy,0.6161769151145989,0.10061425355002807,18,0.9,18,0.9,18,0.9,32.833333333333336,79.0,105.0,276.84158184446375,437.448614745401,0.4394310822927996,0.6943628805482556,168.84158184446375,144.60703290093727,313.448614745401,16.0,329.448614745401,0.5773502691896257,0.09259259259259256,15.89389760748833,0.11312160889803187,0.0002067089080810547,False,,,,
6helos_7areas_T20_S10,20,Exact-HiGHS,0.6851086061200675,3.565114541485239e-15,19,0.95,19,0.95,18,0.9,32.26315789473684,76.0,76.0,259.35576518744966,328.2661660065708,0.5687626429549335,0.7198819429968658,145.35576518744966,60.910400819121165,206.2661660065708,8.0,214.2661660065708,0.6871842709362768,0.11403508771929823,15.710762719796247,0.15897327767353295,40.066442012786865,True,0.0,135131.0,42430.0,321123.0
6helos_7areas_T30_S1,30,Greedy,0.4508922602311836,0.1474894633125194,21,0.7,21,0.7,17,0.5666666666666667,39.61904761904762,90.0,109.0,331.9363385862953,549.5238547231481,0.5075479183276687,0.8402505423901347,205.93633858629525,195.58751613685283,401.5238547231481,22.0,423.5238547231481,0.7637626158259734,0.1031746031746031,18.779539312218418,0.10461244896491702,0.0003552436828613281,False,,,,
6helos_7areas_T30_S1,30,Exact-HiGHS,0.528899340040033,1.6792957609531077e-15,24,0.8,24,0.8,20,0.6666666666666666,39.5,101.0,122.0,334.33115970521635,494.45713497641,0.4567365569743393,0.6754878893120355,190.33115970521635,140.12597527119365,330.45713497641,20.0,350.45713497641,1.1547005383792515,0.13888888888888884,30.34238244624122,0.2055703787794371,42.44641995429993,True,0.0,170653.0,52843.0,406962.0
6helos_7areas_T30_S2,30,Greedy,0.4694312199490526,0.20385571526779256,21,0.7,21,0.7,19,0.6333333333333333,36.04761904761905,104.0,123.0,297.49367292385637,490.2641799862014,0.4031079578914043,0.6643146070273731,171.49367292385637,168.77050706234502,340.2641799862014,24.0,364.2641799862014,0.9574271077563381,0.15079365079365084,23.842474009473097,0.1644669623238905,0.000370025634765625,False,,,,
6helos_7areas_T30_S2,30,Exact-HiGHS,0.5896308357057991,1.1674054910029176e-14,25,0.8333333333333334,25,0.8333333333333334,22,0.7333333333333333,37.28,91.0,109.0,322.9328238668419,451.998615160787,0.4937810762489937,0.6911293809797966,172.93282386684186,111.06579129394508,283.9986151607869,18.0,301.9986151607869,1.0671873729054746,0.12666666666666662,26.995916646759806,0.19911108252907997,178.31242203712463,True,0.0,274769.0,81051.0,662871.0
6helos_7areas_T30_S3,30,Greedy,0.4943140026173127,0.1594287822623197,25,0.8333333333333334,25,0.8333333333333334,21,0.7,41.72,110.0,128.0,345.8064327494978,555.1036352810588,0.45026879264257524,0.722791191772212,195.8064327494978,181.29720253156106,377.1036352810588,28.0,405.1036352810588,0.8975274678557507,0.11333333333333329,19.351868230803802,0.1080356580236681,0.0013039112091064453,False,,,,
6helos_7areas_T30_S3,30,Exact-HiGHS,0.5880691512941785,1.8879123691182558e-15,27,0.9,27,0.9,23,0.7666666666666667,38.96296296296296,97.0,115.0,332.91746961043214,459.56528030831925,0.4824890863919306,0.666036638127999,170.9174696104321,108.64781069788712,279.56528030831925,18.0,297.56528030831925,0.9574271077563381,0.11728395061728387,21.468102682914093,0.15408506028192784,35.58560585975647,True,0.0,107942.0,33444.0,257613.0
