Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
6helos_7areas_T20_S1,Greedy,1,10,D1,3.7735924528226414,6.0,9.77359245282264,10.0,0.05333333333333334,350,3,2,Task Executed
6helos_7areas_T20_S1,Greedy,2,4,D1,4.192880503136268,6.0,10.19288050313627,11.0,0.04,600,2,3,Task Executed
6helos_7areas_T20_S1,Greedy,3,20,D1,3.903716330506181,6.0,9.903716330506182,10.0,0.05333333333333334,350,4,2,Task Executed
6helos_7areas_T20_S1,Greedy,4,15,D2,7.203514767111955,6.0,13.203514767111955,14.0,0.04,300,3,2,Task Executed
6helos_7areas_T20_S1,Greedy,5,5,D5,16.80025359064735,6.0,22.80025359064735,23.0,0.05333333333333334,300,3,1,Task Executed
6helos_7areas_T20_S1,Greedy,6,17,D5,14.090535269575197,6.0,20.0905352695752,21.0,0.05333333333333334,450,2,3,Task Executed
6helos_7areas_T20_S1,Greedy,1,9,D5,10.983624174196786,6.0,16.983624174196784,27.0,0.04668327565679908,150,1,1,Task Executed
6helos_7areas_T20_S1,Greedy,3,8,D6,15.729581634826106,6.0,21.729581634826104,32.0,0.04668327565679908,200,3,1,Task Executed
6helos_7areas_T20_S1,Greedy,2,7,D3,6.285393610547089,6.0,12.28539361054709,24.0,0.04,200,2,0,Task Executed
6helos_7areas_T20_S1,Greedy,4,2,D6,10.797135036665976,6.0,16.797135036665978,31.0,0.024917410423309264,0,2,0,Task Executed
6helos_7areas_T20_S1,Greedy,6,13,D7,6.120537406777508,6.0,12.120537406777508,34.0,0.04419201862395617,300,1,2,Task Executed
6helos_7areas_T20_S1,Greedy,5,16,D7,7.297563831157799,6.0,13.297563831157799,37.0,0.03997030384346571,150,2,0,Task Executed
6helos_7areas_T20_S1,Greedy,2,Idle,Base,10.260796782769063,2.0,12.260796782769063,37.0,0.0,800,2,6,Idle
6helos_7areas_T20_S1,Greedy,1,Idle,Base,14.560219778561038,2.0,16.560219778561038,44.0,0.0,650,4,4,Idle
6helos_7areas_T20_S1,Greedy,4,Idle,Base,17.779904386694547,2.0,19.779904386694547,51.0,0.0,700,3,5,Idle
6helos_7areas_T20_S1,Greedy,3,1,D7,4.398681025959166,6.0,10.398681025959167,43.0,0.02145356526319545,0,1,0,Task Executed
6helos_7areas_T20_S1,Greedy,6,Idle,Base,20.207044855955903,2.0,22.207044855955903,57.0,0.0,600,3,4,Idle
6helos_7areas_T20_S1,Greedy,2,19,D3,10.260796782769063,6.0,16.260796782769063,54.0,0.015905193496447867,400,2,3,Task Executed
6helos_7areas_T20_S1,Greedy,5,Idle,Base,24.093015020562806,2.0,26.093015020562806,64.0,0.0,450,4,2,Idle
6helos_7areas_T20_S1,Greedy,3,Idle,Base,21.600634156366656,2.0,23.600634156366656,67.0,0.0,500,5,3,Idle
6helos_7areas_T20_S1,Greedy,1,12,D4,13.314653581674591,6.0,19.31465358167459,64.0,0.004128875664527379,450,4,1,Task Executed
6helos_7areas_T20_S1,Greedy,2,Idle,Base,10.260796782769063,2.0,12.260796782769063,67.0,0.0,800,2,6,Idle
6helos_7areas_T20_S1,Greedy,6,14,D3,8.936823004347248,6.0,14.936823004347248,72.0,0.0004767888343757957,500,0,4,Task Executed
6helos_7areas_T20_S1,Greedy,1,6,D4,0.0,6.0,6.0,70.0,0.0005820656056605651,350,1,1,Task Executed
6helos_7areas_T20_S1,Greedy,5,18,D4,15.363061825009144,6.0,21.363061825009144,86.0,0.00011537739345945266,350,1,2,Task Executed
6helos_7areas_T20_S1,Greedy,1,Idle,Base,13.314653581674591,2.0,15.314653581674591,86.0,0.0,650,4,4,Idle
6helos_7areas_T20_S1,Greedy,6,Idle,Base,8.936823004347248,2.0,10.936823004347248,83.0,0.0,600,3,4,Idle
6helos_7areas_T20_S1,Greedy,5,Idle,Base,15.363061825009144,2.0,17.363061825009144,104.0,0.0,450,4,2,Idle
6helos_7areas_T20_S1,Exact-HiGHS,2,10,D1,4.192880503136268,6.0,10.19288050313627,11.0,0.05333333333333334,500,1,4,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,1,11,D2,7.683749084919418,6.0,13.683749084919418,14.0,0.04768095879699681,550,1,4,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,3,3,D2,7.94870594991664,6.0,13.94870594991664,14.0,0.04768095879699681,400,2,3,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,2,4,D1,0.0,6.0,6.0,17.0,0.04,300,1,1,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,5,9,D5,16.80025359064735,6.0,22.80025359064735,23.0,0.05086396262991877,250,2,1,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,1,20,D1,3.9597979746446663,6.0,9.959797974644665,24.0,0.05333333333333334,400,0,3,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,2,Idle,Base,4.192880503136268,2.0,6.192880503136268,24.0,0.0,800,2,6,Idle
6helos_7areas_T20_S1,Exact-HiGHS,4,2,D6,17.779904386694547,6.0,23.779904386694547,24.0,0.03889739821844543,400,2,3,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,6,8,D6,18.353449689491143,6.0,24.353449689491143,25.0,0.05333333333333334,450,2,3,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,3,17,D5,8.317138445065565,6.0,14.317138445065565,29.0,0.04991743227281865,250,1,2,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,1,15,D2,3.9597979746446663,6.0,9.959797974644665,34.0,0.03743807420461399,0,0,0,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,3,5,D5,0.0,6.0,6.0,35.0,0.04284736356045431,100,0,1,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,4,12,D4,5.460082416960388,6.0,11.460082416960388,36.0,0.035871124335472626,200,2,0,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,6,13,D7,4.114895153316639,6.0,10.114895153316638,36.0,0.041439154154942086,300,1,2,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,5,1,D7,7.297563831157799,6.0,13.297563831157799,37.0,0.03187976807013789,50,0,0,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,2,7,D3,10.260796782769063,6.0,16.260796782769063,41.0,0.031079365616206563,400,2,3,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,6,16,D7,0.0,6.0,6.0,42.0,0.03187976807013789,150,0,1,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,1,Idle,Base,7.683749084919418,2.0,9.683749084919418,44.0,0.0,650,4,4,Idle
6helos_7areas_T20_S1,Exact-HiGHS,2,19,D3,0.0,6.0,6.0,47.0,0.02390982605260342,0,2,0,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,4,Idle,Base,12.48248773281993,2.0,14.48248773281993,51.0,0.0,700,3,5,Idle
6helos_7areas_T20_S1,Exact-HiGHS,3,Idle,Base,15.062296322649349,2.0,17.06229632264935,53.0,0.0,500,5,3,Idle
6helos_7areas_T20_S1,Exact-HiGHS,1,14,D3,9.234717104492155,6.0,15.234717104492155,60.0,0.0015595606290644236,550,1,4,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,2,Idle,Base,10.260796782769063,2.0,12.260796782769063,60.0,0.0,800,2,6,Idle
6helos_7areas_T20_S1,Exact-HiGHS,5,Idle,Base,24.093015020562806,2.0,26.093015020562806,64.0,0.0,450,4,2,Idle
6helos_7areas_T20_S1,Exact-HiGHS,6,Idle,Base,20.207044855955903,2.0,22.207044855955903,65.0,0.0,600,3,4,Idle
6helos_7areas_T20_S1,Exact-HiGHS,1,Idle,Base,9.234717104492155,2.0,11.234717104492155,72.0,0.0,650,4,4,Idle
6helos_7areas_T20_S1,Exact-HiGHS,3,6,D4,13.773779567249576,6.0,19.773779567249576,73.0,0.0004314099081762369,400,2,3,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,6,18,D4,12.885148627427023,6.0,18.88514862742702,84.0,0.00014173399173587344,500,0,4,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,3,Idle,Base,13.773779567249576,2.0,15.773779567249576,89.0,0.0,500,5,3,Idle
6helos_7areas_T20_S1,Exact-HiGHS,6,Idle,Base,12.885148627427023,2.0,14.885148627427023,99.0,0.0,600,3,4,Idle
