Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
6helos_7areas_T20_S1,Greedy,1,12,D1,3.7735924528226414,6.0,9.77359245282264,10.0,0.0625,550,2,3,Task Executed
6helos_7areas_T20_S1,Greedy,2,3,D4,14.79405953519399,6.0,20.794059535193988,21.0,0.0625,500,0,4,Task Executed
6helos_7areas_T20_S1,Greedy,3,1,D5,15.062296322649349,6.0,21.06229632264935,22.0,0.0625,100,2,0,Task Executed
6helos_7areas_T20_S1,Greedy,4,8,D6,17.779904386694547,6.0,23.779904386694547,24.0,0.0625,500,1,4,Task Executed
6helos_7areas_T20_S1,Greedy,5,4,D3,10.655442812875565,6.0,16.655442812875563,17.0,0.05434556570086292,400,3,0,Task Executed
6helos_7areas_T20_S1,Greedy,6,18,D5,14.090535269575197,6.0,20.0905352695752,21.0,0.06098122605605684,200,1,1,Task Executed
6helos_7areas_T20_S1,Greedy,1,10,D5,10.983624174196786,6.0,16.983624174196784,27.0,0.046875,350,2,2,Task Executed
6helos_7areas_T20_S1,Greedy,5,16,D4,5.783060347450001,6.0,11.78306034745,29.0,0.03125,300,3,0,Task Executed
6helos_7areas_T20_S1,Greedy,2,13,D6,6.471208790471572,6.0,12.471208790471572,34.0,0.045280814231392075,400,0,2,Task Executed
6helos_7areas_T20_S1,Greedy,6,7,D6,5.377720253980569,6.0,11.37772025398057,33.0,0.02968838337882259,50,1,1,Task Executed
6helos_7areas_T20_S1,Greedy,3,15,D7,6.54264343483113,6.0,12.542643434831131,35.0,0.0180768853572246,0,2,0,Task Executed
6helos_7areas_T20_S1,Greedy,4,2,D6,0.0,6.0,6.0,30.0,0.046875,350,1,2,Task Executed
6helos_7areas_T20_S1,Greedy,1,17,D6,5.556977595779921,6.0,11.556977595779921,39.0,0.027160387694452358,150,1,0,Task Executed
6helos_7areas_T20_S1,Greedy,5,14,D2,6.6082251061275485,6.0,12.608225106127549,42.0,0.009802893892449175,0,3,0,Task Executed
6helos_7areas_T20_S1,Greedy,4,11,D6,0.0,6.0,6.0,36.0,0.009628732926371147,0,1,2,Task Executed
6helos_7areas_T20_S1,Greedy,6,Idle,Base,18.353449689491143,2.0,20.353449689491143,54.0,0.0,600,3,4,Idle
6helos_7areas_T20_S1,Greedy,2,Idle,Base,21.072479273119463,2.0,23.072479273119463,58.0,0.0,800,2,6,Idle
6helos_7areas_T20_S1,Greedy,3,Idle,Base,21.600634156366656,2.0,23.600634156366656,59.0,0.0,500,5,3,Idle
6helos_7areas_T20_S1,Greedy,4,Idle,Base,17.779904386694547,2.0,19.779904386694547,56.0,0.0,700,3,5,Idle
6helos_7areas_T20_S1,Greedy,1,Idle,Base,18.965231345807513,2.0,20.965231345807513,60.0,0.0,650,4,4,Idle
6helos_7areas_T20_S1,Greedy,5,Idle,Base,8.865864328753174,2.0,10.865864328753174,53.0,0.0,450,4,2,Idle
6helos_7areas_T20_S1,Greedy,6,6,D6,18.353449689491143,6.0,24.353449689491143,79.0,0.0005659089893303263,300,3,1,Task Executed
6helos_7areas_T20_S1,Greedy,6,Idle,Base,18.353449689491143,2.0,20.353449689491143,100.0,0.0,600,3,4,Idle
6helos_7areas_T20_S1,Exact-HiGHS,3,20,D2,7.94870594991664,6.0,13.94870594991664,14.0,0.05480480494459023,150,2,0,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,5,4,D3,10.655442812875565,6.0,16.655442812875563,17.0,0.05434556570086292,400,3,0,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,2,3,D4,14.79405953519399,6.0,20.794059535193988,21.0,0.0625,500,0,4,Task Executed
6helos_7areas_T20_S1,Exact-HiGHS,6,18,D5,14.090535269575197,6.0,20.0905352695752,21.0,0.06098122605605684,200,1,1,Task Executed
