Scenario,Tasks,Method,Accumulated Benefit,Physical Completed Tasks,Average Response Time,Maximum Response Time,Productive Time,Active Time,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros
default_nodes_T20_S1,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.0006110668182373047,False,,,,
default_nodes_T20_S1,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.3733630180358887,True,0.0,7352.0,2141.0,18050.0
default_nodes_T20_S2,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.0001678466796875,False,,,,
default_nodes_T20_S2,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.255385160446167,True,0.0,7352.0,2141.0,18050.0
default_nodes_T20_S3,20,Greedy,0.4298187390648283,16,44.875,91.0,230.03311116867823,385.35179148144357,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,0.00017309188842773438,False,,,,
default_nodes_T20_S3,20,Exact-HiGHS,0.4644917876753484,16,46.125,109.0,237.01028162197733,399.2199270688903,141.01028162197733,140.20964544691296,281.2199270688903,22.0,303.2199270688903,2.2668657302856445,True,0.0,7352.0,2141.0,18050.0
default_nodes_T30_S1,30,Greedy,0.2829202174023537,17,51.8235294117647,119.0,256.30016002207014,436.33312604912123,154.30016002207012,154.03296602705106,308.3331260491212,26.0,334.3331260491212,0.0002949237823486328,False,,,,
default_nodes_T30_S1,30,Exact-HiGHS,0.3315801392182967,18,44.77777777777778,107.0,241.13995925722077,396.326677106235,133.13995925722077,131.18671784901426,264.326677106235,24.0,288.326677106235,1.2406141757965088,True,0.0,8979.0,2269.0,22695.0
default_nodes_T30_S2,30,Greedy,0.3285862131339157,18,45.888888888888886,99.0,246.8076118465053,411.05959883231594,138.8076118465053,138.25198698581065,277.05959883231594,26.0,303.05959883231594,0.00028705596923828125,False,,,,
default_nodes_T30_S2,30,Exact-HiGHS,0.3655164776931282,19,46.1578947368421,105.0,245.2138085630724,383.2738921899996,131.2138085630724,114.06008362692715,245.27389218999957,24.0,269.2738921899996,2.2503392696380615,True,0.0,12903.0,3197.0,32624.0
default_nodes_T30_S3,30,Greedy,0.3177359817956959,18,46.55555555555556,116.0,251.69000387300002,421.022340314763,143.69000387300002,143.33233644176303,287.022340314763,26.0,313.022340314763,0.00029730796813964844,False,,,,
default_nodes_T30_S3,30,Exact-HiGHS,0.3562779611585325,19,44.1578947368421,101.0,235.9328293822781,382.04263345023014,121.9328293822781,120.10980406795204,242.04263345023014,26.0,268.04263345023014,1.9159128665924072,True,0.0,11568.0,2845.0,29321.0
default_nodes_T40_S1,40,Greedy,0.24636197926336484,20,50.7,114.0,260.6729633498144,429.2077229091017,140.6729633498144,140.5347595592873,281.2077229091017,28.0,309.2077229091017,0.0004200935363769531,False,,,,
