Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros,Solver Message
default_nodes_T20_S1,20,Greedy,0.45649948455462225,0.14587473455925845,15,0.75,15,0.75,12,0.6,43.13333333333333,89.0,102.0,215.53344733875542,356.03911335008416,0.5282682532812633,0.872644885661971,125.53344733875541,122.50566601132873,248.03911335008414,18.0,266.0391133500841,0.4330127018922193,0.050000000000000044,10.21925756452396,0.062211630898882486,0.00031375885009765625,False,,,,,
default_nodes_T20_S1,20,Exact-HiGHS,0.5344643262824704,2.0772631025674686e-16,16,0.8,16,0.8,15,0.75,40.375,79.0,96.0,213.57014919626056,337.67247175854277,0.5561722635319285,0.8793553952045384,117.57014919626057,108.1023225622822,225.67247175854277,16.0,241.67247175854277,0.7071067811865476,0.09375,11.226266009376204,0.06334919701369435,9.07764720916748,True,0.0,29318.0,11620.0,76358.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T20_S2,20,Greedy,0.3951907555078646,0.08099851801158689,13,0.65,13,0.65,11,0.55,44.07692307692308,88.0,103.0,208.42260815663428,356.3288954586609,0.5058801168850346,0.8648759598511186,130.42260815663428,129.90628730202664,260.3288954586609,18.0,278.3288954586609,0.4330127018922193,0.05769230769230771,12.42166755384391,0.07370152510052908,0.0003120899200439453,False,,,,,
default_nodes_T20_S2,20,Exact-HiGHS,0.4300218914259022,0.0,13,0.65,13,0.65,12,0.6,38.84615384615385,83.0,101.0,199.8021516783043,339.1572190675624,0.49455978138194134,0.8394980669989168,121.80215167830433,121.35506738925808,243.1572190675624,18.0,261.15721906756244,0.4330127018922193,0.05769230769230771,9.651809073594347,0.060872987030411885,0.8221242427825928,True,0.0,5576.0,2586.0,14166.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T20_S3,20,Greedy,0.43512039563152444,0.19277117278679645,13,0.65,13,0.65,12,0.6,39.76923076923077,80.0,102.0,211.39959573491433,333.76528468902524,0.5181362640561625,0.818052168355454,133.39959573491433,106.36568895411092,239.76528468902524,16.0,255.76528468902524,0.82915619758885,0.13461538461538458,10.13359960534103,0.06507428566804796,0.0002970695495605469,False,,,,,
default_nodes_T20_S3,20,Exact-HiGHS,0.5390298029044512,0.0,15,0.75,15,0.75,14,0.7,38.06666666666667,82.0,101.0,215.0101729579202,359.53801556545903,0.5322033984106935,0.8899455830828193,125.0101729579202,124.52784260753883,249.53801556545903,20.0,269.53801556545903,0.4330127018922193,0.050000000000000044,9.56566679442609,0.05776442027876527,2.544484853744507,True,0.0,8917.0,3876.0,22899.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T20_S4,20,Greedy,0.5372518330216354,0.11010662210722935,15,0.75,15,0.75,13,0.65,39.266666666666666,87.0,102.0,200.83093968640827,331.5011516313348,0.4922326953098242,0.8125028226258205,110.83093968640827,110.67021194492649,221.50115163133478,20.0,241.50115163133478,0.82915619758885,0.1166666666666667,13.02546222832684,0.08761002712586308,0.00034689903259277344,False,,,,,
default_nodes_T20_S4,20,Exact-HiGHS,0.6037260714242245,1.838951599367038e-16,16,0.8,16,0.8,15,0.75,36.1875,86.0,102.0,207.61515639080147,337.4470445148922,0.508860677428435,0.8270760894972847,111.61515639080146,109.83188812409072,221.44704451489218,20.0,241.44704451489218,0.7071067811865476,0.09375,11.027228415495324,0.07252122324443655,2.8780181407928467,True,0.0,18714.0,7093.0,49073.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T20_S5,20,Greedy,0.3862046658520865,0.15483356200687354,13,0.65,13,0.65,10,0.5,45.69230769230769,83.0,102.0,215.0956158577832,358.2016091289428,0.5271951369063314,0.8779451204140755,137.0956158577832,125.10599327115958,262.2016091289428,18.0,280.2016091289428,0.82915619758885,0.13461538461538458,6.200297584895907,0.03470120728552506,0.0002911090850830078,False,,,,,
default_nodes_T20_S5,20,Exact-HiGHS,0.4569569359251195,-1.2148004957813863e-16,14,0.7,14,0.7,12,0.6,42.42857142857143,83.0,102.0,204.8905354187651,332.5015683038162,0.5021826848499145,0.8149548242740593,120.8905354187651,109.61103288505112,230.5015683038162,18.0,248.5015683038162,1.118033988749895,0.1785714285714286,12.042953920185932,0.07813486271784797,2.580965042114258,True,0.0,7123.0,3005.0,18388.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
