Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros
default_nodes_T20_S1,20,Greedy,0.4298187390648283,0.07464728016839423,16,0.8,16,0.8,15,0.75,44.875,91.0,108.0,230.03311116867823,385.35179148144357,0.5324840536311997,0.8920180358366749,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,1.0,0.125,7.733021911754593,0.04395780789255377,0.0006480216979980469,False,,,,
default_nodes_T20_S1,20,Exact-HiGHS,0.4644917876753484,-1.1950943526703807e-16,16,0.8,16,0.8,13,0.65,46.125,109.0,129.0,237.01028162197733,381.4085387680484,0.4593222512053824,0.7391638348217993,141.01028162197733,124.39825714607106,265.4085387680484,20.0,285.4085387680484,1.5811388300841898,0.21875,33.56141091866394,0.18569509501877057,2.248481035232544,True,0.0,7352.0,2141.0,18050.0
default_nodes_T20_S2,20,Greedy,0.4298187390648283,0.07464728016839423,16,0.8,16,0.8,15,0.75,44.875,91.0,108.0,230.03311116867823,385.35179148144357,0.5324840536311997,0.8920180358366749,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,1.0,0.125,7.733021911754593,0.04395780789255377,0.0001671314239501953,False,,,,
default_nodes_T20_S2,20,Exact-HiGHS,0.4644917876753484,-1.1950943526703807e-16,16,0.8,16,0.8,13,0.65,46.125,109.0,129.0,237.01028162197733,381.4085387680484,0.4593222512053824,0.7391638348217993,141.01028162197733,124.39825714607106,265.4085387680484,20.0,285.4085387680484,1.5811388300841898,0.21875,33.56141091866394,0.18569509501877057,2.223871946334839,True,0.0,7352.0,2141.0,18050.0
default_nodes_T20_S3,20,Greedy,0.4298187390648283,0.07464728016839423,16,0.8,16,0.8,15,0.75,44.875,91.0,108.0,230.03311116867823,385.35179148144357,0.5324840536311997,0.8920180358366749,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,1.0,0.125,7.733021911754593,0.04395780789255377,0.00016689300537109375,False,,,,
default_nodes_T20_S3,20,Exact-HiGHS,0.4644917876753484,-1.1950943526703807e-16,16,0.8,16,0.8,13,0.65,46.125,109.0,129.0,237.01028162197733,381.4085387680484,0.4593222512053824,0.7391638348217993,141.01028162197733,124.39825714607106,265.4085387680484,20.0,285.4085387680484,1.5811388300841898,0.21875,33.56141091866394,0.18569509501877057,2.144322156906128,True,0.0,7352.0,2141.0,18050.0
default_nodes_T20_S4,20,Greedy,0.4298187390648283,0.07464728016839423,16,0.8,16,0.8,15,0.75,44.875,91.0,108.0,230.03311116867823,385.35179148144357,0.5324840536311997,0.8920180358366749,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,1.0,0.125,7.733021911754593,0.04395780789255377,0.00017189979553222656,False,,,,
default_nodes_T20_S4,20,Exact-HiGHS,0.4644917876753484,-1.1950943526703807e-16,16,0.8,16,0.8,13,0.65,46.125,109.0,129.0,237.01028162197733,381.4085387680484,0.4593222512053824,0.7391638348217993,141.01028162197733,124.39825714607106,265.4085387680484,20.0,285.4085387680484,1.5811388300841898,0.21875,33.56141091866394,0.18569509501877057,2.3020451068878174,True,0.0,7352.0,2141.0,18050.0
default_nodes_T20_S5,20,Greedy,0.4298187390648283,0.07464728016839423,16,0.8,16,0.8,15,0.75,44.875,91.0,108.0,230.03311116867823,385.35179148144357,0.5324840536311997,0.8920180358366749,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,1.0,0.125,7.733021911754593,0.04395780789255377,0.00019621849060058594,False,,,,
default_nodes_T20_S5,20,Exact-HiGHS,0.4644917876753484,-1.1950943526703807e-16,16,0.8,16,0.8,13,0.65,46.125,109.0,129.0,237.01028162197733,381.4085387680484,0.4593222512053824,0.7391638348217993,141.01028162197733,124.39825714607106,265.4085387680484,20.0,285.4085387680484,1.5811388300841898,0.21875,33.56141091866394,0.18569509501877057,2.1988511085510254,True,0.0,7352.0,2141.0,18050.0
default_nodes_T20_S6,20,Greedy,0.4298187390648283,0.07464728016839423,16,0.8,16,0.8,15,0.75,44.875,91.0,108.0,230.03311116867823,385.35179148144357,0.5324840536311997,0.8920180358366749,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,1.0,0.125,7.733021911754593,0.04395780789255377,0.0001609325408935547,False,,,,
default_nodes_T20_S6,20,Exact-HiGHS,0.4644917876753484,-1.1950943526703807e-16,16,0.8,16,0.8,13,0.65,46.125,109.0,129.0,237.01028162197733,381.4085387680484,0.4593222512053824,0.7391638348217993,141.01028162197733,124.39825714607106,265.4085387680484,20.0,285.4085387680484,1.5811388300841898,0.21875,33.56141091866394,0.18569509501877057,2.7513370513916016,True,0.0,7352.0,2141.0,18050.0
default_nodes_T20_S7,20,Greedy,0.4298187390648283,0.07464728016839423,16,0.8,16,0.8,15,0.75,44.875,91.0,108.0,230.03311116867823,385.35179148144357,0.5324840536311997,0.8920180358366749,134.03311116867823,133.31868031276534,267.35179148144357,22.0,289.35179148144357,1.0,0.125,7.733021911754593,0.04395780789255377,0.00026416778564453125,False,,,,
