Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
default_nodes_T20_S1,Greedy,1,1,A,4.47213595499958,6.0,10.47213595499958,11.0,0.05333333333333334,300,1,2,Task Executed
default_nodes_T20_S1,Greedy,2,2,A,5.5901699437494745,6.0,11.590169943749475,12.0,0.05333333333333334,200,2,1,Task Executed
default_nodes_T20_S1,Greedy,3,9,A,4.79157423749955,6.0,10.79157423749955,11.0,0.05333333333333334,300,1,2,Task Executed
default_nodes_T20_S1,Greedy,4,10,A,4.192627457812106,6.0,10.192627457812106,11.0,0.05333333333333334,200,2,1,Task Executed
default_nodes_T20_S1,Greedy,1,8,B,5.656854249492381,6.0,11.65685424949238,23.0,0.05333333333333334,150,0,1,Task Executed
default_nodes_T20_S1,Greedy,3,13,B,6.0609152673132645,6.0,12.060915267313264,24.0,0.05333333333333334,150,0,1,Task Executed
default_nodes_T20_S1,Greedy,4,Idle,Base,4.192627457812106,2.0,6.192627457812106,18.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,20.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,4,7,B,9.375,6.0,15.375,34.0,0.03743807420461399,100,3,0,Task Executed
default_nodes_T20_S1,Greedy,2,12,B,12.5,6.0,18.5,39.0,0.03314401396796713,300,3,0,Task Executed
default_nodes_T20_S1,Greedy,1,Idle,Base,10.0,2.0,12.0,35.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,3,Idle,Base,10.714285714285714,2.0,12.714285714285714,37.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,4,Idle,Base,9.375,2.0,11.375,46.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,1,15,C,12.649110640673518,6.0,18.64911064067352,54.0,0.015905193496447867,100,3,0,Task Executed
