Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
default_nodes_T20_S1,Greedy,1,8,B,10.0,6.0,16.0,16.0,0.0625,300,1,2,Task Executed
default_nodes_T20_S1,Greedy,2,12,B,12.5,6.0,18.5,19.0,0.0625,400,1,2,Task Executed
default_nodes_T20_S1,Greedy,3,17,B,10.714285714285714,6.0,16.714285714285715,17.0,0.0625,300,2,1,Task Executed
default_nodes_T20_S1,Greedy,4,1,C,11.858541225631424,6.0,17.858541225631424,18.0,0.0625,100,0,0,Task Executed
default_nodes_T20_S1,Greedy,1,10,B,0.0,6.0,6.0,22.0,0.046875,100,1,1,Task Executed
default_nodes_T20_S1,Greedy,3,7,B,0.0,6.0,6.0,23.0,0.03125,150,2,1,Task Executed
default_nodes_T20_S1,Greedy,4,16,D,5.303300858899107,6.0,11.303300858899107,30.0,0.03125,0,0,0,Task Executed
default_nodes_T20_S1,Greedy,2,2,C,5.5901699437494745,6.0,11.590169943749475,31.0,0.046875,250,1,0,Task Executed
default_nodes_T20_S1,Greedy,1,15,D,8.246211251235321,6.0,14.246211251235321,37.0,0.015625,0,1,1,Task Executed
default_nodes_T20_S1,Greedy,3,Idle,Base,10.714285714285714,2.0,12.714285714285714,36.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,4,Idle,Base,16.770509831248425,2.0,18.770509831248425,49.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,2,Idle,Base,15.811388300841896,2.0,17.811388300841898,49.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,3,3,C,13.552618543578768,6.0,19.552618543578767,56.0,0.029673136849571322,200,1,1,Task Executed
default_nodes_T20_S1,Greedy,1,Idle,Base,17.88854381999832,2.0,19.88854381999832,57.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,2,4,C,15.811388300841896,6.0,21.811388300841898,71.0,0.0009411687807607544,450,2,1,Task Executed
default_nodes_T20_S1,Greedy,4,13,D,16.770509831248425,6.0,22.770509831248425,72.0,0.0015373232980354628,400,3,1,Task Executed
default_nodes_T20_S1,Greedy,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,72.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,1,6,A,4.47213595499958,6.0,10.47213595499958,68.0,0.00218715249427711,200,3,0,Task Executed
default_nodes_T20_S1,Greedy,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,75.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,2,Idle,Base,15.811388300841896,2.0,17.811388300841898,89.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,3,18,B,10.714285714285714,6.0,16.714285714285715,89.0,0.0002312229072175032,100,1,0,Task Executed
default_nodes_T20_S1,Greedy,4,11,D,0.0,6.0,6.0,78.0,5.44802247600896e-05,50,3,1,Task Executed
default_nodes_T20_S1,Greedy,4,Idle,Base,16.770509831248425,2.0,18.770509831248425,97.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Greedy,3,Idle,Base,10.714285714285714,2.0,12.714285714285714,102.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Exact-HiGHS,3,6,A,4.79157423749955,6.0,10.79157423749955,11.0,0.046875,200,3,0,Task Executed
default_nodes_T20_S1,Exact-HiGHS,3,Idle,Base,4.79157423749955,2.0,6.79157423749955,18.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Exact-HiGHS,4,4,C,11.858541225631424,6.0,17.858541225631424,18.0,0.05309603772872779,450,2,1,Task Executed
default_nodes_T20_S1,Exact-HiGHS,2,17,B,12.5,6.0,18.5,19.0,0.06150793630331322,300,2,1,Task Executed
default_nodes_T20_S1,Exact-HiGHS,1,14,D,17.88854381999832,6.0,23.88854381999832,24.0,0.028836703259218444,200,3,3,Task Executed
default_nodes_T20_S1,Exact-HiGHS,2,12,B,0.0,6.0,6.0,25.0,0.0625,200,0,0,Task Executed
default_nodes_T20_S1,Exact-HiGHS,4,7,B,4.192627457812106,6.0,10.192627457812106,29.0,0.03125,300,2,1,Task Executed
default_nodes_T20_S1,Exact-HiGHS,1,15,D,0.0,6.0,6.0,30.0,0.023900016215488276,100,3,3,Task Executed
default_nodes_T20_S1,Exact-HiGHS,3,10,B,10.714285714285714,6.0,16.714285714285715,35.0,0.040452081781563946,300,3,2,Task Executed
default_nodes_T20_S1,Exact-HiGHS,4,8,B,0.0,6.0,6.0,35.0,0.0625,100,0,0,Task Executed
default_nodes_T20_S1,Exact-HiGHS,1,13,D,0.0,6.0,6.0,36.0,0.041849688638042844,0,3,1,Task Executed
default_nodes_T20_S1,Exact-HiGHS,2,16,D,10.307764064044152,6.0,16.30776406404415,42.0,0.020480537219927014,100,0,0,Task Executed
default_nodes_T20_S1,Exact-HiGHS,3,3,C,4.79157423749955,6.0,10.79157423749955,46.0,0.048561508775322754,0,1,0,Task Executed
default_nodes_T20_S1,Exact-HiGHS,4,Idle,Base,9.375,2.0,11.375,47.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Exact-HiGHS,1,Idle,Base,17.88854381999832,2.0,19.88854381999832,56.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Exact-HiGHS,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,62.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Exact-HiGHS,4,2,C,11.858541225631424,6.0,17.858541225631424,65.0,0.009965374533542619,350,3,1,Task Executed
default_nodes_T20_S1,Exact-HiGHS,2,Idle,Base,22.360679774997898,2.0,24.360679774997898,67.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Exact-HiGHS,1,1,C,12.649110640673518,6.0,18.64911064067352,75.0,0.0015164864733156129,100,0,0,Task Executed
default_nodes_T20_S1,Exact-HiGHS,4,11,D,5.303300858899107,6.0,11.303300858899107,77.0,7.653336755706538e-05,0,3,1,Task Executed
default_nodes_T20_S1,Exact-HiGHS,3,18,B,10.714285714285714,6.0,16.714285714285715,79.0,0.0010964219864508197,100,1,0,Task Executed
default_nodes_T20_S1,Exact-HiGHS,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,90.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Exact-HiGHS,3,Idle,Base,10.714285714285714,2.0,12.714285714285714,92.0,0.0,500,3,3,Idle
default_nodes_T20_S1,Exact-HiGHS,4,Idle,Base,16.770509831248425,2.0,18.770509831248425,96.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Greedy,1,1,B,10.0,6.0,16.0,16.0,0.06153846153846154,150,0,0,Task Executed
default_nodes_T20_S2,Greedy,2,2,B,12.5,6.0,18.5,19.0,0.06153846153846154,150,2,3,Task Executed
default_nodes_T20_S2,Greedy,3,14,C,13.552618543578768,6.0,19.552618543578767,20.0,0.06153846153846154,250,0,1,Task Executed
default_nodes_T20_S2,Greedy,4,17,C,11.858541225631424,6.0,17.858541225631424,18.0,0.06153846153846154,0,2,3,Task Executed
default_nodes_T20_S2,Greedy,1,Idle,Base,10.0,2.0,12.0,28.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Greedy,4,Idle,Base,11.858541225631424,2.0,13.858541225631424,32.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Greedy,2,4,D,10.307764064044152,6.0,16.30776406404415,36.0,0.040107957533848104,0,2,2,Task Executed
default_nodes_T20_S2,Greedy,3,11,C,0.0,6.0,6.0,26.0,0.03720154406414123,100,0,0,Task Executed
default_nodes_T20_S2,Greedy,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,42.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Greedy,1,13,A,4.47213595499958,6.0,10.47213595499958,39.0,0.04037901493245934,100,3,2,Task Executed
default_nodes_T20_S2,Greedy,4,6,C,11.858541225631424,6.0,17.858541225631424,50.0,0.013838677259011604,300,3,3,Task Executed
default_nodes_T20_S2,Greedy,2,Idle,Base,22.360679774997898,2.0,24.360679774997898,61.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Greedy,1,20,C,8.246211251235321,6.0,14.246211251235321,54.0,0.005989848170327273,50,3,0,Task Executed
default_nodes_T20_S2,Greedy,3,16,D,19.1662969499982,6.0,25.1662969499982,68.0,0.006836404797723604,100,3,0,Task Executed
default_nodes_T20_S2,Greedy,4,19,C,0.0,6.0,6.0,56.0,0.0043944428246851,50,3,3,Task Executed
default_nodes_T20_S2,Greedy,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,69.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Greedy,4,Idle,Base,11.858541225631424,2.0,13.858541225631424,70.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Greedy,2,7,C,15.811388300841896,6.0,21.811388300841898,83.0,0.0001865196601850193,50,1,1,Task Executed
default_nodes_T20_S2,Greedy,3,Idle,Base,19.1662969499982,2.0,21.1662969499982,90.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Greedy,1,12,C,12.649110640673518,6.0,18.64911064067352,88.0,0.00010250011163715494,50,3,1,Task Executed
default_nodes_T20_S2,Greedy,2,Idle,Base,15.811388300841896,2.0,17.811388300841898,101.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Greedy,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,103.0,0.0,500,3,3,Idle
default_nodes_T20_S2,Exact-HiGHS,1,1,B,10.0,6.0,16.0,16.0,0.06153846153846154,150,0,0,Task Executed
default_nodes_T20_S2,Exact-HiGHS,4,20,C,11.858541225631424,6.0,17.858541225631424,18.0,0.042259360814721814,450,3,1,Task Executed
