tasks,instance_seed,replicate,episode_seed,policy,ppo_seed,benefit,completed_tasks,completion_rate,relevant_completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps,medical_completion_rate,medical_benefit,personnel_completion_rate,personnel_benefit,cargo_completion_rate,cargo_benefit
20,1,0,12000100,Greedy online,-1,0.3922238878066348,14,0.7,0.3,25.285714285714285,97.0,237.74843286820757,0,0,34,0.5555555555555556,0.1868438943774036,0.8333333333333334,0.17017474642566416,0.8,0.035205247003566975
20,1,0,12000100,PPO,218,0.2820505017863445,7,0.35,0.3,17.428571428571427,58.0,100.06286695470344,0,0,29,0.2222222222222222,0.09985910320719285,0.5,0.140625,0.4,0.04156639857915168
20,2,0,12000200,Greedy online,-1,0.3854217315958011,12,0.6,0.4,29.416666666666668,97.0,232.77659474778832,0,0,29,0.75,0.18323788408552918,0.5555555555555556,0.17407269313199808,0.3333333333333333,0.028111154378273818
20,2,0,12000200,PPO,218,0.29136310361897655,9,0.45,0.3,28.88888888888889,61.0,114.6189407972756,0,0,27,0.375,0.10464787700232042,0.4444444444444444,0.14910215338390453,0.6666666666666666,0.03761307323275162
20,3,0,12000300,Greedy online,-1,0.3620343405815183,11,0.55,0.35,30.272727272727273,102.0,244.58101815093596,1,0,31,0.6666666666666666,0.22096903280792093,0.4,0.08026153690332372,0.5,0.06080377087027368
20,3,0,12000300,PPO,218,0.3150592988536907,11,0.55,0.4,28.727272727272727,92.0,167.52961989332817,1,0,36,0.4444444444444444,0.16202088677104717,0.6,0.04661903161049094,0.6666666666666666,0.10641938047215264
20,4,0,12000400,Greedy online,-1,0.4835223244293168,15,0.75,0.45,28.133333333333333,94.0,222.72931902468258,0,0,38,1.0,0.33499648033718993,0.3333333333333333,0.04641141503017237,0.625,0.10211442906195453
20,4,0,12000400,PPO,218,0.3202531076635182,8,0.4,0.4,17.875,38.0,59.07058192506924,0,0,24,0.2222222222222222,0.13114754098360656,0.3333333333333333,0.03821233477402446,0.625,0.15089323190588722
20,5,0,12000500,Greedy online,-1,0.3331091301044645,11,0.55,0.3,25.454545454545453,89.0,230.79608992261421,1,0,32,0.5,0.19651727835731966,0.7142857142857143,0.09759959373045404,0.4,0.03899225801669079
20,5,0,12000500,PPO,218,0.27433004348754275,7,0.35,0.3,20.428571428571427,41.0,79.76336557324466,0,0,24,0.5,0.18499556420984725,0.14285714285714285,0.03783331869798744,0.4,0.05150116057970807
20,6,0,12000600,Greedy online,-1,0.38142385902029763,12,0.6,0.35,33.666666666666664,104.0,202.58500136159446,0,0,34,0.6666666666666666,0.262095852749626,0.4,0.04553979133041483,0.6666666666666666,0.07378821494025678
20,6,0,12000600,PPO,218,0.24719600807674577,5,0.25,0.25,20.2,30.0,56.9861317391417,0,0,17,0.2222222222222222,0.12698412698412698,0.4,0.09302998353493369,0.16666666666666666,0.027181897557685093
