tasks,ppo_seed,timestep,episode_return,episode_length,instance_seed
60,218,56,11.409771,56,1036
60,218,107,12.528487,51,1055
60,218,167,11.091346,60,1033
60,218,228,15.068031,61,1056
60,218,285,12.366441,57,1059
60,218,338,13.318087,53,1013
60,218,390,11.055891,52,1056
60,218,440,9.704647,50,1023
60,218,499,8.402275,59,1049
60,218,560,13.010233,61,1016
60,218,609,9.908107,49,1011
60,218,656,9.094288,47,1040
60,218,711,13.549659,55,1054
60,218,762,13.151107,51,1012
60,218,817,14.1258,55,1015
60,218,868,9.105181,51,1027
60,218,922,11.064925,54,1007
60,218,990,16.417564,68,1028
60,218,1055,15.205779,65,1027
60,218,1109,12.172323,54,1001
60,218,1167,14.39368,58,1035
60,218,1221,15.25341,54,1027
60,218,1274,8.616286,53,1024
60,218,1330,13.87423,56,1059
60,218,1379,7.470778,49,1008
60,218,1441,10.824735,62,1012
60,218,1495,9.37966,54,1003
60,218,1563,14.126008,68,1028
60,218,1616,11.187199,53,1059
60,218,1668,10.708787,52,1035
60,218,1715,12.610272,47,1054
60,218,1774,9.973765,59,1021
60,218,1829,12.200259,55,1009
60,218,1886,13.193774,57,1014
60,218,1943,12.672214,57,1016
60,218,2007,10.97898,64,1009
60,218,2060,9.120106,53,1044
60,218,2125,16.766851,65,1032
60,218,2180,10.942468,55,1046
60,218,2234,11.777255,54,1033
60,218,2284,11.560225,50,1038
60,218,2342,13.080243,58,1009
60,218,2394,9.021164,52,1057
60,218,2452,11.839801,58,1046
60,218,2505,13.366822,53,1027
60,218,2560,8.955606,55,1043
60,218,2609,8.710976,49,1038
60,218,2663,11.935252,54,1038
60,218,2720,10.290303,57,1046
60,218,2772,13.406708,52,1009
60,218,2823,9.347721,51,1060
60,218,2876,10.702561,53,1030
60,218,2931,10.79033,55,1034
60,218,2989,11.795365,58,1050
60,218,3045,11.061835,56,1025
60,218,3099,7.902689,54,1038
60,218,3147,11.371805,48,1028
60,218,3204,10.489052,57,1029
60,218,3260,11.35174,56,1010
60,218,3314,10.043443,54,1030
60,218,3363,10.958096,49,1054
60,218,3415,6.828384,52,1003
60,218,3468,11.868214,53,1033
60,218,3523,10.325402,55,1045
60,218,3583,13.179667,60,1049
60,218,3634,12.412219,51,1024
60,218,3692,13.263266,58,1016
60,218,3751,12.147919,59,1051
60,218,3802,13.094786,51,1051
60,218,3863,14.133686,61,1009
60,218,3916,11.515539,53,1011
60,218,3969,12.104253,53,1009
60,218,4026,16.1868,57,1009
60,218,4089,9.205947,63,1005
60,218,4144,16.919712,55,1059
60,218,4194,14.465877,50,1015
60,218,4255,11.63467,61,1043
60,218,4310,10.864829,55,1015
60,218,4361,14.196529,51,1030
60,218,4414,8.888376,53,1019
60,218,4469,10.906761,55,1031
60,218,4530,10.409655,61,1051
60,218,4589,12.944466,59,1056
60,218,4651,16.797958,62,1009
60,218,4711,16.004023,60,1056
60,218,4779,15.065998,68,1059
60,218,4831,8.505068,52,1019
60,218,4891,11.73003,60,1018
60,218,4944,11.692897,53,1037
60,218,4997,15.048242,53,1041
60,218,5056,11.03725,59,1041
60,218,5107,9.503585,51,1003
60,218,5154,9.948138,47,1003
60,218,5208,10.408755,54,1029
60,218,5264,7.901365,56,1021
60,218,5314,9.743053,50,1034
60,218,5370,9.426919,56,1019
60,218,5422,9.856632,52,1057
60,218,5477,9.989403,55,1031
60,218,5531,11.492163,54,1018
60,218,5585,10.285998,54,1038
60,218,5630,12.535466,45,1048
60,218,5678,8.757151,48,1017
60,218,5734,9.128551,56,1024
60,218,5787,11.333432,53,1001
60,218,5839,14.496499,52,1015
60,218,5895,8.9197,56,1030
60,218,5952,11.829761,57,1045
60,218,6007,11.984774,55,1011
60,218,6074,14.742761,67,1009
60,218,6130,11.943142,56,1005
60,218,6189,11.927177,59,1037
60,218,6228,8.893068,39,1058
60,218,6280,15.562954,52,1038
60,218,6327,11.507662,47,1014
60,218,6381,13.9629,54,1040
60,218,6446,9.172283,65,1051
60,218,6499,12.040613,53,1055
60,218,6548,7.406673,49,1008
60,218,6613,11.761011,65,1028
60,218,6664,10.824252,51,1047
60,218,6717,9.788604,53,1047
60,218,6763,12.25003,46,1034
60,218,6822,14.735202,59,1028
60,218,6867,9.108715,45,1040
60,218,6925,10.164496,58,1037
60,218,6978,7.784603,53,1052
60,218,7026,12.621769,48,1021
60,218,7083,11.398381,57,1035
60,218,7144,14.61099,61,1005
60,218,7204,12.420365,60,1022
60,218,7259,10.991403,55,1025
60,218,7320,11.240196,61,1037
60,218,7383,15.213398,63,1048
60,218,7432,10.976109,49,1021
60,218,7490,12.717669,58,1021
60,218,7541,10.02786,51,1044
60,218,7596,10.943492,55,1037
60,218,7650,9.572765,54,1042
60,218,7708,11.411802,58,1037
60,218,7759,11.288068,51,1044
60,218,7821,13.024202,62,1056
60,218,7884,16.483709,63,1032
60,218,7942,9.83294,58,1058
60,218,7981,9.266552,39,1058
60,218,8030,13.658349,49,1054
60,218,8084,10.809896,54,1038
60,218,8145,12.134134,61,1002
60,218,8202,11.811386,57,1059
60,218,8257,9.27616,55,1016
60,218,8312,8.31554,55,1017
60,218,8370,9.405973,58,1026
60,218,8425,11.601398,55,1011
60,218,8474,9.930878,49,1044
60,218,8533,12.095205,59,1041
60,218,8585,11.091977,52,1044
60,218,8642,13.289169,57,1036
60,218,8691,9.378582,49,1044
60,218,8747,9.84559,56,1022
60,218,8809,10.829729,62,1020
60,218,8870,10.931869,61,1053
60,218,8923,10.390431,53,1007
60,218,8970,10.393034,47,1011
60,218,9026,10.090401,56,1010
60,218,9086,14.104565,60,1020
60,218,9137,9.524465,51,1024
60,218,9196,6.908614,59,1020
60,218,9253,12.821322,57,1054
60,218,9306,11.252978,53,1052
60,218,9365,11.786541,59,1021
60,218,9430,12.621615,65,1055
60,218,9479,10.488023,49,1060
60,218,9534,12.672312,55,1039
60,218,9584,8.178696,50,1003
60,218,9643,13.062558,59,1006
60,218,9701,7.868707,58,1010
60,218,9764,12.400298,63,1027
60,218,9819,13.010902,55,1002
60,218,9877,13.404671,58,1005
60,218,9927,9.784993,50,1021
60,218,9982,9.715362,55,1010
60,218,10037,10.071517,55,1023
60,218,10090,10.116931,53,1014
60,218,10150,12.652705,60,1050
60,218,10194,9.126413,44,1037
60,218,10261,14.436995,67,1058
60,218,10310,6.793494,49,1060
60,218,10359,7.590731,49,1030
60,218,10415,13.101961,56,1025
60,218,10468,11.529895,53,1027
60,218,10527,14.911534,59,1033
60,218,10582,11.476777,55,1054
60,218,10629,11.097944,47,1040
60,218,10694,13.853881,65,1020
60,218,10754,12.38097,60,1022
60,218,10813,14.277556,59,1028
60,218,10870,12.334089,57,1006
60,218,10922,10.956019,52,1006
60,218,10972,9.867242,50,1046
60,218,11028,11.432848,56,1024
60,218,11074,7.193896,46,1052
60,218,11129,11.830726,55,1058
60,218,11179,11.058397,50,1014
60,218,11223,9.900869,44,1044
60,218,11285,14.698628,62,1028
60,218,11333,12.828405,48,1009
60,218,11383,12.578409,50,1025
60,218,11434,11.237265,51,1046
60,218,11486,11.473609,52,1001
60,218,11534,9.346132,48,1003
60,218,11590,16.399142,56,1010
60,218,11648,13.110146,58,1036
60,218,11707,7.952453,59,1027
60,218,11763,11.802245,56,1034
60,218,11824,13.856405,61,1035
60,218,11880,13.805007,56,1004
60,218,11928,9.04339,48,1030
60,218,11984,13.036182,56,1058
60,218,12031,11.865772,47,1052
60,218,12088,14.885426,57,1048
60,218,12137,10.235064,49,1030
60,218,12191,10.175547,54,1053
60,218,12250,16.908458,59,1033
