tasks,instance_seed,replicate,episode_seed,policy,ppo_seed,benefit,completed_tasks,completion_rate,relevant_completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps,medical_completion_rate,medical_benefit,personnel_completion_rate,personnel_benefit,cargo_completion_rate,cargo_benefit
20,1,0,12000100,Greedy online,-1,0.3922238878066348,14,0.7,0.3,25.285714285714285,97.0,237.74843286820757,0,0,34,0.5555555555555556,0.1868438943774036,0.8333333333333334,0.17017474642566416,0.8,0.035205247003566975
20,1,0,12000100,PPO,218,0.29770473459919894,14,0.7,0.3,36.785714285714285,124.0,243.29226647221103,1,0,37,0.5555555555555556,0.07956251820861422,1.0,0.1863603453858587,0.6,0.03178187100472603
20,2,0,12000200,Greedy online,-1,0.3854217315958011,12,0.6,0.4,29.416666666666668,97.0,232.77659474778832,0,0,29,0.75,0.18323788408552918,0.5555555555555556,0.17407269313199808,0.3333333333333333,0.028111154378273818
20,2,0,12000200,PPO,218,0.267416121649756,9,0.45,0.3,29.22222222222222,91.0,142.07570870915197,0,0,30,0.25,0.09472788171705382,0.6666666666666666,0.1419190091634714,0.3333333333333333,0.03076923076923077
20,3,0,12000300,Greedy online,-1,0.3620343405815183,11,0.55,0.35,30.272727272727273,102.0,244.58101815093596,1,0,31,0.6666666666666666,0.22096903280792093,0.4,0.08026153690332372,0.5,0.06080377087027368
20,3,0,12000300,PPO,218,0.2921160208093263,9,0.45,0.35,36.333333333333336,109.0,185.1075677435419,1,0,32,0.3333333333333333,0.17861396343887564,0.6,0.0391252385259068,0.5,0.0743768188445439
20,4,0,12000400,Greedy online,-1,0.4835223244293168,15,0.75,0.45,28.133333333333333,94.0,222.72931902468258,0,0,38,1.0,0.33499648033718993,0.3333333333333333,0.04641141503017237,0.625,0.10211442906195453
20,4,0,12000400,PPO,218,0.3303102620689766,13,0.65,0.4,33.69230769230769,98.0,193.74294083200886,0,0,38,0.6666666666666666,0.19128420611688898,0.6666666666666666,0.04302423836759295,0.625,0.09600181758449466
20,5,0,12000500,Greedy online,-1,0.3331091301044645,11,0.55,0.3,25.454545454545453,89.0,230.79608992261421,1,0,32,0.5,0.19651727835731966,0.7142857142857143,0.09759959373045404,0.4,0.03899225801669079
20,5,0,12000500,PPO,218,0.22808439894099136,7,0.35,0.2,20.142857142857142,81.0,133.15147530568464,1,0,29,0.375,0.10977500092960588,0.14285714285714285,0.047619047619047616,0.6,0.07069035039233788
20,6,0,12000600,Greedy online,-1,0.38142385902029763,12,0.6,0.35,33.666666666666664,104.0,202.58500136159446,0,0,34,0.6666666666666666,0.262095852749626,0.4,0.04553979133041483,0.6666666666666666,0.07378821494025678
20,6,0,12000600,PPO,218,0.3603976074115951,12,0.6,0.35,31.916666666666668,103.0,214.722110588701,0,0,36,0.5555555555555556,0.23533985708493374,0.6,0.0898551647298767,0.6666666666666666,0.0352025855967847
20,7,0,12000700,Greedy online,-1,0.4882498237343109,16,0.8,0.4,22.375,98.0,214.3265088022978,0,0,36,1.0,0.2350031567374179,0.6,0.10158397334206176,0.8,0.15166269365483118
20,7,0,12000700,PPO,218,0.4466630912442384,14,0.7,0.5,22.642857142857142,87.0,156.20786642348855,1,0,33,0.8,0.16371846231135934,0.6,0.11948704988078299,0.7,0.1634575790520961
20,8,0,12000800,Greedy online,-1,0.3337881421425459,13,0.65,0.35,27.923076923076923,99.0,219.47724467449643,1,0,40,0.8571428571428571,0.13309461655430047,0.6666666666666666,0.17003758603200309,0.25,0.030655939556242327
20,8,0,12000800,PPO,218,0.3204659145294309,10,0.5,0.3,26.8,126.0,154.96545437286042,0,0,35,0.2857142857142857,0.09042481924615245,0.7777777777777778,0.19829506353724666,0.25,0.031746031746031744
20,9,0,12000900,Greedy online,-1,0.4051330779538718,12,0.6,0.4,23.666666666666668,109.0,231.98422415596428,0,0,33,0.7,0.27369499029749794,0.5,0.08587427488570953,0.5,0.04556381277066438
20,9,0,12000900,PPO,218,0.31979790871725156,11,0.55,0.35,26.818181818181817,65.0,130.72933826225636,0,0,33,0.3,0.14568051339410465,0.75,0.08945317592264826,0.8333333333333334,0.08466421940049869
20,10,0,12001000,Greedy online,-1,0.35860788801911897,15,0.75,0.25,34.8,95.0,206.33317914978292,1,0,35,0.7142857142857143,0.19975078072134936,0.6666666666666666,0.13482415969004796,1.0,0.024032947607721657
20,10,0,12001000,PPO,218,0.28008976497747234,11,0.55,0.25,31.181818181818183,83.0,185.03733257393088,1,0,37,0.5714285714285714,0.09998844065024706,0.5555555555555556,0.15470582541466346,0.5,0.02539549891256182
20,11,0,12001100,Greedy online,-1,0.3221321759852913,11,0.55,0.35,34.90909090909091,86.0,232.24830668210356,0,0,33,0.5454545454545454,0.2429988906432438,0.3333333333333333,0.0014094552012310962,0.6666666666666666,0.07772383014081645
