tasks,ppo_seed,timestep,episode_return,episode_length,instance_seed
20,218,33,0.248845,33,1036
20,218,67,0.202864,34,1055
20,218,103,0.325129,36,1033
20,218,143,0.268308,40,1056
20,218,188,0.347004,45,1059
20,218,222,0.188639,34,1013
20,218,263,0.326947,41,1056
20,218,300,0.252308,37,1023
20,218,343,0.329813,43,1049
20,218,388,0.309727,45,1016
20,218,422,0.336698,34,1011
20,218,462,0.196816,40,1040
20,218,502,0.418907,40,1054
20,218,537,0.242211,35,1012
20,218,575,0.252631,38,1015
20,218,619,0.382051,44,1027
20,218,664,0.271485,45,1007
20,218,708,0.366607,44,1028
20,218,742,0.196664,34,1027
20,218,782,0.345488,40,1001
20,218,817,0.249049,35,1035
20,218,854,0.234752,37,1027
20,218,890,0.261849,36,1024
20,218,928,0.285712,38,1059
20,218,963,0.231864,35,1008
20,218,1001,0.237833,38,1012
20,218,1042,0.256583,41,1003
20,218,1085,0.344152,43,1028
20,218,1126,0.262269,41,1059
20,218,1163,0.307102,37,1035
20,218,1198,0.210891,35,1054
20,218,1238,0.26174,40,1021
20,218,1280,0.258102,42,1009
20,218,1311,0.311623,31,1014
20,218,1352,0.241384,41,1016
20,218,1386,0.308732,34,1009
20,218,1423,0.249848,37,1044
20,218,1467,0.370319,44,1032
20,218,1508,0.25081,41,1046
20,218,1543,0.377809,35,1033
20,218,1582,0.314325,39,1038
20,218,1612,0.300446,30,1009
20,218,1648,0.226239,36,1057
20,218,1684,0.285434,36,1046
20,218,1719,0.319603,35,1027
20,218,1754,0.33899,35,1043
20,218,1791,0.291033,37,1038
20,218,1832,0.245442,41,1038
20,218,1871,0.22934,39,1046
20,218,1913,0.369395,42,1009
20,218,1948,0.254794,35,1060
20,218,1985,0.300907,37,1030
20,218,2021,0.242215,36,1034
20,218,2058,0.218431,37,1050
20,218,2097,0.350404,39,1025
20,218,2139,0.301179,42,1038
20,218,2175,0.437196,36,1028
20,218,2221,0.32849,46,1029
20,218,2259,0.273239,38,1010
20,218,2297,0.20438,38,1030
20,218,2336,0.280386,39,1054
20,218,2371,0.150376,35,1003
20,218,2406,0.239783,35,1033
20,218,2442,0.298341,36,1045
20,218,2481,0.335795,39,1049
20,218,2515,0.337206,34,1024
20,218,2551,0.270447,36,1016
20,218,2587,0.185544,36,1051
20,218,2619,0.220887,32,1051
20,218,2666,0.427612,47,1009
20,218,2706,0.348843,40,1011
20,218,2749,0.357844,43,1009
20,218,2789,0.286814,40,1009
20,218,2830,0.315913,41,1005
20,218,2866,0.2872,36,1059
20,218,2904,0.240867,38,1015
20,218,2939,0.234095,35,1043
20,218,2977,0.349113,38,1015
20,218,3008,0.241865,31,1030
20,218,3047,0.254558,39,1019
20,218,3088,0.349941,41,1031
20,218,3128,0.217114,40,1051
20,218,3173,0.300802,45,1056
20,218,3209,0.339253,36,1009
20,218,3253,0.324592,44,1056
20,218,3293,0.328121,40,1059
20,218,3329,0.298866,36,1019
20,218,3367,0.314972,38,1018
20,218,3402,0.268056,35,1037
20,218,3442,0.226776,40,1041
20,218,3478,0.295529,36,1041
20,218,3517,0.236991,39,1003
20,218,3554,0.219565,37,1003
20,218,3593,0.248593,39,1029
20,218,3633,0.220662,40,1021
20,218,3667,0.270795,34,1034
20,218,3702,0.232711,35,1019
20,218,3738,0.263535,36,1057
20,218,3774,0.307735,36,1031
20,218,3813,0.26049,39,1018
20,218,3850,0.237075,37,1038
20,218,3894,0.292239,44,1048
20,218,3928,0.311784,34,1017
20,218,3970,0.277652,42,1024
20,218,4012,0.361479,42,1001
20,218,4049,0.282397,37,1015
20,218,4085,0.244859,36,1030
20,218,4128,0.294686,43,1045
20,218,4159,0.284703,31,1011
20,218,4195,0.313551,36,1009
20,218,4232,0.232777,37,1005
20,218,4274,0.26323,42,1037
20,218,4313,0.339182,39,1058
20,218,4346,0.211806,33,1038
20,218,4383,0.248599,37,1014
20,218,4422,0.174791,39,1040
20,218,4465,0.198404,43,1051
20,218,4502,0.314609,37,1055
20,218,4537,0.247631,35,1008
20,218,4585,0.36896,48,1028
20,218,4623,0.275157,38,1047
20,218,4657,0.245258,34,1047
20,218,4695,0.288626,38,1034
20,218,4735,0.390009,40,1028
20,218,4772,0.239293,37,1040
20,218,4816,0.194305,44,1037
20,218,4850,0.290766,34,1052
20,218,4895,0.340849,45,1021
20,218,4931,0.320394,36,1035
20,218,4973,0.288869,42,1005
20,218,5011,0.302181,38,1022
20,218,5047,0.325964,36,1025
20,218,5081,0.24816,34,1037
20,218,5120,0.247795,39,1048
20,218,5162,0.273208,42,1021
20,218,5197,0.213361,35,1021
20,218,5234,0.238694,37,1044
20,218,5274,0.231783,40,1037
20,218,5315,0.263995,41,1042
20,218,5350,0.268249,35,1037
20,218,5389,0.329465,39,1044
20,218,5429,0.290886,40,1056
20,218,5474,0.361532,45,1032
20,218,5514,0.275281,40,1058
20,218,5551,0.293708,37,1058
20,218,5580,0.247008,29,1054
20,218,5612,0.301083,32,1038
20,218,5651,0.235576,39,1002
20,218,5690,0.309807,39,1059
20,218,5724,0.336115,34,1016
20,218,5763,0.223824,39,1017
20,218,5802,0.232799,39,1026
20,218,5840,0.335376,38,1011
20,218,5877,0.25236,37,1044
20,218,5913,0.264363,36,1041
20,218,5950,0.251635,37,1044
20,218,5989,0.275761,39,1036
20,218,6022,0.298649,33,1044
20,218,6066,0.272622,44,1022
20,218,6114,0.360349,48,1020
20,218,6149,0.191569,35,1053
20,218,6187,0.332174,38,1007
20,218,6225,0.308186,38,1011
20,218,6264,0.196985,39,1010
20,218,6303,0.317834,39,1020
20,218,6344,0.355828,41,1024
20,218,6383,0.288935,39,1020
20,218,6422,0.270251,39,1054
20,218,6458,0.253193,36,1052
20,218,6496,0.298404,38,1021
20,218,6538,0.24323,42,1055
20,218,6571,0.243709,33,1060
20,218,6605,0.280277,34,1039
20,218,6640,0.288941,35,1003
20,218,6679,0.253103,39,1006
20,218,6715,0.312503,36,1010
20,218,6749,0.250813,34,1027
20,218,6791,0.376651,42,1002
20,218,6836,0.377178,45,1005
20,218,6874,0.220863,38,1021
20,218,6915,0.197887,41,1010
20,218,6951,0.284764,36,1023
20,218,6987,0.278836,36,1014
20,218,7034,0.34507,47,1050
20,218,7071,0.389823,37,1037
20,218,7107,0.323874,36,1058
20,218,7138,0.225562,31,1060
20,218,7175,0.235173,37,1030
20,218,7214,0.361728,39,1025
20,218,7249,0.274344,35,1027
20,218,7292,0.375918,43,1033
20,218,7328,0.241404,36,1054
20,218,7363,0.170842,35,1040
20,218,7406,0.361951,43,1020
20,218,7447,0.285535,41,1022
20,218,7483,0.286056,36,1028
20,218,7520,0.436078,37,1006
20,218,7560,0.398244,40,1006
20,218,7597,0.282509,37,1046
20,218,7635,0.315033,38,1024
20,218,7670,0.25442,35,1052
20,218,7707,0.305037,37,1058
20,218,7741,0.225513,34,1014
20,218,7778,0.328276,37,1044
20,218,7819,0.365735,41,1028
20,218,7858,0.372915,39,1009
20,218,7893,0.296689,35,1025
20,218,7930,0.28141,37,1046
20,218,7968,0.297009,38,1001
20,218,8006,0.196849,38,1003
20,218,8046,0.28684,40,1010
20,218,8078,0.263208,32,1036
20,218,8115,0.270436,37,1027
