policy,seed,benefit,completed_tasks,completion_rate,relevant_completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps
Greedy online,0,0.6844718060409022,6,1.0,0.8333333333333334,13.833333333333334,65.0,28.97697756839498,0,0,17
PPO,0,0.7169797950133666,6,1.0,0.8333333333333334,12.666666666666666,56.0,27.737680478028192,0,0,15
Greedy online,1,0.6943177700374887,6,1.0,0.8333333333333334,15.166666666666666,55.0,25.5107808281518,1,0,15
PPO,1,0.6273964267498275,6,1.0,0.6666666666666666,17.833333333333332,63.0,27.990438890997545,2,0,14
Greedy online,2,0.7103700067427797,6,1.0,0.8333333333333334,10.5,58.0,32.73833952089921,1,0,16
PPO,2,0.7288787648704139,6,1.0,0.8333333333333334,10.0,55.0,26.568888671872504,0,0,15
Greedy online,3,0.7967641415090116,6,1.0,1.0,13.0,46.0,31.997030799995397,0,0,15
PPO,3,0.882859515119133,6,1.0,1.0,13.5,47.0,31.378089667022664,0,0,14
Greedy online,4,0.8220538818082983,6,1.0,0.8333333333333334,13.0,67.0,30.223749775639398,0,0,14
PPO,4,0.8922981189687849,6,1.0,1.0,11.666666666666666,56.0,32.10558940399114,0,0,15
Greedy online,5,0.35083171797967644,5,0.8333333333333334,0.3333333333333333,14.0,74.0,27.02879860495019,1,0,13
PPO,5,0.3400951277948375,6,1.0,0.3333333333333333,17.666666666666668,79.0,29.208141250039212,1,0,15
Greedy online,6,0.7320918370172068,6,1.0,0.8333333333333334,12.666666666666666,56.0,30.512755231471026,0,0,14
PPO,6,0.7429113900413894,6,1.0,0.8333333333333334,11.5,51.0,28.346196993228084,0,0,14
Greedy online,7,0.8940044794818411,6,1.0,1.0,15.833333333333334,39.0,24.545567682736774,0,0,14
PPO,7,0.9750408239700907,6,1.0,1.0,17.5,46.0,30.284684864240205,0,0,15
Greedy online,8,0.9548234803244191,6,1.0,1.0,16.166666666666668,52.0,30.747747268253114,1,0,16
PPO,8,0.93017649968495,6,1.0,1.0,16.5,47.0,29.860525071511848,1,0,16
Greedy online,9,0.7567369124994464,6,1.0,0.8333333333333334,13.166666666666666,55.0,31.014958058803415,1,0,16
PPO,9,0.6965531860127284,6,1.0,0.6666666666666666,15.833333333333334,58.0,34.139639936939716,1,0,16
Greedy online,10,0.6843578442806822,6,1.0,0.6666666666666666,15.333333333333334,56.0,33.76358640733883,0,0,16
PPO,10,0.7267303620857106,6,1.0,0.6666666666666666,12.0,55.0,29.58700402775944,0,0,14
Greedy online,11,0.6776426923809318,6,1.0,0.8333333333333334,11.5,54.0,31.748543021963698,0,0,16
PPO,11,0.6719753502972274,6,1.0,0.8333333333333334,11.333333333333334,53.0,32.294673258195985,0,0,16
Greedy online,12,0.6767647617266528,5,0.8333333333333334,0.8333333333333334,12.0,56.0,25.311834724592625,1,0,16
PPO,12,0.7264757310047504,6,1.0,0.8333333333333334,11.666666666666666,55.0,28.72485969934961,1,0,16
Greedy online,13,0.7741467750706023,6,1.0,0.8333333333333334,17.166666666666668,45.0,30.97479069733904,1,0,14
PPO,13,0.8895205989279902,6,1.0,0.8333333333333334,15.666666666666666,45.0,30.18613521952811,0,0,13
Greedy online,14,0.8457882961451011,6,1.0,0.8333333333333334,11.666666666666666,47.0,31.727905131194984,0,0,14
PPO,14,0.8457882961451011,6,1.0,0.8333333333333334,11.666666666666666,47.0,31.727905131194984,0,0,14
Greedy online,15,0.6770233630462907,6,1.0,0.8333333333333334,14.0,58.0,31.911303569748952,0,0,14
PPO,15,0.823381192845355,6,1.0,1.0,12.166666666666666,58.0,30.018660371123932,0,0,14
Greedy online,16,0.6710930684738458,6,1.0,0.8333333333333334,17.666666666666668,66.0,34.12375116643834,1,0,17
PPO,16,0.6943018608579089,6,1.0,0.8333333333333334,15.0,52.0,36.96447600724089,0,0,16
Greedy online,17,0.6912391775168525,6,1.0,0.8333333333333334,11.666666666666666,64.0,37.531968730124866,0,0,17
PPO,17,0.69053495178544,5,0.8333333333333334,0.8333333333333334,9.6,51.0,27.838852599008945,0,0,14
Greedy online,18,0.8143840871784397,6,1.0,1.0,17.5,52.0,30.74732427061041,1,0,16
PPO,18,0.7835887356921175,6,1.0,0.8333333333333334,18.666666666666668,53.0,31.511494493298525,1,0,16
Greedy online,19,0.6352052552772526,6,1.0,0.6666666666666666,11.333333333333334,63.0,31.99618497248759,0,0,14
PPO,19,0.641833844060118,6,1.0,0.6666666666666666,10.833333333333334,63.0,31.46236128279486,0,0,14
Greedy online,20,0.5312948406898003,6,1.0,0.5,12.666666666666666,63.0,34.03721213400721,0,0,14
PPO,20,0.5281154950267656,6,1.0,0.5,12.0,60.0,31.45264397482527,0,0,14
Greedy online,21,0.5978593124929852,6,1.0,0.6666666666666666,18.0,58.0,29.976749939914008,2,0,16
PPO,21,0.5762242690775691,6,1.0,0.5,18.166666666666668,55.0,31.516167881085444,2,0,16
Greedy online,22,0.95351235973934,6,1.0,1.0,12.333333333333334,42.0,27.22167138683836,0,0,14
PPO,22,0.9439878613097222,6,1.0,1.0,14.0,47.0,31.868129281439742,0,0,15
Greedy online,23,0.7602234103856519,6,1.0,0.8333333333333334,10.666666666666666,57.0,28.863669479567154,0,0,15
PPO,23,0.766824048239342,6,1.0,0.8333333333333334,11.333333333333334,57.0,28.845709191412983,0,0,14
Greedy online,24,0.7676080217782549,6,1.0,0.8333333333333334,11.333333333333334,64.0,23.732755568470665,0,0,14
PPO,24,0.7791252021581627,6,1.0,0.8333333333333334,11.333333333333334,52.0,31.473719506253655,0,0,16
Greedy online,25,0.7293496407420916,6,1.0,0.8333333333333334,10.666666666666666,60.0,31.929144035027136,0,0,14
PPO,25,0.720581670639882,6,1.0,0.8333333333333334,11.333333333333334,56.0,36.22754873264141,0,0,15
Greedy online,26,0.8547752056836606,6,1.0,1.0,11.0,49.0,29.95922932182923,0,0,16
PPO,26,0.8473717507213863,6,1.0,1.0,10.666666666666666,49.0,31.541250517751113,0,0,15
Greedy online,27,0.674183266595499,6,1.0,0.8333333333333334,11.833333333333334,60.0,32.086877385807306,0,0,15
PPO,27,0.674183266595499,6,1.0,0.8333333333333334,11.833333333333334,60.0,32.09655057625785,0,0,15
Greedy online,28,0.9693198208747943,6,1.0,1.0,15.666666666666666,42.0,29.844523536379313,0,0,12
PPO,28,0.957402955280747,6,1.0,1.0,18.833333333333332,50.0,29.274890482457202,1,0,13
Greedy online,29,0.6507134768072421,6,1.0,0.6666666666666666,14.166666666666666,58.0,33.05333861516405,0,0,14
PPO,29,0.6904970598971975,6,1.0,0.6666666666666666,12.666666666666666,59.0,34.40314872196313,0,0,14
Greedy online,30,0.8479342076991128,6,1.0,1.0,12.166666666666666,47.0,35.924899061098515,0,0,15
PPO,30,0.8479342076991128,6,1.0,1.0,12.0,47.0,35.88343411654637,0,0,16
Greedy online,31,0.8163723416531424,6,1.0,0.8333333333333334,15.166666666666666,49.0,28.092488411037046,0,0,12
PPO,31,0.9526434292653962,6,1.0,1.0,15.833333333333334,47.0,27.261557978548097,0,0,12
Greedy online,32,0.9350612847270476,6,1.0,1.0,16.166666666666668,55.0,29.19450894931052,1,0,13
PPO,32,0.92470745463259,6,1.0,1.0,16.333333333333332,54.0,27.960085622269705,1,0,14
Greedy online,33,0.6118037637492844,6,1.0,0.5,13.333333333333334,72.0,34.00809634180103,0,0,18
PPO,33,0.6084716891569241,6,1.0,0.5,13.333333333333334,72.0,34.02357291448995,0,0,17
Greedy online,34,0.6463331608145347,6,1.0,0.6666666666666666,10.833333333333334,55.0,37.45067441380825,0,0,15
PPO,34,0.6463331608145347,6,1.0,0.6666666666666666,10.833333333333334,55.0,37.45067441380825,0,0,15
Greedy online,35,0.5725116926841426,6,1.0,0.6666666666666666,12.333333333333334,64.0,34.84728364752371,0,0,15
PPO,35,0.5147665024783414,6,1.0,0.5,12.5,62.0,37.00697770360881,0,0,16
Greedy online,36,0.7916559594778259,6,1.0,0.6666666666666666,9.666666666666666,57.0,35.509396698377756,0,0,16
