Configuration,Tasks,Budget sec,Instances,Certified,Certification Rate,Certification Percent
A: 4 helos × 4 areas,20,1.0,30,2,0.06666666666666667,6.666666666666667
A: 4 helos × 4 areas,20,5.0,30,22,0.7333333333333333,73.33333333333333
A: 4 helos × 4 areas,20,15.0,30,29,0.9666666666666667,96.66666666666667
A: 4 helos × 4 areas,20,60.0,30,30,1.0,100.0
A: 4 helos × 4 areas,20,600.0,30,30,1.0,100.0
A: 4 helos × 4 areas,30,1.0,30,0,0.0,0.0
A: 4 helos × 4 areas,30,5.0,30,9,0.3,30.0
A: 4 helos × 4 areas,30,15.0,30,27,0.9,90.0
A: 4 helos × 4 areas,30,60.0,30,30,1.0,100.0
A: 4 helos × 4 areas,30,600.0,30,30,1.0,100.0
A: 4 helos × 4 areas,40,1.0,30,0,0.0,0.0
A: 4 helos × 4 areas,40,5.0,30,3,0.1,10.0
A: 4 helos × 4 areas,40,15.0,30,16,0.5333333333333333,53.333333333333336
A: 4 helos × 4 areas,40,60.0,30,29,0.9666666666666667,96.66666666666667
A: 4 helos × 4 areas,40,600.0,30,30,1.0,100.0
A: 4 helos × 4 areas,50,1.0,30,0,0.0,0.0
A: 4 helos × 4 areas,50,5.0,30,0,0.0,0.0
A: 4 helos × 4 areas,50,15.0,30,5,0.16666666666666666,16.666666666666664
A: 4 helos × 4 areas,50,60.0,30,25,0.8333333333333334,83.33333333333334
A: 4 helos × 4 areas,50,600.0,30,30,1.0,100.0
A: 4 helos × 4 areas,60,1.0,30,0,0.0,0.0
A: 4 helos × 4 areas,60,5.0,30,0,0.0,0.0
A: 4 helos × 4 areas,60,15.0,30,2,0.06666666666666667,6.666666666666667
A: 4 helos × 4 areas,60,60.0,30,16,0.5333333333333333,53.333333333333336
A: 4 helos × 4 areas,60,600.0,30,30,1.0,100.0
B: 6 helos × 7 areas,20,1.0,30,0,0.0,0.0
B: 6 helos × 7 areas,20,5.0,30,1,0.03333333333333333,3.3333333333333335
B: 6 helos × 7 areas,20,15.0,30,12,0.4,40.0
B: 6 helos × 7 areas,20,60.0,30,25,0.8333333333333334,83.33333333333334
B: 6 helos × 7 areas,20,600.0,30,30,1.0,100.0
B: 6 helos × 7 areas,20,1800.0,30,30,1.0,100.0
B: 6 helos × 7 areas,30,1.0,30,0,0.0,0.0
B: 6 helos × 7 areas,30,5.0,30,0,0.0,0.0
B: 6 helos × 7 areas,30,15.0,30,2,0.06666666666666667,6.666666666666667
B: 6 helos × 7 areas,30,60.0,30,10,0.3333333333333333,33.33333333333333
B: 6 helos × 7 areas,30,600.0,30,28,0.9333333333333333,93.33333333333333
B: 6 helos × 7 areas,30,1800.0,30,30,1.0,100.0
B: 6 helos × 7 areas,40,1.0,30,0,0.0,0.0
B: 6 helos × 7 areas,40,5.0,30,0,0.0,0.0
B: 6 helos × 7 areas,40,15.0,30,0,0.0,0.0
B: 6 helos × 7 areas,40,60.0,30,2,0.06666666666666667,6.666666666666667
B: 6 helos × 7 areas,40,600.0,30,20,0.6666666666666666,66.66666666666666
B: 6 helos × 7 areas,40,1800.0,30,27,0.9,90.0
B: 6 helos × 7 areas,50,1.0,30,0,0.0,0.0
B: 6 helos × 7 areas,50,5.0,30,0,0.0,0.0
B: 6 helos × 7 areas,50,15.0,30,0,0.0,0.0
B: 6 helos × 7 areas,50,60.0,30,0,0.0,0.0
B: 6 helos × 7 areas,50,600.0,30,7,0.23333333333333334,23.333333333333332
B: 6 helos × 7 areas,50,1800.0,30,21,0.7,70.0
B: 6 helos × 7 areas,60,1.0,30,0,0.0,0.0
B: 6 helos × 7 areas,60,5.0,30,0,0.0,0.0
B: 6 helos × 7 areas,60,15.0,30,0,0.0,0.0
B: 6 helos × 7 areas,60,60.0,30,0,0.0,0.0
B: 6 helos × 7 areas,60,600.0,30,1,0.03333333333333333,3.3333333333333335
B: 6 helos × 7 areas,60,1800.0,30,9,0.3,30.0
