Configuration,Tasks,Instances,Certified,Runtime_median,Runtime_Q25,Runtime_Q75,Certification Percent
Experiment A: 4 helos × 4 areas,20,30,30,3.277509249994182,2.3985081355021975,4.799136260502564,100.0
Experiment A: 4 helos × 4 areas,30,30,30,7.36691543750203,5.178753552241687,10.559342729502534,100.0
Experiment A: 4 helos × 4 areas,40,30,30,14.701148041502165,9.912863406003453,21.697303385495616,100.0
Experiment A: 4 helos × 4 areas,50,30,30,23.594265916501172,18.675932687496243,38.208770863999234,100.0
Experiment A: 4 helos × 4 areas,60,30,30,47.47779175001051,25.480092624999088,119.5263759269983,100.0
Experiment B: 6 helos × 7 areas,20,30,30,17.79325756250182,9.68774993799525,33.75399953174201,100.0
Experiment B: 6 helos × 7 areas,30,30,28,92.05619216649211,50.84614174999297,243.39271448951334,93.33333333333333
Experiment B: 6 helos × 7 areas,40,30,20,482.4071112915117,280.62117758348904,601.3951202600001,66.66666666666667
Experiment B: 6 helos × 7 areas,50,30,7,601.5065101045038,601.1252321874999,603.814169260273,23.333333333333332
Experiment B: 6 helos × 7 areas,60,30,1,682.7924299165024,602.1034951144829,1082.6720793960048,3.3333333333333335
