Tasks,Budget sec,Experiment A: 4 helos × 4 areas,Experiment B: 6 helos × 7 areas,B minus A pp
20,1.0,6.666666666666667,0.0,-6.666666666666667
20,5.0,73.33333333333333,3.3333333333333335,-70.0
20,15.0,96.66666666666667,40.0,-56.66666666666667
20,60.0,100.0,83.33333333333334,-16.666666666666657
20,600.0,100.0,100.0,0.0
30,1.0,0.0,0.0,0.0
30,5.0,30.0,0.0,-30.0
30,15.0,90.0,6.666666666666667,-83.33333333333333
30,60.0,100.0,33.33333333333333,-66.66666666666667
30,600.0,100.0,93.33333333333333,-6.666666666666671
40,1.0,0.0,0.0,0.0
40,5.0,10.0,0.0,-10.0
40,15.0,53.333333333333336,0.0,-53.333333333333336
40,60.0,96.66666666666667,6.666666666666667,-90.0
40,600.0,100.0,66.66666666666666,-33.33333333333334
50,1.0,0.0,0.0,0.0
50,5.0,0.0,0.0,0.0
50,15.0,16.666666666666664,0.0,-16.666666666666664
50,60.0,83.33333333333334,0.0,-83.33333333333334
50,600.0,100.0,23.333333333333332,-76.66666666666667
60,1.0,0.0,0.0,0.0
60,5.0,0.0,0.0,0.0
60,15.0,6.666666666666667,0.0,-6.666666666666667
60,60.0,53.333333333333336,0.0,-53.333333333333336
60,600.0,100.0,3.3333333333333335,-96.66666666666667
