Execution ID,Run ID,Run Correlative,Run Total,Scenario,Tasks,Seed,Started At,Finished At,Elapsed sec,Elapsed HH:MM:SS,Status,Methods Requested,HiGHS Budgets sec,HiGHS Incumbents,HiGHS Certified,RSS GB,Swap GB,Error
20260808_004608-0400,20260808_004608-0400-0001,1,150,A4x4_T20_S1,20,1,2026-08-08T00:46:09-04:00,2026-08-08T00:46:42-04:00,32.47153879100006,00:00:32,COMPLETED,7,"1,5,15,60,600",3,3,0.262451171875,6.850341796875,
20260808_004608-0400,20260808_004608-0400-0002,2,150,A4x4_T20_S2,20,2,2026-08-08T00:46:42-04:00,2026-08-08T00:46:53-04:00,11.108628875001159,00:00:11,COMPLETED,7,"1,5,15,60,600",4,4,0.170166015625,6.850341796875,
20260808_004608-0400,20260808_004608-0400-0003,3,150,A4x4_T20_S3,20,3,2026-08-08T00:46:53-04:00,2026-08-08T00:47:06-04:00,12.745017416997143,00:00:13,COMPLETED,7,"1,5,15,60,600",4,4,0.2922210693359375,6.850341796875,
20260808_004608-0400,20260808_004608-0400-0004,4,150,A4x4_T20_S4,20,4,2026-08-08T00:47:06-04:00,2026-08-08T00:47:24-04:00,18.610295792001125,00:00:19,COMPLETED,7,"1,5,15,60,600",4,4,0.2769775390625,5.88348388671875,
20260808_004608-0400,20260808_004608-0400-0005,5,150,A4x4_T20_S5,20,5,2026-08-08T00:47:24-04:00,2026-08-08T00:47:40-04:00,15.36024629199892,00:00:15,COMPLETED,7,"1,5,15,60,600",4,4,0.27032470703125,4.259765625,
20260808_004608-0400,20260808_004608-0400-0006,6,150,A4x4_T20_S6,20,6,2026-08-08T00:47:40-04:00,2026-08-08T00:47:47-04:00,7.290332417000172,00:00:07,COMPLETED,7,"1,5,15,60,600",4,4,0.19384765625,4.251953125,
20260808_004608-0400,20260808_004608-0400-0007,7,150,A4x4_T20_S7,20,7,2026-08-08T00:47:47-04:00,2026-08-08T00:48:55-04:00,68.43966100000034,00:01:08,COMPLETED,7,"1,5,15,60,600",3,2,0.3976287841796875,4.142578125,
20260808_004608-0400,20260808_004608-0400-0008,8,150,A4x4_T20_S8,20,8,2026-08-08T00:48:55-04:00,2026-08-08T00:49:04-04:00,8.931957249998959,00:00:09,COMPLETED,7,"1,5,15,60,600",4,4,0.295196533203125,4.142578125,
20260808_004608-0400,20260808_004608-0400-0009,9,150,A4x4_T20_S9,20,9,2026-08-08T00:49:04-04:00,2026-08-08T00:49:19-04:00,14.740375249999488,00:00:15,COMPLETED,7,"1,5,15,60,600",4,4,0.311676025390625,4.134765625,
20260808_004608-0400,20260808_004608-0400-0010,10,150,A4x4_T20_S10,20,10,2026-08-08T00:49:19-04:00,2026-08-08T00:49:25-04:00,6.424956041002588,00:00:06,COMPLETED,7,"1,5,15,60,600",4,4,0.3328094482421875,4.134765625,
20260808_004608-0400,20260808_004608-0400-0011,11,150,A4x4_T20_S11,20,11,2026-08-08T00:49:25-04:00,2026-08-08T00:49:27-04:00,1.187967124998977,00:00:01,COMPLETED,7,"1,5,15,60,600",5,5,0.325897216796875,4.134765625,
20260808_004608-0400,20260808_004608-0400-0012,12,150,A4x4_T20_S12,20,12,2026-08-08T00:49:27-04:00,2026-08-08T00:49:49-04:00,22.311929542000144,00:00:22,COMPLETED,7,"1,5,15,60,600",4,4,0.26446533203125,4.11126708984375,
20260808_004608-0400,20260808_004608-0400-0013,13,150,A4x4_T20_S13,20,13,2026-08-08T00:49:49-04:00,2026-08-08T00:50:08-04:00,18.495262333999563,00:00:18,COMPLETED,7,"1,5,15,60,600",4,4,0.2934112548828125,4.01751708984375,
20260808_004608-0400,20260808_004608-0400-0014,14,150,A4x4_T20_S14,20,14,2026-08-08T00:50:08-04:00,2026-08-08T00:50:27-04:00,19.269180499999493,00:00:19,COMPLETED,7,"1,5,15,60,600",4,4,0.3134002685546875,4.01751708984375,
20260808_004608-0400,20260808_004608-0400-0015,15,150,A4x4_T20_S15,20,15,2026-08-08T00:50:27-04:00,2026-08-08T00:50:38-04:00,11.357861541000602,00:00:11,COMPLETED,7,"1,5,15,60,600",4,4,0.342987060546875,4.01751708984375,
20260808_004608-0400,20260808_004608-0400-0016,16,150,A4x4_T20_S16,20,16,2026-08-08T00:50:38-04:00,2026-08-08T00:50:55-04:00,17.24825625000085,00:00:17,COMPLETED,7,"1,5,15,60,600",4,4,0.456451416015625,4.01751708984375,
