Execution ID,Run ID,Run Correlative,Run Total,Scenario,Seed,Tasks,Method,Normalized Mission Value,Weighted Impact Coverage,Impact Coverage,Physical Completed Tasks,Physical Completion Rate,Medical Evacuees,Personnel Transported,Cargo Delivered kg,Medical Impact Coverage,Personnel Impact Coverage,Cargo Impact Coverage,Average Response Time,Maximum Response Time,Makespan,Total Flight Time,Task Flight Time,Return Flight Time,Value per Flight Minute,Runtime sec,Solver Time sec,Graph Time sec,Matrix Time sec,End-to-end sec,Optimal Certified,MIP Gap,Primal Bound,Dual Bound,Variables,Constraints,Nonzeros,Solver Message,MIP Nodes,Time Limit sec
20260731_124647-0400,20260731_124647-0400-0001,1,150,A4x4_T20_S1,1,20,Greedy-Benefit,0.4562900666450066,0.6551181102362205,0.6342105263157897,13.0,0.65,13.0,9.0,350.0,0.6842105263157895,0.6923076923076923,0.35,44.53846153846154,82.0,102.0,243.4748223309835,126.86355396094426,116.61126837003928,0.0018740749547594647,0.001956625026650727,,,,0.0019568330608308315,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0001,1,150,A4x4_T20_S1,1,20,Greedy-Density-Operational,0.4708142531806667,0.7653543307086613,0.7394736842105266,15.0,0.75,15.0,11.0,350.0,0.7894736842105263,0.8461538461538461,0.35,48.86666666666667,93.0,105.0,273.69514542900066,142.1014750263801,131.59367040262055,0.0017202141179475205,0.005318249925039709,,,,0.00531912490259856,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0001,1,150,A4x4_T20_S1,1,20,Greedy-Density-Cycle,0.4622666815444112,0.7039370078740157,0.7157894736842108,15.0,0.75,12.0,11.0,700.0,0.631578947368421,0.8461538461538461,0.7,45.06666666666667,85.0,101.0,261.40469275463306,132.07388031695598,129.33081243767705,0.0017683947318356554,0.0037867079954594374,,,,0.003787333029322326,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,3.650952582946047,3.650952582946047,0.10259016696363688,0.05398258403874934,3.8075253339484334,False,,,,29318.0,11620.0,76358.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is At lower/fixed bound),,1.0
20260731_124647-0400,20260731_124647-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-5s,0.5269807318306424,0.7181102362204724,0.6868421052631583,14.0,0.7,15.0,9.0,350.0,0.7894736842105263,0.6923076923076923,0.35,45.42857142857143,84.0,96.0,244.3097911628172,123.55080084259983,120.75899032021738,0.00215701846955222,3.603085167007521,3.603085167007521,0.10259016696363688,0.05398258403874934,3.759657918009907,True,0.0,0.5269807318306425,0.5269807318306425,29318.0,11620.0,76358.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,5.0
20260731_124647-0400,20260731_124647-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-15s,0.5269807318306424,0.7181102362204724,0.6868421052631583,14.0,0.7,15.0,9.0,350.0,0.7894736842105263,0.6923076923076923,0.35,45.42857142857143,84.0,96.0,244.3097911628172,123.55080084259983,120.75899032021738,0.00215701846955222,3.6424378330120817,3.6424378330120817,0.10259016696363688,0.05398258403874934,3.799010584014468,True,0.0,0.5269807318306425,0.5269807318306425,29318.0,11620.0,76358.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,15.0
20260731_124647-0400,20260731_124647-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-60s,0.5269807318306424,0.7181102362204724,0.6868421052631583,14.0,0.7,15.0,9.0,350.0,0.7894736842105263,0.6923076923076923,0.35,45.42857142857143,84.0,96.0,244.3097911628172,123.55080084259983,120.75899032021738,0.00215701846955222,3.4991847499040887,3.4991847499040887,0.10259016696363688,0.05398258403874934,3.655757500906475,True,0.0,0.5269807318306425,0.5269807318306425,29318.0,11620.0,76358.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,60.0
20260731_124647-0400,20260731_124647-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-600s,0.5269807318306424,0.7181102362204724,0.6868421052631583,14.0,0.7,15.0,9.0,350.0,0.7894736842105263,0.6923076923076923,0.35,45.42857142857143,84.0,96.0,244.3097911628172,123.55080084259983,120.75899032021738,0.00215701846955222,3.590755166951567,3.590755166951567,0.10259016696363688,0.05398258403874934,3.747327917953953,True,0.0,0.5269807318306425,0.5269807318306425,29318.0,11620.0,76358.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,600.0
20260731_124647-0400,20260731_124647-0400-0002,2,150,A4x4_T20_S2,2,20,Greedy-Benefit,0.45696011054276614,0.6821561338289964,0.6463414634146343,11.0,0.55,11.0,9.0,200.0,0.7857142857142857,0.6428571428571429,0.25,45.81818181818182,83.0,101.0,255.0683471016,128.70657437681777,126.36177272478224,0.0017915202561796023,0.001762000028975308,,,,0.0017622499726712704,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0002,2,150,A4x4_T20_S2,2,20,Greedy-Density-Operational,0.46099565189121045,0.6356877323420076,0.6310975609756098,11.0,0.55,9.0,9.0,450.0,0.6428571428571429,0.6428571428571429,0.5625,40.81818181818182,68.0,86.0,231.64425736797432,116.02440357516022,115.61985379281413,0.0019901017928491277,0.0010797500144690275,,,,0.0010800410527735949,False,,,,,,,Constructive heuristic,,
