Execution ID,Run ID,Run Correlative,Run Total,Scenario,Seed,Tasks,Method,Normalized Mission Value,Weighted Impact Coverage,Impact Coverage,Physical Completed Tasks,Physical Completion Rate,Medical Evacuees,Personnel Transported,Cargo Delivered kg,Medical Impact Coverage,Personnel Impact Coverage,Cargo Impact Coverage,Average Response Time,Maximum Response Time,Makespan,Total Flight Time,Task Flight Time,Return Flight Time,Value per Flight Minute,Runtime sec,Solver Time sec,Graph Time sec,Matrix Time sec,End-to-end sec,Optimal Certified,MIP Gap,Primal Bound,Dual Bound,Variables,Constraints,Nonzeros,Solver Message,Has Incumbent,MIP Nodes,Time Limit sec,Solver Status Code
20260808_112401-0400,20260808_112401-0400-0001,1,150,A4x4_T20_S1,1,20,Greedy-Benefit,0.4562900666450066,0.6551181102362205,0.6342105263157897,13.0,0.65,13.0,9.0,350.0,0.6842105263157895,0.6923076923076923,0.35,44.53846153846154,82.0,102.0,243.4748223309835,126.86355396094426,116.61126837003928,0.0018740749547594647,0.002510459002223797,,,,0.0025257919915020466,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0001,1,150,A4x4_T20_S1,1,20,Greedy-Density-Operational,0.4708142531806667,0.7653543307086613,0.7394736842105266,15.0,0.75,15.0,11.0,350.0,0.7894736842105263,0.8461538461538461,0.35,48.86666666666667,93.0,105.0,273.69514542900066,142.1014750263801,131.59367040262055,0.0017202141179475205,0.004423250007675961,,,,0.004424166007083841,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,1.761996832996374,1.761996832996374,0.4598813750053523,0.033778458993765526,2.255656666995492,False,,,,29318.0,11620.0,76358.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
20260808_112401-0400,20260808_112401-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-5s,,,,,,,,,,,,,,,,,,,5.590050874990993,5.590050874990993,0.4598813750053523,0.033778458993765526,6.083710708990111,False,,,,29318.0,11620.0,76358.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,5.0,1.0
20260808_112401-0400,20260808_112401-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-15s,0.5269807318306424,0.7181102362204724,0.6868421052631583,14.0,0.7,15.0,9.0,350.0,0.7894736842105263,0.6923076923076923,0.35,45.42857142857143,84.0,96.0,244.3097911628172,123.55080084259983,120.75899032021738,0.00215701846955222,12.065319207991706,12.065319207991706,0.4598813750053523,0.033778458993765526,12.558979041990824,True,0.0,0.5269807318306425,0.5269807318306425,29318.0,11620.0,76358.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,15.0,0.0
20260808_112401-0400,20260808_112401-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-60s,0.5269807318306424,0.7181102362204724,0.6868421052631583,14.0,0.7,15.0,9.0,350.0,0.7894736842105263,0.6923076923076923,0.35,45.42857142857143,84.0,96.0,244.3097911628172,123.55080084259983,120.75899032021738,0.00215701846955222,8.339809832992614,8.339809832992614,0.4598813750053523,0.033778458993765526,8.833469666991732,True,0.0,0.5269807318306425,0.5269807318306425,29318.0,11620.0,76358.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,60.0,0.0
20260808_112401-0400,20260808_112401-0400-0001,1,150,A4x4_T20_S1,1,20,HiGHS-600s,0.5269807318306424,0.7181102362204724,0.6868421052631583,14.0,0.7,15.0,9.0,350.0,0.7894736842105263,0.6923076923076923,0.35,45.42857142857143,84.0,96.0,244.3097911628172,123.55080084259983,120.75899032021738,0.00215701846955222,8.342643416995998,8.342643416995998,0.4598813750053523,0.033778458993765526,8.836303250995115,True,0.0,0.5269807318306425,0.5269807318306425,29318.0,11620.0,76358.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,600.0,0.0
20260808_112401-0400,20260808_112401-0400-0002,2,150,A4x4_T20_S2,2,20,Greedy-Benefit,0.45696011054276614,0.6821561338289964,0.6463414634146343,11.0,0.55,11.0,9.0,200.0,0.7857142857142857,0.6428571428571429,0.25,45.81818181818182,83.0,101.0,255.0683471016,128.70657437681777,126.36177272478224,0.0017915202561796023,0.0011381249933037907,,,,0.0011387089907657355,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0002,2,150,A4x4_T20_S2,2,20,Greedy-Density-Operational,0.46099565189121045,0.6356877323420076,0.6310975609756098,11.0,0.55,9.0,9.0,450.0,0.6428571428571429,0.6428571428571429,0.5625,40.81818181818182,68.0,86.0,231.64425736797432,116.02440357516022,115.61985379281413,0.0019901017928491277,0.0009404579905094579,,,,0.000940874990192242,False,,,,,,,Constructive heuristic,True,,,
20260808_112401-0400,20260808_112401-0400-0002,2,150,A4x4_T20_S2,2,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,1.7989386249973904,1.7989386249973904,0.020126207993598655,0.006975374999456108,1.8260402079904452,False,,,,5576.0,2586.0,14166.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
