Tasks,Method,Normalized Mission Value,Normalized Mission Value,Normalized Mission Value,Weighted Impact Coverage,Weighted Impact Coverage,Weighted Impact Coverage,Physical Completed Tasks,Physical Completed Tasks,Physical Completed Tasks,Medical Evacuees,Medical Evacuees,Medical Evacuees,Personnel Transported,Personnel Transported,Personnel Transported,Cargo Delivered kg,Cargo Delivered kg,Cargo Delivered kg,Average Response Time,Average Response Time,Average Response Time,Total Flight Time,Total Flight Time,Total Flight Time,Runtime sec,Runtime sec,Runtime sec,End-to-end sec,End-to-end sec,End-to-end sec,MIP Gap,MIP Gap,MIP Gap
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
20,Greedy-Benefit,0.49466509458896696,0.06198460182512056,30,0.7206851518839019,0.07486760798665026,30,13.666666666666666,1.493279966205689,30,13.0,3.8056219755369365,30,8.4,3.961887394176913,30,996.6666666666666,482.97450017168825,30,41.911800609521194,3.105179757351358,30,227.7522857363184,29.167727317844893,30,0.0012530638409468035,0.00021201548594319442,30,0.0012532971372517447,0.00021201276434936896,30,,,0
20,Greedy-Density-Cycle,0.4919698976470608,0.06170571551844063,30,0.7229641223471309,0.07072734612622024,30,13.966666666666667,1.4499306364701425,30,12.966666666666667,4.106205004652093,30,8.633333333333333,4.4604262463189075,30,991.6666666666666,529.8150837683896,30,38.87381208660621,3.9927848461420066,30,222.56956926249435,34.082324804504985,30,0.0010555001480194429,0.0005209721600015972,30,0.001055747305508703,0.0005210459856766033,30,,,0
20,Greedy-Density-Operational,0.49286780792498575,0.05928307180385195,30,0.7234830939556856,0.07090727207189734,30,13.966666666666667,1.4499306364701423,30,13.166666666666666,3.7882152410658607,30,8.5,4.23246891346508,30,965.0,468.7014342657366,30,39.00883040162452,4.341606922197138,30,221.3798103178118,35.9111760586673,30,0.0011337222220997015,0.0007955967742840118,30,0.0011339791623565059,0.0007957147815802573,30,,,0
20,HiGHS-15s,0.5623961338348104,0.05610836615201809,30,0.7634367654222288,0.0746878942374776,30,14.266666666666667,1.595971941100973,30,14.066666666666666,3.947354708586789,30,9.166666666666666,4.821527396664008,30,923.3333333333334,504.4172693407665,30,39.216975434696025,3.8525239187552436,30,214.0924574769857,28.250920597682427,30,2.8128596985673844,2.755218652034676,30,2.89899862340341,2.8059408118003573,30,0.00580978954406448,0.0318215278764177,30
20,HiGHS-1s,0.5198612696411014,0.0803853129043818,5,0.7015952635537377,0.09106972367397352,5,13.0,1.5811388300841898,5,12.6,3.3615472627943226,5,9.4,4.722287581247038,5,1030.0,566.3479495857648,5,38.08582750582751,3.1266770209057784,5,211.91191593292373,14.307052029548178,5,1.9765961943233075,0.9987650497896372,30,2.0627351191593335,1.047905532554215,30,0.0,0.0,5
20,HiGHS-5s,0.561158874036284,0.05668349077532738,29,0.765540135802642,0.07510020438684062,29,14.275862068965518,1.6234124492240307,29,14.344827586206897,3.7059398467572633,29,9.275862068965518,4.868972843601013,29,910.3448275862069,508.21454102025996,29,39.5274130112619,3.5181827716445175,29,216.994091044303,23.770010834156142,29,2.444242944420936,1.3324536885396814,30,2.530381869256962,1.3806411074506062,30,2.1026206632715246e-06,1.1322958798603622e-05,29
20,HiGHS-600s,0.5658663321457461,0.06137612934641344,30,0.7716481475360499,0.08102339635547308,30,14.4,1.734040527705203,30,14.1,3.880543865188895,30,9.266666666666667,4.784553691096852,30,943.3333333333334,531.0583663833451,30,39.46168442940502,3.475687452928699,30,215.88676458856563,24.131211122410605,30,2.8436634568381125,2.938360037602515,30,2.929802381674138,2.9885637406309624,30,0.0,0.0,30
20,HiGHS-60s,0.5658663321457461,0.06137612934641344,30,0.7716481475360499,0.08102339635547308,30,14.4,1.734040527705203,30,14.1,3.880543865188895,30,9.266666666666667,4.784553691096852,30,943.3333333333334,531.0583663833451,30,39.46168442940502,3.475687452928699,30,215.88676458856563,24.131211122410605,30,2.8321605943958277,2.831767227913478,30,2.9182995192318533,2.882028818623984,30,0.0,0.0,30
30,Greedy-Benefit,0.364307519260055,0.05272331762918352,30,0.5545396953624889,0.0599767523057958,30,15.533333333333333,1.7759569219172373,30,15.733333333333333,4.25021973738911,30,9.966666666666667,4.405978174952858,30,1080.0,569.4219694658301,30,44.49660385409224,3.6357442176221855,30,236.72452746983672,25.6512788471002,30,0.0015942527912557124,0.000241652937718047,30,0.001594533228004972,0.00024165823444354618,30,,,0
