Execution ID,Run ID,Run Correlative,Run Total,Scenario,Method,Helo ID,Task ID,Task Class,Start Node,Node,Start Time,Flight Time,Service Time,Total Task Time,Cycle Time Proxy,Completion Time,Benefit,Selection Score,Raw Impact,Normalized Impact,Remaining Load,Remaining Medical,Remaining Personnel,Status
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,3,6,personnel,Base,A,0.0,4.79157423749955,6.0,10.79157423749955,17.5831484749991,11.0,0.07086614173228346,0.07086614173228346,3.0,1.0,200,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,4,5,personnel,Base,B,0.0,9.375,6.0,15.375,26.75,16.0,0.07086614173228346,0.07086614173228346,3.0,1.0,0,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,1,1,medical,Base,C,0.0,12.649110640673518,6.0,18.64911064067352,33.29822128134704,19.0,0.09448818897637795,0.09448818897637795,3.0,1.0,100,0,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,3,7,cargo,A,B,11.0,6.0609152673132645,6.0,12.060915267313264,24.775200981598978,24.0,0.014173228346456691,0.014173228346456691,150.0,0.3,50,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,4,Idle,return,B,Base,16.0,9.375,2.0,11.375,11.375,28.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,2,9,medical,Base,D,0.0,22.360679774997898,6.0,28.360679774997898,52.721359549995796,29.0,0.08640773738785999,0.08640773738785999,3.0,1.0,0,0,2,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,1,16,cargo,C,D,19.0,5.656854249492381,6.0,11.65685424949238,31.545398069490698,31.0,0.009448818897637795,0.009448818897637795,100.0,0.2,0,0,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,3,Idle,return,B,Base,24.0,10.714285714285714,2.0,12.714285714285714,12.714285714285714,37.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,4,12,medical,Base,B,28.0,9.375,6.0,15.375,26.75,44.0,0.0506071223154972,0.0506071223154972,2.0,0.6666666666666666,400,1,2,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,Greedy-Benefit,1,Idle,return,D,Base,31.0,17.88854381999832,2.0,19.88854381999832,19.88854381999832,51.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
