Execution ID,Run ID,Run Correlative,Run Total,Scenario,Tasks,Seed,Started At,Finished At,Elapsed sec,Elapsed HH:MM:SS,Status,Methods Requested,HiGHS Budgets sec,HiGHS Incumbents,HiGHS Certified,RSS GB,Swap GB,Error
20260824_215203-0400,20260824_215203-0400-0001,1,150,B6x7_T20_S1,20,1,2026-08-24T21:52:04-04:00,2026-08-24T21:53:02-04:00,57.58858841599431,00:00:58,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.2454833984375,4.78857421875,
20260824_215203-0400,20260824_215203-0400-0002,2,150,B6x7_T20_S2,20,2,2026-08-24T21:53:02-04:00,2026-08-24T21:53:14-04:00,11.903926708000654,00:00:12,COMPLETED,8,"1,5,15,60,600,1800",5,5,0.1997222900390625,4.78857421875,
20260824_215203-0400,20260824_215203-0400-0003,3,150,B6x7_T20_S3,20,3,2026-08-24T21:53:14-04:00,2026-08-24T21:53:44-04:00,29.669315083003312,00:00:30,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.2544708251953125,4.78076171875,
20260824_215203-0400,20260824_215203-0400-0004,4,150,B6x7_T20_S4,20,4,2026-08-24T21:53:44-04:00,2026-08-24T21:54:15-04:00,30.856748166996113,00:00:31,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.409576416015625,4.77294921875,
20260824_215203-0400,20260824_215203-0400-0005,5,150,B6x7_T20_S5,20,5,2026-08-24T21:54:15-04:00,2026-08-24T21:54:32-04:00,17.274688625002455,00:00:17,COMPLETED,8,"1,5,15,60,600,1800",5,5,0.348358154296875,4.77294921875,
20260824_215203-0400,20260824_215203-0400-0006,6,150,B6x7_T20_S6,20,6,2026-08-24T21:54:32-04:00,2026-08-24T21:54:34-04:00,2.21818008399714,00:00:02,COMPLETED,8,"1,5,15,60,600,1800",6,6,0.280975341796875,4.77294921875,
20260824_215203-0400,20260824_215203-0400-0007,7,150,B6x7_T20_S7,20,7,2026-08-24T21:54:34-04:00,2026-08-24T21:56:04-04:00,89.73041250000097,00:01:30,COMPLETED,8,"1,5,15,60,600,1800",4,3,0.5370330810546875,4.77294921875,
20260824_215203-0400,20260824_215203-0400-0008,8,150,B6x7_T20_S8,20,8,2026-08-24T21:56:04-04:00,2026-08-24T21:56:18-04:00,13.900065458001336,00:00:14,COMPLETED,8,"1,5,15,60,600,1800",5,5,0.2462310791015625,4.77294921875,
20260824_215203-0400,20260824_215203-0400-0009,9,150,B6x7_T20_S9,20,9,2026-08-24T21:56:18-04:00,2026-08-24T21:56:37-04:00,18.941515750004328,00:00:19,COMPLETED,8,"1,5,15,60,600,1800",5,5,0.4220123291015625,4.77294921875,
20260824_215203-0400,20260824_215203-0400-0010,10,150,B6x7_T20_S10,20,10,2026-08-24T21:56:37-04:00,2026-08-24T21:56:40-04:00,2.8960119590046816,00:00:03,COMPLETED,8,"1,5,15,60,600,1800",6,6,0.3792572021484375,4.77294921875,
