Execution ID,Run ID,Run Correlative,Run Total,Scenario,Seed,Tasks,Method,Normalized Mission Value,Weighted Impact Coverage,Impact Coverage,Physical Completed Tasks,Physical Completion Rate,Medical Evacuees,Personnel Transported,Cargo Delivered kg,Medical Impact Coverage,Personnel Impact Coverage,Cargo Impact Coverage,Average Response Time,Maximum Response Time,Makespan,Total Flight Time,Task Flight Time,Return Flight Time,Value per Flight Minute,Runtime sec,Solver Time sec,Graph Time sec,Matrix Time sec,End-to-end sec,Optimal Certified,MIP Gap,Primal Bound,Dual Bound,Variables,Constraints,Nonzeros,Solver Message,Has Incumbent,MIP Nodes,Time Limit sec,Solver Status Code
20260824_215203-0400,20260824_215203-0400-0001,1,150,B6x7_T20_S1,1,20,Greedy-Benefit,0.5213554753455707,0.7748031496062993,0.742105263157895,15.0,0.75,18.0,6.0,700.0,0.9473684210526315,0.46153846153846156,0.7,40.733333333333334,76.0,106.0,382.9898347623945,192.25510953025275,190.73472523214167,0.0013612775797796769,0.0013435000000754371,,,,0.0013441250048344955,False,,,,,,,Constructive heuristic,True,,,
20260824_215203-0400,20260824_215203-0400-0001,1,150,B6x7_T20_S1,1,20,Greedy-Density-Operational,0.5165763958886733,0.8299212598425196,0.8210526315789477,17.0,0.85,16.0,11.0,700.0,0.8421052631578947,0.8461538461538461,0.7,37.1764705882353,83.0,108.0,389.32354307769066,195.22438499659353,194.0991580810971,0.0013268563000455099,0.0012743339975713752,,,,0.001274916998227127,False,,,,,,,Constructive heuristic,True,,,
20260824_215203-0400,20260824_215203-0400-0001,1,150,B6x7_T20_S1,1,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,1.3703027499941527,1.3703027499941527,0.2348859999983688,0.0859322090036585,1.69112095899618,False,,,,50141.0,20631.0,129818.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
20260824_215203-0400,20260824_215203-0400-0001,1,150,B6x7_T20_S1,1,20,HiGHS-5s,,,,,,,,,,,,,,,,,,,5.926188124998589,5.926188124998589,0.2348859999983688,0.0859322090036585,6.247006334000616,False,,,,50141.0,20631.0,129818.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,5.0,1.0
20260824_215203-0400,20260824_215203-0400-0001,1,150,B6x7_T20_S1,1,20,HiGHS-15s,0.6533552108428476,0.8299212598425197,0.8210526315789477,17.0,0.85,16.0,11.0,700.0,0.8421052631578947,0.8461538461538461,0.7,35.588235294117645,81.0,96.0,341.6852584921968,179.06506566020113,162.62019283199567,0.0019121551035769036,12.262175333002233,12.262175333002233,0.2348859999983688,0.0859322090036585,12.58299354200426,True,0.0,0.6533552108428476,0.6533552108428476,50141.0,20631.0,129818.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,15.0,0.0
20260824_215203-0400,20260824_215203-0400-0001,1,150,B6x7_T20_S1,1,20,HiGHS-60s,0.6533552108428476,0.8299212598425197,0.8210526315789477,17.0,0.85,16.0,11.0,700.0,0.8421052631578947,0.8461538461538461,0.7,35.588235294117645,81.0,96.0,341.6852584921968,179.06506566020113,162.62019283199567,0.0019121551035769036,11.85635529099818,11.85635529099818,0.2348859999983688,0.0859322090036585,12.177173500000208,True,0.0,0.6533552108428476,0.6533552108428476,50141.0,20631.0,129818.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,60.0,0.0
20260824_215203-0400,20260824_215203-0400-0001,1,150,B6x7_T20_S1,1,20,HiGHS-600s,0.6533552108428476,0.8299212598425197,0.8210526315789477,17.0,0.85,16.0,11.0,700.0,0.8421052631578947,0.8461538461538461,0.7,35.588235294117645,81.0,96.0,341.6852584921968,179.06506566020113,162.62019283199567,0.0019121551035769036,12.614115083997604,12.614115083997604,0.2348859999983688,0.0859322090036585,12.93493329299963,True,0.0,0.6533552108428476,0.6533552108428476,50141.0,20631.0,129818.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,600.0,0.0
20260824_215203-0400,20260824_215203-0400-0001,1,150,B6x7_T20_S1,1,20,HiGHS-1800s,0.6533552108428476,0.8299212598425197,0.8210526315789477,17.0,0.85,16.0,11.0,700.0,0.8421052631578947,0.8461538461538461,0.7,35.588235294117645,81.0,96.0,341.6852584921968,179.06506566020113,162.62019283199567,0.0019121551035769036,13.154244416000438,13.154244416000438,0.2348859999983688,0.0859322090036585,13.475062625002465,True,0.0,0.6533552108428476,0.6533552108428476,50141.0,20631.0,129818.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,1800.0,0.0
20260824_215203-0400,20260824_215203-0400-0002,2,150,B6x7_T20_S2,2,20,Greedy-Benefit,0.5838369741952439,0.7750929368029741,0.7530487804878049,13.0,0.65,12.0,10.0,450.0,0.8571428571428571,0.7142857142857143,0.5625,34.30769230769231,84.0,114.0,327.6555475702911,163.86712320998106,163.78842436031,0.0017818620149258877,0.0020174590026726946,,,,0.002018250001128763,False,,,,,,,Constructive heuristic,True,,,
20260824_215203-0400,20260824_215203-0400-0002,2,150,B6x7_T20_S2,2,20,Greedy-Density-Operational,0.5757695724800087,0.7657992565055765,0.7530487804878049,13.0,0.65,11.0,11.0,450.0,0.7857142857142857,0.7857142857142857,0.5625,33.46153846153846,84.0,114.0,323.63931614425087,162.9099621936526,160.72935395059824,0.0017790470556530889,0.001049416998284869,,,,0.001049916994816158,False,,,,,,,Constructive heuristic,True,,,
20260824_215203-0400,20260824_215203-0400-0002,2,150,B6x7_T20_S2,2,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,1.9098995000022114,1.9098995000022114,0.031250375002855435,0.010395042001619004,1.9515449170066859,False,,,,6592.0,3392.0,16410.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
20260824_215203-0400,20260824_215203-0400-0002,2,150,B6x7_T20_S2,2,20,HiGHS-5s,0.6169954037020282,0.8141263940520448,0.8170731707317073,14.0,0.7,12.0,10.0,800.0,0.8571428571428571,0.7142857142857143,1.0,34.57142857142857,81.0,110.0,328.91647407935085,164.68376782553855,164.2327062538123,0.0018758422041006634,2.072548749994894,2.072548749994894,0.031250375002855435,0.010395042001619004,2.1141941669993685,True,0.0,0.6169954037020282,0.6169954037020282,6592.0,3392.0,16410.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,5.0,0.0
20260824_215203-0400,20260824_215203-0400-0002,2,150,B6x7_T20_S2,2,20,HiGHS-15s,0.6169954037020282,0.8141263940520448,0.8170731707317073,14.0,0.7,12.0,10.0,800.0,0.8571428571428571,0.7142857142857143,1.0,34.57142857142857,81.0,110.0,328.91647407935085,164.68376782553855,164.2327062538123,0.0018758422041006634,2.548308666999219,2.548308666999219,0.031250375002855435,0.010395042001619004,2.5899540840036934,True,0.0,0.6169954037020282,0.6169954037020282,6592.0,3392.0,16410.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,15.0,0.0
20260824_215203-0400,20260824_215203-0400-0002,2,150,B6x7_T20_S2,2,20,HiGHS-60s,0.6169954037020282,0.8141263940520448,0.8170731707317073,14.0,0.7,12.0,10.0,800.0,0.8571428571428571,0.7142857142857143,1.0,34.57142857142857,81.0,110.0,328.91647407935085,164.68376782553855,164.2327062538123,0.0018758422041006634,1.8476349580014357,1.8476349580014357,0.031250375002855435,0.010395042001619004,1.8892803750059102,True,0.0,0.6169954037020282,0.6169954037020282,6592.0,3392.0,16410.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,60.0,0.0
20260824_215203-0400,20260824_215203-0400-0002,2,150,B6x7_T20_S2,2,20,HiGHS-600s,0.6169954037020282,0.8141263940520448,0.8170731707317073,14.0,0.7,12.0,10.0,800.0,0.8571428571428571,0.7142857142857143,1.0,34.57142857142857,81.0,110.0,328.91647407935085,164.68376782553855,164.2327062538123,0.0018758422041006634,1.6845362500025658,1.6845362500025658,0.031250375002855435,0.010395042001619004,1.7261816670070402,True,0.0,0.6169954037020282,0.6169954037020282,6592.0,3392.0,16410.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,600.0,0.0
20260824_215203-0400,20260824_215203-0400-0002,2,150,B6x7_T20_S2,2,20,HiGHS-1800s,0.6169954037020282,0.8141263940520448,0.8170731707317073,14.0,0.7,12.0,10.0,800.0,0.8571428571428571,0.7142857142857143,1.0,34.57142857142857,81.0,110.0,328.91647407935085,164.68376782553855,164.2327062538123,0.0018758422041006634,1.7488558330005617,1.7488558330005617,0.031250375002855435,0.010395042001619004,1.7905012500050361,True,0.0,0.6169954037020282,0.6169954037020282,6592.0,3392.0,16410.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,1800.0,0.0
20260824_215203-0400,20260824_215203-0400-0003,3,150,B6x7_T20_S3,3,20,Greedy-Benefit,0.5893888588317749,0.8044217687074829,0.7796143250688703,15.0,0.75,16.0,6.0,1050.0,0.8888888888888888,0.6666666666666666,0.6774193548387096,38.86666666666667,93.0,128.0,391.50298897071104,196.20564805326313,195.29734091744797,0.0015054517473322997,0.0012665419999393634,,,,0.0012672080047195777,False,,,,,,,Constructive heuristic,True,,,
20260824_215203-0400,20260824_215203-0400-0003,3,150,B6x7_T20_S3,3,20,Greedy-Density-Operational,0.5882209597432319,0.7993197278911564,0.7575757575757575,15.0,0.75,16.0,7.0,750.0,0.8888888888888888,0.7777777777777778,0.4838709677419355,39.733333333333334,93.0,128.0,385.3262898370242,193.09960471489387,192.22668512213036,0.0015265528858464938,0.001346625002042856,,,,0.001347458004602231,False,,,,,,,Constructive heuristic,True,,,
20260824_215203-0400,20260824_215203-0400-0003,3,150,B6x7_T20_S3,3,20,HiGHS-1s,,,,,,,,,,,,,,,,,,,1.4628836660049274,1.4628836660049274,0.047466334006458055,0.009821374995226506,1.520171375006612,False,,,,10401.0,4895.0,26334.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,1.0,1.0
20260824_215203-0400,20260824_215203-0400-0003,3,150,B6x7_T20_S3,3,20,HiGHS-5s,,,,,,,,,,,,,,,,,,,5.581311750000168,5.581311750000168,0.047466334006458055,0.009821374995226506,5.638599459001853,False,,,,10401.0,4895.0,26334.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),False,,5.0,1.0
20260824_215203-0400,20260824_215203-0400-0003,3,150,B6x7_T20_S3,3,20,HiGHS-15s,0.6433292719382588,0.7738095238095237,0.7575757575757576,15.0,0.75,16.0,4.0,1250.0,0.8888888888888888,0.4444444444444444,0.8064516129032258,35.0,73.0,100.0,351.0036849769525,175.7731399627094,175.23054501424315,0.0018328276866395317,5.7257849580055336,5.7257849580055336,0.047466334006458055,0.009821374995226506,5.783072667007218,True,0.0,0.6433292719382588,0.6433292719382588,10401.0,4895.0,26334.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1.0,15.0,0.0
