Execution ID,Run ID,Run Correlative,Run Total,Scenario,Method,Helo ID,Task ID,Task Class,Start Node,Node,Start Time,Flight Time,Service Time,Total Task Time,Cycle Time Proxy,Completion Time,Benefit,Selection Score,Raw Impact,Normalized Impact,Remaining Load,Remaining Medical,Remaining Personnel,Status
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,1,47,medical,Base,A,0.0,4.47213595499958,6.0,10.47213595499958,16.94427190999916,11.0,0.03232758620689655,0.03232758620689655,3.0,1.0,300,0,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,3,40,medical,Base,C,0.0,13.552618543578768,6.0,19.552618543578767,35.10523708715753,20.0,0.03232758620689655,0.03232758620689655,3.0,1.0,150,0,2,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,5,52,medical,Base,C,0.0,14.595127662315598,6.0,20.595127662315598,37.190255324631195,21.0,0.03232758620689655,0.03232758620689655,3.0,1.0,450,0,3,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,1,50,cargo,A,C,11.0,8.246211251235321,6.0,14.246211251235321,28.89532189190884,26.0,0.009698275862068964,0.009698275862068964,300.0,0.6,0,0,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,4,23,medical,Base,E,0.0,19.57557470420728,6.0,25.57557470420728,47.15114940841456,26.0,0.02852309881483865,0.02852309881483865,3.0,1.0,450,0,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,5,41,personnel,C,C,21.0,0.0,6.0,6.0,22.595127662315598,27.0,0.02202663590277657,0.02202663590277657,3.0,1.0,350,0,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,3,2,personnel,C,B,20.0,4.79157423749955,6.0,10.79157423749955,23.50585995178526,31.0,0.016163793103448273,0.016163793103448273,2.0,0.6666666666666666,0,0,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,6,9,medical,Base,G,0.0,27.37187540076958,6.0,33.37187540076958,62.743750801539164,34.0,0.0265766883411593,0.0265766883411593,3.0,1.0,0,0,2,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,2,1,medical,Base,F,0.0,32.5,6.0,38.5,73.0,39.0,0.024351750378041867,0.024351750378041867,3.0,1.0,100,0,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,4,37,cargo,E,G,26.0,7.7308230480331135,6.0,13.730823048033113,42.24732734252864,40.0,0.012896575047581214,0.012896575047581214,450.0,0.9,0,0,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,1,Idle,return,C,Base,26.0,12.649110640673518,2.0,14.649110640673518,14.649110640673518,41.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,3,Idle,return,B,Base,31.0,10.714285714285714,2.0,12.714285714285714,12.714285714285714,44.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,5,53,cargo,C,G,27.0,18.46153846153846,6.0,24.46153846153846,59.09723605476373,52.0,0.007634226489865629,0.007634226489865629,350.0,0.7,0,0,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,2,16,cargo,F,D,39.0,10.307764064044152,6.0,16.30776406404415,40.66844383904205,56.0,0.0008582146880920743,0.0008582146880920743,100.0,0.2,0,0,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,1,3,medical,Base,C,41.0,12.649110640673518,6.0,18.64911064067352,33.29822128134704,60.0,0.008110172441507217,0.008110172441507217,2.0,0.6666666666666666,200,1,1,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,3,46,cargo,Base,B,44.0,10.714285714285714,6.0,16.714285714285715,29.42857142857143,61.0,0.004775812962928572,0.004775812962928572,450.0,0.9,50,3,3,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,6,Idle,return,G,Base,34.0,27.37187540076958,2.0,29.37187540076958,29.37187540076958,64.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,4,Idle,return,G,Base,40.0,26.51650429449553,2.0,28.51650429449553,28.51650429449553,69.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,1,10,personnel,C,B,60.0,4.47213595499958,6.0,10.47213595499958,22.47213595499958,71.0,0.0006416245529504733,0.0006416245529504733,1.0,0.3333333333333333,0,1,0,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,3,4,medical,B,C,61.0,4.79157423749955,6.0,10.79157423749955,26.34419278107832,72.0,0.0001440168522600625,0.0001440168522600625,1.0,0.3333333333333333,0,2,1,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,6,38,cargo,Base,A,64.0,4.327873504838303,6.0,10.327873504838303,16.655747009676606,75.0,0.00038865629680084397,0.00038865629680084397,250.0,0.5,250,3,3,Task Executed
20260824_200347-0400,20260824_200347-0400-0001,1,1,B6x7_T60_S1,Greedy-Benefit,2,Idle,return,D,Base,56.0,22.360679774997898,2.0,24.360679774997898,24.360679774997898,81.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
