Execution ID,Run ID,Run Correlative,Run Total,Scenario,Method,Helo ID,Task ID,Task Class,Start Node,Node,Start Time,Flight Time,Service Time,Total Task Time,Cycle Time Proxy,Completion Time,Benefit,Selection Score,Raw Impact,Normalized Impact,Remaining Load,Remaining Medical,Remaining Personnel,Status
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,1,20,medical,Base,A,0.0,4.47213595499958,6.0,10.47213595499958,16.94427190999916,11.0,0.09024293076682278,0.09024293076682278,3.0,1.0,150,0,0,Task Executed
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,4,5,personnel,Base,B,0.0,9.375,6.0,15.375,26.75,16.0,0.07086614173228346,0.07086614173228346,3.0,1.0,0,3,0,Task Executed
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,5,18,medical,Base,B,0.0,11.538461538461538,6.0,17.53846153846154,31.07692307692308,18.0,0.06299212598425197,0.06299212598425197,2.0,0.6666666666666666,100,1,0,Task Executed
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,6,3,medical,Base,C,0.0,12.241074813555016,6.0,18.241074813555016,32.48214962711003,19.0,0.06299212598425197,0.06299212598425197,2.0,0.6666666666666666,200,1,1,Task Executed
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,5,15,cargo,B,B,18.0,0.0,6.0,6.0,19.53846153846154,24.0,0.00897664505312431,0.00897664505312431,100.0,0.2,0,1,0,Task Executed
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,4,Idle,return,B,Base,16.0,9.375,2.0,11.375,11.375,28.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,1,7,cargo,A,D,11.0,13.416407864998737,6.0,19.41640786499874,39.30495168499706,31.0,0.014173228346456691,0.014173228346456691,150.0,0.3,0,0,0,Task Executed
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,6,16,cargo,C,D,19.0,5.474375080153917,6.0,11.474375080153916,30.785869099507128,31.0,0.009448818897637795,0.009448818897637795,100.0,0.2,100,1,1,Task Executed
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,3,9,medical,Base,G,0.0,30.30457633656632,6.0,36.30457633656632,68.60915267313264,37.0,0.07115356047187985,0.07115356047187985,3.0,1.0,0,0,2,Task Executed
20260824_195152-0400,20260824_195152-0400-0001,1,1,B6x7_T20_S1,Greedy-Benefit,5,Idle,return,B,Base,24.0,11.538461538461538,2.0,13.538461538461538,13.538461538461538,38.0,0.0,0.0,0.0,0.0,500,3,3,Return/Recovery
