Execution ID,Run ID,Run Correlative,Run Total,Scenario,Tasks,Seed,Started At,Finished At,Elapsed sec,Elapsed HH:MM:SS,Status,Methods Requested,HiGHS Budgets sec,HiGHS Incumbents,HiGHS Certified,RSS GB,Swap GB,Error
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,20,1,2026-08-25T19:55:06-04:00,2026-08-25T19:59:05-04:00,238.8402117079968,00:03:59,COMPLETED,8,"1,5,15,60,600,1800",3,2,0.4232635498046875,1.77362060546875,
20260825_195505-0400,20260825_195505-0400-0002,2,150,B6x7_stress_T20_S2,20,2,2026-08-25T19:59:05-04:00,2026-08-25T19:59:43-04:00,38.63318083299964,00:00:39,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.548248291015625,1.76580810546875,
20260825_195505-0400,20260825_195505-0400-0003,3,150,B6x7_stress_T20_S3,20,3,2026-08-25T19:59:43-04:00,2026-08-25T20:00:49-04:00,65.89148025000759,00:01:06,COMPLETED,8,"1,5,15,60,600,1800",4,3,0.6051483154296875,1.71893310546875,
20260825_195505-0400,20260825_195505-0400-0004,4,150,B6x7_stress_T20_S4,20,4,2026-08-25T20:00:49-04:00,2026-08-25T20:02:16-04:00,86.89588370799902,00:01:27,COMPLETED,8,"1,5,15,60,600,1800",4,3,0.6782073974609375,1.69549560546875,
20260825_195505-0400,20260825_195505-0400-0005,5,150,B6x7_stress_T20_S5,20,5,2026-08-25T20:02:16-04:00,2026-08-25T20:03:05-04:00,48.490420458998415,00:00:48,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.3572998046875,1.66424560546875,
20260825_195505-0400,20260825_195505-0400-0006,6,150,B6x7_stress_T20_S6,20,6,2026-08-25T20:03:05-04:00,2026-08-25T20:03:32-04:00,27.92212862499582,00:00:28,COMPLETED,8,"1,5,15,60,600,1800",5,4,0.4615936279296875,1.65643310546875,
20260825_195505-0400,20260825_195505-0400-0007,7,150,B6x7_stress_T20_S7,20,7,2026-08-25T20:03:32-04:00,2026-08-25T20:12:54-04:00,561.2058185409987,00:09:21,COMPLETED,8,"1,5,15,60,600,1800",2,2,0.7796630859375,1.55487060546875,
20260825_195505-0400,20260825_195505-0400-0008,8,150,B6x7_stress_T20_S8,20,8,2026-08-25T20:12:54-04:00,2026-08-25T20:13:36-04:00,42.07581362500787,00:00:42,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.86834716796875,1.55487060546875,
20260825_195505-0400,20260825_195505-0400-0009,9,150,B6x7_stress_T20_S9,20,9,2026-08-25T20:13:36-04:00,2026-08-25T20:14:49-04:00,73.64892491600767,00:01:14,COMPLETED,8,"1,5,15,60,600,1800",4,3,0.87689208984375,1.55487060546875,
20260825_195505-0400,20260825_195505-0400-0010,10,150,B6x7_stress_T20_S10,20,10,2026-08-25T20:14:49-04:00,2026-08-25T20:15:42-04:00,52.773342875007074,00:00:53,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.3633575439453125,1.55487060546875,
20260825_195505-0400,20260825_195505-0400-0011,11,150,B6x7_stress_T20_S11,20,11,2026-08-25T20:15:42-04:00,2026-08-25T20:16:15-04:00,32.58566358299868,00:00:33,COMPLETED,8,"1,5,15,60,600,1800",5,4,0.60345458984375,1.55487060546875,
20260825_195505-0400,20260825_195505-0400-0012,12,150,B6x7_stress_T20_S12,20,12,2026-08-25T20:16:15-04:00,2026-08-25T20:19:54-04:00,219.40394816700427,00:03:39,COMPLETED,8,"1,5,15,60,600,1800",3,2,0.962646484375,1.55487060546875,
20260825_195505-0400,20260825_195505-0400-0013,13,150,B6x7_stress_T20_S13,20,13,2026-08-25T20:19:54-04:00,2026-08-25T20:21:44-04:00,109.3855623749987,00:01:49,COMPLETED,8,"1,5,15,60,600,1800",3,3,0.726165771484375,1.55487060546875,
20260825_195505-0400,20260825_195505-0400-0014,14,150,B6x7_stress_T20_S14,20,14,2026-08-25T20:21:44-04:00,2026-08-25T20:23:00-04:00,75.92539587500505,00:01:16,COMPLETED,8,"1,5,15,60,600,1800",3,3,0.708709716796875,1.55487060546875,
20260825_195505-0400,20260825_195505-0400-0015,15,150,B6x7_stress_T20_S15,20,15,2026-08-25T20:23:00-04:00,2026-08-25T20:23:53-04:00,53.53628991699952,00:00:54,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.7254791259765625,1.54705810546875,
20260825_195505-0400,20260825_195505-0400-0016,16,150,B6x7_stress_T20_S16,20,16,2026-08-25T20:23:53-04:00,2026-08-25T20:25:21-04:00,87.40826062498672,00:01:27,COMPLETED,8,"1,5,15,60,600,1800",4,3,0.6842803955078125,1.54705810546875,
20260825_195505-0400,20260825_195505-0400-0017,17,150,B6x7_stress_T20_S17,20,17,2026-08-25T20:25:21-04:00,2026-08-25T20:27:37-04:00,136.22961137500533,00:02:16,COMPLETED,8,"1,5,15,60,600,1800",3,3,0.537994384765625,1.46112060546875,
20260825_195505-0400,20260825_195505-0400-0018,18,150,B6x7_stress_T20_S18,20,18,2026-08-25T20:27:37-04:00,2026-08-25T20:28:25-04:00,47.892524374998175,00:00:48,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.4380340576171875,1.081787109375,
20260825_195505-0400,20260825_195505-0400-0019,19,150,B6x7_stress_T20_S19,20,19,2026-08-25T20:28:25-04:00,2026-08-25T20:29:32-04:00,66.80228445898683,00:01:07,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.6957244873046875,1.081787109375,
20260825_195505-0400,20260825_195505-0400-0020,20,150,B6x7_stress_T20_S20,20,20,2026-08-25T20:29:32-04:00,2026-08-25T20:30:05-04:00,33.517187416990055,00:00:34,COMPLETED,8,"1,5,15,60,600,1800",5,4,0.518524169921875,1.081787109375,
20260825_195505-0400,20260825_195505-0400-0021,21,150,B6x7_stress_T20_S21,20,21,2026-08-25T20:30:05-04:00,2026-08-25T20:32:55-04:00,169.75001845799852,00:02:50,COMPLETED,8,"1,5,15,60,600,1800",4,3,0.54388427734375,1.058349609375,
20260825_195505-0400,20260825_195505-0400-0022,22,150,B6x7_stress_T20_S22,20,22,2026-08-25T20:32:55-04:00,2026-08-25T20:33:16-04:00,21.00132595800096,00:00:21,COMPLETED,8,"1,5,15,60,600,1800",5,5,0.30694580078125,1.058349609375,
20260825_195505-0400,20260825_195505-0400-0023,23,150,B6x7_stress_T20_S23,20,23,2026-08-25T20:33:16-04:00,2026-08-25T20:34:33-04:00,77.19496833400626,00:01:17,COMPLETED,8,"1,5,15,60,600,1800",4,3,0.519012451171875,1.058349609375,
20260825_195505-0400,20260825_195505-0400-0024,24,150,B6x7_stress_T20_S24,20,24,2026-08-25T20:34:33-04:00,2026-08-25T20:36:44-04:00,130.7048387919931,00:02:11,COMPLETED,8,"1,5,15,60,600,1800",3,3,0.5635833740234375,1.058349609375,
20260825_195505-0400,20260825_195505-0400-0025,25,150,B6x7_stress_T20_S25,20,25,2026-08-25T20:36:44-04:00,2026-08-25T20:37:27-04:00,42.799302750005154,00:00:43,COMPLETED,8,"1,5,15,60,600,1800",4,4,0.3324737548828125,1.058349609375,
20260825_195505-0400,20260825_195505-0400-0026,26,150,B6x7_stress_T20_S26,20,26,2026-08-25T20:37:27-04:00,2026-08-25T20:38:44-04:00,77.34389179099526,00:01:17,COMPLETED,8,"1,5,15,60,600,1800",4,3,0.6848602294921875,1.058349609375,
20260825_195505-0400,20260825_195505-0400-0027,27,150,B6x7_stress_T20_S27,20,27,2026-08-25T20:38:44-04:00,2026-08-25T20:42:35-04:00,230.65587770899583,00:03:51,COMPLETED,8,"1,5,15,60,600,1800",3,2,0.7250213623046875,1.058349609375,
20260825_195505-0400,20260825_195505-0400-0028,28,150,B6x7_stress_T20_S28,20,28,2026-08-25T20:42:35-04:00,2026-08-25T20:44:12-04:00,96.75559554099164,00:01:37,COMPLETED,8,"1,5,15,60,600,1800",3,3,0.6732635498046875,1.058349609375,
20260825_195505-0400,20260825_195505-0400-0029,29,150,B6x7_stress_T20_S29,20,29,2026-08-25T20:44:12-04:00,2026-08-25T20:45:40-04:00,88.2234232910123,00:01:28,COMPLETED,8,"1,5,15,60,600,1800",4,3,0.626556396484375,1.058349609375,
