Tasks,Budget sec,Runs,Incumbents,Certified,Mean_Conditional_Value,SD_Conditional_Value,Mean_Available_Value,Mean_MIP_Gap,Mean_Solver_sec,Mean_End_to_End_sec,Incumbent Rate,Certification Rate
20,1.0,30,0,0,,,0.0,,1.4628160083006756,1.9632576693368415,0.0,0.0
20,5.0,30,4,1,0.5990657102325034,0.17898961868354163,0.07987542803100046,10.449999029511739,5.912306316600007,6.412747977636172,0.13333333333333333,0.03333333333333333
20,15.0,30,20,12,0.60921355091691,0.24099070936184644,0.40614236727793995,7.135457128058181,13.246307837499868,13.746749498536035,0.6666666666666666,0.4
20,60.0,30,28,25,0.721213740915963,0.15421440510793005,0.6731328248548988,0.011173367151759785,24.709542822166988,25.20998448320315,0.9333333333333333,0.8333333333333334
20,600.0,30,30,30,0.7580963933435333,0.05589074142545459,0.7580963933435333,0.0,33.08025222929864,33.58069389033481,1.0,1.0
20,1800.0,30,30,30,0.7580963933435333,0.05589074142545459,0.7580963933435333,0.0,33.294664449999495,33.795106111035665,1.0,1.0
30,1.0,30,0,0,,,0.0,,1.430478333333546,2.7549314583001734,0.0,0.0
30,5.0,30,0,0,,,0.0,,6.001598901465574,7.326052026432202,0.0,0.0
30,15.0,30,3,2,0.512885452729842,0.1324495882786629,0.0512885452729842,0.1447844371730075,16.62452972646473,17.948982851431357,0.1,0.06666666666666667
30,60.0,30,19,10,0.46663075174509455,0.20218029270702864,0.2955328094385599,1.0190377973605933,60.81129525143187,62.1357483763985,0.6333333333333333,0.3333333333333333
30,600.0,30,30,28,0.5729067948125314,0.1555908301896014,0.5729067948125314,101.94292890576436,171.62558969163317,172.9500428165998,1.0,0.9333333333333333
30,1800.0,30,30,30,0.6121900207809418,0.05226924807362766,0.6121900207809418,0.0,210.74728773753063,212.07174086249725,1.0,1.0
40,1.0,30,0,0,,,0.0,,1.8369572541676462,4.571096874937454,0.0,0.0
40,5.0,30,0,0,,,0.0,,5.950815901403742,8.68495552217355,0.0,0.0
40,15.0,30,0,0,,,0.0,,16.49336725973311,19.227506880502915,0.0,0.0
40,60.0,30,4,2,0.2614658961810664,0.2944149917392675,0.034862119490808856,777.3054276480767,70.25102364863172,72.98516326940153,0.13333333333333333,0.06666666666666667
40,600.0,30,28,20,0.4312546248629615,0.173633225170629,0.4025043165387641,0.10278311005550496,443.6200247124963,446.3541643332661,0.9333333333333333,0.6666666666666666
40,1800.0,30,29,27,0.49319892685289546,0.09994864476734196,0.4767589626244656,0.23126770452700815,668.8319125833339,671.5660522041037,0.9666666666666667,0.9
50,1.0,30,0,0,,,0.0,,2.2365851389680755,6.735367311164737,0.0,0.0
50,5.0,30,0,0,,,0.0,,6.39817497219968,10.89695714439634,0.0,0.0
50,15.0,30,0,0,,,0.0,,16.74635173039763,21.245133902594294,0.0,0.0
50,60.0,30,1,0,0.0,,0.0,,64.79935956676394,69.2981417389606,0.03333333333333333,0.0
50,600.0,30,23,7,0.21526040419907896,0.2120300857933623,0.16503297655262722,1642.2154199296162,662.8669839986687,667.3657661708654,0.7666666666666667,0.23333333333333334
50,1800.0,30,29,21,0.34603772580804315,0.18089942268519096,0.33450313494777506,24.248176327607975,1236.039187543099,1240.5379697152957,0.9666666666666667,0.7
60,1.0,30,0,0,,,0.0,,2.678009869501693,9.756401469608925,0.0,0.0
60,5.0,30,0,0,,,0.0,,6.893373015374527,13.971764615481758,0.0,0.0
60,15.0,30,0,0,,,0.0,,17.517158048504886,24.595549648612117,0.0,0.0
60,60.0,30,0,0,,,0.0,,63.81497919293858,70.8933707930458,0.0,0.0
60,600.0,30,14,1,0.0451743989668031,0.11427369263302525,0.021081386184508114,23953.812001723403,935.3265571333934,942.4049487335006,0.4666666666666667,0.03333333333333333
60,1800.0,30,27,9,0.1817136998072195,0.1843230223414228,0.16354232982649755,10762.888119466837,1671.2413147846694,1678.3197063847765,0.9,0.3
