Execution ID,Run ID,Run Correlative,Run Total,Scenario,Method,Helo ID,Task ID,Task Class,Start Node,Node,Start Time,Flight Time,Service Time,Total Task Time,Cycle Time Proxy,Completion Time,Benefit,Selection Score,Raw Impact,Normalized Impact,Remaining Load,Remaining Medical,Remaining Personnel,Status
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,2,12,medical,Base,A,0.0,4.192880503136268,6.0,10.19288050313627,16.38576100627254,11.0,0.06299212598425197,0.06299212598425197,2.0,0.6666666666666666,700,0,5,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,6,20,medical,Base,B,0.0,7.43588621121234,6.0,13.43588621121234,22.87177242242468,14.0,0.08285450826268759,0.08285450826268759,3.0,1.0,250,0,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,4,3,medical,Base,D,0.0,12.48248773281993,6.0,18.48248773281993,32.96497546563986,19.0,0.06299212598425197,0.06299212598425197,2.0,0.6666666666666666,400,1,3,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,1,1,medical,Base,E,0.0,14.560219778561038,6.0,20.560219778561038,37.120439557122076,21.0,0.09448818897637795,0.09448818897637795,3.0,1.0,250,1,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,3,9,medical,Base,F,0.0,19.619204840490532,6.0,25.619204840490532,47.238409680981064,26.0,0.09040444646487042,0.09040444646487042,3.0,1.0,0,2,2,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,5,8,medical,Base,F,0.0,21.882959245162517,6.0,27.882959245162517,51.765918490325035,28.0,0.06299212598425197,0.06299212598425197,2.0,0.6666666666666666,250,2,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,6,10,personnel,B,E,14.0,7.78054886796456,6.0,13.78054886796456,29.87108413753976,28.0,0.023622047244094488,0.023622047244094488,1.0,0.3333333333333333,50,0,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,4,2,personnel,D,F,19.0,5.460082416960388,6.0,11.460082416960388,31.239986803654936,31.0,0.047244094488188976,0.047244094488188976,2.0,0.6666666666666666,250,1,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,1,7,cargo,E,F,21.0,5.556977595779921,6.0,11.556977595779921,32.52220894158744,33.0,0.013464967579686465,0.013464967579686465,150.0,0.3,100,1,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,2,13,personnel,A,F,11.0,16.89473582999841,6.0,22.89473582999841,45.96721510311787,34.0,0.04563735607573374,0.04563735607573374,2.0,0.6666666666666666,600,0,3,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,5,16,cargo,F,D,28.0,6.72010143625894,6.0,12.72010143625894,30.083163261268083,41.0,0.006546180607384267,0.006546180607384267,100.0,0.2,150,2,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,1,15,cargo,F,G,33.0,4.25205832509386,6.0,10.25205832509386,33.13267134291496,44.0,0.003108859567082424,0.003108859567082424,100.0,0.2,0,1,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,2,5,personnel,F,G,34.0,4.72450925010429,6.0,10.72450925010429,35.92519038101662,45.0,0.018506965231550095,0.018506965231550095,3.0,1.0,100,0,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,6,Idle,return,E,Base,28.0,14.090535269575197,2.0,16.0905352695752,16.0905352695752,45.0,0.0,0.0,0.0,0.0,600,3,4,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,3,Idle,return,F,Base,26.0,19.619204840490532,2.0,21.619204840490532,21.619204840490532,48.0,0.0,0.0,0.0,0.0,500,5,3,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,4,Idle,return,F,Base,31.0,17.779904386694547,2.0,19.779904386694547,19.779904386694547,51.0,0.0,0.0,0.0,0.0,700,3,5,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,5,Idle,return,D,Base,41.0,15.363061825009144,2.0,17.363061825009144,17.363061825009144,59.0,0.0,0.0,0.0,0.0,450,4,2,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,4,4,medical,Base,C,51.0,8.657547285461396,6.0,14.657547285461396,25.315094570922792,66.0,0.0008331814122372541,0.0008331814122372541,1.0,0.3333333333333333,650,2,3,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,6,18,medical,Base,E,45.0,14.090535269575197,6.0,20.0905352695752,36.1810705391504,66.0,0.004536028675401557,0.004536028675401557,2.0,0.6666666666666666,200,1,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,1,Idle,return,G,Base,44.0,20.8806130178211,2.0,22.8806130178211,22.8806130178211,67.0,0.0,0.0,0.0,0.0,650,4,4,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,2,Idle,return,G,Base,45.0,23.200681130912333,2.0,25.200681130912333,25.200681130912333,71.0,0.0,0.0,0.0,0.0,800,2,6,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,3,6,personnel,Base,F,48.0,19.619204840490532,6.0,25.619204840490532,47.238409680981064,74.0,0.0016680257574893823,0.0016680257574893823,3.0,1.0,200,5,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,4,Idle,return,C,Base,66.0,8.657547285461396,2.0,10.657547285461396,10.657547285461396,77.0,0.0,0.0,0.0,0.0,700,3,5,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,6,Idle,return,E,Base,66.0,14.090535269575197,2.0,16.0905352695752,16.0905352695752,83.0,0.0,0.0,0.0,0.0,600,3,4,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Benefit,3,Idle,return,F,Base,74.0,19.619204840490532,2.0,21.619204840490532,21.619204840490532,96.0,0.0,0.0,0.0,0.0,500,5,3,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,1,12,medical,Base,A,0.0,3.7735924528226414,6.0,9.77359245282264,15.547184905645281,10.0,0.06299212598425197,0.006445135326474521,2.0,0.6666666666666666,550,2,3,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,3,20,medical,Base,B,0.0,7.94870594991664,6.0,13.94870594991664,23.89741189983328,14.0,0.08285450826268759,0.0059399422828311,3.0,1.0,150,2,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,4,1,medical,Base,E,0.0,13.650206042400972,6.0,19.650206042400974,35.30041208480195,20.0,0.09448818897637795,0.004808508815250715,3.0,1.0,300,0,2,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,2,3,medical,Base,D,0.0,14.79405953519399,6.0,20.794059535193988,37.588119070387975,21.0,0.06299212598425197,0.0030293327706231517,2.0,0.6666666666666666,500,0,4,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,6,9,medical,Base,F,0.0,18.353449689491143,6.0,24.353449689491143,44.706899378982285,25.0,0.09154989346015727,0.0037592166459958377,3.0,1.0,100,0,3,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,3,16,cargo,B,D,14.0,5.924615612390215,6.0,11.924615612390216,27.698395179639792,26.0,0.009448818897637795,0.0007923793273319472,100.0,0.2,50,2,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,1,18,medical,A,E,10.0,10.983624174196786,6.0,16.983624174196784,33.543843952757825,27.0,0.055275237058606444,0.0032546196554788403,2.0,0.6666666666666666,150,0,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,5,8,medical,Base,F,0.0,21.882959245162517,6.0,27.882959245162517,51.765918490325035,28.0,0.06299212598425197,0.00225916214381659,2.0,0.6666666666666666,250,2,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,6,19,personnel,F,F,25.0,0.0,6.0,6.0,26.353449689491143,31.0,0.02915928269881679,0.004859880449802799,2.0,0.6666666666666666,50,0,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,4,13,personnel,E,F,20.0,5.209666496043676,6.0,11.209666496043676,30.98957088273822,32.0,0.047244094488188976,0.004214585197950647,2.0,0.6666666666666666,200,0,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,2,2,personnel,D,F,21.0,6.471208790471572,6.0,12.471208790471572,35.543688063591034,34.0,0.045264774968179856,0.0036295419095832703,2.0,0.6666666666666666,350,0,2,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,1,7,cargo,E,F,27.0,5.556977595779921,6.0,11.556977595779921,32.52220894158744,39.0,0.010839692393796257,0.000937934879942522,150.0,0.3,0,0,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,2,11,cargo,F,F,34.0,0.0,6.0,6.0,29.072479273119463,40.0,0.00756598698075153,0.001260997830125255,350.0,0.7,0,0,2,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,5,10,personnel,F,E,28.0,6.411897225899909,6.0,12.41189722589991,31.21215081654726,41.0,0.016461981955224372,0.0013263066601029495,1.0,0.3333333333333333,50,2,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,3,Idle,return,D,Base,26.0,13.773779567249576,2.0,15.773779567249576,15.773779567249576,42.0,0.0,0.0,0.0,0.0,500,5,3,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,4,Idle,return,F,Base,32.0,17.779904386694547,2.0,19.779904386694547,19.779904386694547,52.0,0.0,0.0,0.0,0.0,700,3,5,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,6,Idle,return,F,Base,31.0,18.353449689491143,2.0,20.353449689491143,20.353449689491143,52.0,0.0,0.0,0.0,0.0,600,3,4,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,1,Idle,return,F,Base,39.0,18.965231345807513,2.0,20.965231345807513,20.965231345807513,60.0,0.0,0.0,0.0,0.0,650,4,4,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,5,Idle,return,E,Base,41.0,16.80025359064735,2.0,18.80025359064735,18.80025359064735,60.0,0.0,0.0,0.0,0.0,450,4,2,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,2,Idle,return,F,Base,40.0,21.072479273119463,2.0,23.072479273119463,23.072479273119463,64.0,0.0,0.0,0.0,0.0,800,2,6,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,4,4,medical,Base,C,52.0,8.657547285461396,6.0,14.657547285461396,25.315094570922792,67.0,0.0007471427300250489,5.0973243713573324e-05,1.0,0.3333333333333333,650,2,3,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,3,6,personnel,Base,F,42.0,19.619204840490532,6.0,25.619204840490532,47.238409680981064,68.0,0.0033065612511905913,0.00012906572517678812,3.0,1.0,200,5,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,4,Idle,return,C,Base,67.0,8.657547285461396,2.0,10.657547285461396,10.657547285461396,78.0,0.0,0.0,0.0,0.0,700,3,5,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,6,15,cargo,Base,G,52.0,20.207044855955903,6.0,26.207044855955903,48.41408971191181,79.0,6.35072583219987e-05,2.4232895647357133e-06,100.0,0.2,500,3,4,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,3,Idle,return,F,Base,68.0,19.619204840490532,2.0,21.619204840490532,21.619204840490532,90.0,0.0,0.0,0.0,0.0,500,5,3,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,Greedy-Density-Operational,6,Idle,return,G,Base,79.0,20.207044855955903,2.0,22.207044855955903,22.207044855955903,102.0,0.0,0.0,0.0,0.0,600,3,4,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,3,20,medical,Base,B,0.0,7.94870594991664,6.0,13.94870594991664,,14.0,0.08285450826268759,,3.0,1.0,150,2,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,5,4,medical,Base,C,0.0,10.655442812875565,6.0,16.655442812875563,,17.0,0.027386741770513597,,1.0,0.3333333333333333,400,3,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,4,1,medical,Base,E,0.0,13.650206042400972,6.0,19.650206042400974,,20.0,0.09448818897637795,,3.0,1.0,300,0,2,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,3,Idle,return,B,Base,14.0,7.94870594991664,2.0,9.94870594991664,,24.0,0.0,,0.0,0.0,500,5,3,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,1,19,personnel,Base,F,0.0,18.965231345807513,6.0,24.965231345807513,,25.0,0.03931304098153708,,2.0,0.6666666666666666,600,4,2,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,6,6,personnel,Base,F,0.0,18.353449689491143,6.0,24.353449689491143,,25.0,0.06218464169093225,,3.0,1.0,300,3,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,5,14,cargo,C,B,17.0,3.970303969404289,6.0,9.97030396940429,,27.0,0.023587824588922248,,300.0,0.6,100,3,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,2,5,personnel,Base,G,0.0,23.200681130912333,6.0,29.200681130912333,,30.0,0.049792241970177765,,3.0,1.0,300,2,3,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,1,9,medical,F,F,25.0,0.0,6.0,6.0,,31.0,0.08323866210439326,,3.0,1.0,100,1,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,6,8,medical,F,F,25.0,0.0,6.0,6.0,,31.0,0.06299212598425197,,2.0,0.6666666666666666,100,1,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,4,13,personnel,E,F,20.0,5.209666496043676,6.0,11.209666496043676,,32.0,0.047244094488188976,,2.0,0.6666666666666666,200,0,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,3,12,medical,Base,A,24.0,3.903716330506181,6.0,9.903716330506182,,34.0,0.06299212598425197,,2.0,0.6666666666666666,400,3,2,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,4,7,cargo,F,F,32.0,0.0,6.0,6.0,,38.0,0.011325858669973534,,150.0,0.3,50,0,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,5,Idle,return,B,Base,27.0,8.865864328753174,2.0,10.865864328753174,,38.0,0.0,,0.0,0.0,450,4,2,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,2,2,personnel,G,F,30.0,4.72450925010429,6.0,10.72450925010429,,41.0,0.03874511699185475,,2.0,0.6666666666666666,150,2,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,1,15,cargo,F,G,31.0,4.25205832509386,6.0,10.25205832509386,,42.0,0.0035481101525604857,,100.0,0.2,0,1,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,6,16,cargo,F,D,31.0,5.636214107830078,6.0,11.636214107830078,,43.0,0.005831856539763359,,100.0,0.2,0,1,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,3,3,medical,A,D,34.0,9.870505193277156,6.0,15.870505193277156,,50.0,0.04162478254530294,,2.0,0.6666666666666666,100,1,0,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,4,Idle,return,F,Base,38.0,17.779904386694547,2.0,19.779904386694547,,58.0,0.0,,0.0,0.0,700,3,5,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,6,Idle,return,D,Base,43.0,12.885148627427023,2.0,14.885148627427023,,58.0,0.0,,0.0,0.0,600,3,4,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,5,10,personnel,Base,E,38.0,16.80025359064735,6.0,22.80025359064735,,61.0,0.004608048442151662,,1.0,0.3333333333333333,250,4,1,Task Executed
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,1,Idle,return,G,Base,42.0,20.8806130178211,2.0,22.8806130178211,,65.0,0.0,,0.0,0.0,650,4,4,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,2,Idle,return,F,Base,41.0,21.072479273119463,2.0,23.072479273119463,,65.0,0.0,,0.0,0.0,800,2,6,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,3,Idle,return,D,Base,50.0,13.773779567249576,2.0,15.773779567249576,,66.0,0.0,,0.0,0.0,500,5,3,Return/Recovery
20260825_195505-0400,20260825_195505-0400-0001,1,150,B6x7_stress_T20_S1,HiGHS-600s,6,18,medical,Base,E,58.0,14.090535269575197,6.0,20.0905352695752,,79.0,0.0011050552304386213,,2.0,0.6666666666666666,200,1,1,Task Executed
