Execution ID,Run ID,Run Correlative,Run Total,Scenario,Method,Helo ID,Task ID,Task Class,Start Node,Node,Start Time,Flight Time,Service Time,Total Task Time,Cycle Time Proxy,Completion Time,Benefit,Selection Score,Raw Impact,Normalized Impact,Remaining Load,Remaining Medical,Remaining Personnel,Status
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,1,48,medical,Base,A,0.0,3.7735924528226414,6.0,9.77359245282264,15.547184905645281,10.0,0.032327586206896554,0.032327586206896554,3.0,1.0,550,1,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,1,43,personnel,A,B,10.0,3.9597979746446663,6.0,9.959797974644665,19.643547059564085,20.0,0.016163793103448277,0.016163793103448277,2.0,0.6666666666666666,150,1,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,3,40,medical,Base,D,0.0,13.773779567249576,6.0,19.773779567249576,35.54755913449915,20.0,0.032327586206896554,0.032327586206896554,3.0,1.0,150,2,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,4,1,medical,Base,E,0.0,13.650206042400972,6.0,19.650206042400974,35.30041208480195,20.0,0.032327586206896554,0.032327586206896554,3.0,1.0,300,0,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,2,35,personnel,Base,D,0.0,14.79405953519399,6.0,20.794059535193988,37.588119070387975,21.0,0.022736886518253688,0.022736886518253688,3.0,1.0,400,2,3,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,6,9,medical,Base,F,0.0,18.353449689491143,6.0,24.353449689491143,44.706899378982285,25.0,0.03132229652327579,0.03132229652327579,3.0,1.0,100,0,3,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,2,3,medical,D,D,21.0,0.0,6.0,6.0,22.794059535193988,27.0,0.021551724137931032,0.021551724137931032,2.0,0.6666666666666666,100,0,1,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,5,52,medical,Base,F,0.0,21.882959245162517,6.0,27.882959245162517,51.765918490325035,28.0,0.032327586206896554,0.032327586206896554,3.0,1.0,400,1,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,4,13,personnel,E,F,20.0,5.209666496043676,6.0,11.209666496043676,30.98957088273822,32.0,0.016163793103448277,0.016163793103448277,2.0,0.6666666666666666,200,0,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,5,2,personnel,F,F,28.0,0.0,6.0,6.0,29.882959245162517,34.0,0.015486601349565848,0.015486601349565848,2.0,0.6666666666666666,250,1,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,3,12,medical,D,A,20.0,9.870505193277156,6.0,15.870505193277156,21.774221523783336,36.0,0.020910823044173917,0.020910823044173917,2.0,0.6666666666666666,50,0,1,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,6,41,personnel,F,G,25.0,4.114895153316639,6.0,10.114895153316638,32.32194000927254,36.0,0.016136333558622873,0.016136333558622873,3.0,1.0,0,0,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,1,7,cargo,B,F,20.0,11.516944039110374,6.0,17.516944039110374,38.48217538491789,38.0,0.003874957034177368,0.003874957034177368,150.0,0.3,0,1,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,2,51,personnel,D,F,27.0,6.471208790471572,6.0,12.471208790471572,35.543688063591034,40.0,0.005189465216448175,0.005189465216448175,1.0,0.3333333333333333,50,0,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,5,38,cargo,F,F,34.0,0.0,6.0,6.0,29.882959245162517,40.0,0.005546665372642454,0.005546665372642454,250.0,0.5,0,1,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,3,Idle,return,A,Base,36.0,3.903716330506181,2.0,5.903716330506181,5.903716330506181,42.0,0.0,0.0,0.0,0.0,500,5,3,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,4,16,cargo,F,D,32.0,5.460082416960388,6.0,11.460082416960388,25.942570149780316,44.0,0.0018700226231611657,0.0018700226231611657,100.0,0.2,100,0,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,3,46,cargo,Base,B,42.0,7.94870594991664,6.0,13.94870594991664,23.89741189983328,56.0,0.006845332990283946,0.006845332990283946,450.0,0.9,50,5,3,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,4,54,cargo,D,F,44.0,5.460082416960388,6.0,11.460082416960388,31.239986803654936,56.0,0.0003380401795813187,0.0003380401795813187,100.0,0.2,0,0,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,1,Idle,return,F,Base,38.0,18.965231345807513,2.0,20.965231345807513,20.965231345807513,59.0,0.0,0.0,0.0,0.0,650,4,4,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,6,Idle,return,G,Base,36.0,20.207044855955903,2.0,22.207044855955903,22.207044855955903,59.0,0.0,0.0,0.0,0.0,600,3,4,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,2,Idle,return,F,Base,40.0,21.072479273119463,2.0,23.072479273119463,23.072479273119463,64.0,0.0,0.0,0.0,0.0,800,2,6,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,5,Idle,return,F,Base,40.0,21.882959245162517,2.0,23.882959245162517,23.882959245162517,64.0,0.0,0.0,0.0,0.0,450,4,2,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,3,28,medical,B,A,56.0,4.096342732391034,6.0,10.096342732391033,16.000059062897215,67.0,0.0010397380876073722,0.0010397380876073722,2.0,0.6666666666666666,0,3,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,1,27,personnel,Base,A,59.0,3.7735924528226414,6.0,9.77359245282264,15.547184905645281,69.0,0.002297771859444767,0.002297771859444767,1.0,0.3333333333333333,400,4,3,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,6,31,medical,Base,A,59.0,3.651863664021911,6.0,9.65186366402191,15.30372732804382,69.0,0.0011830202907187669,0.0011830202907187669,2.0,0.6666666666666666,300,1,3,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,3,Idle,return,A,Base,67.0,3.903716330506181,2.0,5.903716330506181,5.903716330506181,73.0,0.0,0.0,0.0,0.0,500,5,3,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,4,Idle,return,F,Base,56.0,17.779904386694547,2.0,19.779904386694547,19.779904386694547,76.0,0.0,0.0,0.0,0.0,700,3,5,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,2,37,cargo,Base,B,64.0,8.537498983243799,6.0,14.537498983243799,25.074997966487597,79.0,0.000214450158196354,0.000214450158196354,450.0,0.9,350,2,6,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,1,18,medical,A,E,69.0,10.983624174196786,6.0,16.983624174196784,33.543843952757825,86.0,0.0001411544558633221,0.0001411544558633221,2.0,0.6666666666666666,0,2,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,6,10,personnel,A,E,69.0,10.629313716964631,6.0,16.62931371696463,32.71984898653983,86.0,0.00012513415866057833,0.00012513415866057833,1.0,0.3333333333333333,100,1,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,2,Idle,return,B,Base,79.0,8.537498983243799,2.0,10.537498983243799,10.537498983243799,90.0,0.0,0.0,0.0,0.0,800,2,6,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,5,53,cargo,Base,G,64.0,24.093015020562806,6.0,30.093015020562806,56.18603004112561,95.0,0.00012486364741203835,0.00012486364741203835,350.0,0.7,100,4,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,1,Idle,return,E,Base,86.0,14.560219778561038,2.0,16.560219778561038,16.560219778561038,103.0,0.0,0.0,0.0,0.0,650,4,4,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,6,Idle,return,E,Base,86.0,14.090535269575197,2.0,16.0905352695752,16.0905352695752,103.0,0.0,0.0,0.0,0.0,600,3,4,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Benefit,5,Idle,return,G,Base,95.0,24.093015020562806,2.0,26.093015020562806,26.093015020562806,122.0,0.0,0.0,0.0,0.0,450,4,2,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,1,48,medical,Base,A,0.0,3.7735924528226414,6.0,9.77359245282264,15.547184905645281,10.0,0.032327586206896554,0.0033076462276222965,3.0,1.0,550,1,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,3,28,medical,Base,A,0.0,3.903716330506181,6.0,9.903716330506182,15.807432661012363,10.0,0.021551724137931032,0.0021761249432746543,2.0,0.6666666666666666,450,3,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,4,31,medical,Base,A,0.0,3.5377429245212264,6.0,9.537742924521226,15.075485849042451,10.0,0.021551724137931032,0.0022596251868481645,2.0,0.6666666666666666,400,1,4,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,6,58,medical,Base,A,0.0,3.651863664021911,6.0,9.65186366402191,15.30372732804382,10.0,0.021551724137931032,0.002232908056737975,2.0,0.6666666666666666,100,1,1,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,2,12,medical,Base,A,0.0,4.192880503136268,6.0,10.19288050313627,16.38576100627254,11.0,0.021551724137931032,0.0021143899539781455,2.0,0.6666666666666666,700,0,5,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,5,57,personnel,Base,A,0.0,4.354145137872279,6.0,10.35414513787228,16.70829027574456,11.0,0.016163793103448277,0.0015610939279116429,2.0,0.6666666666666666,0,4,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,1,32,cargo,A,A,10.0,0.0,6.0,6.0,11.77359245282264,16.0,0.010541289051984036,0.001756881508664006,350.0,0.7,200,1,2,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,5,Idle,return,A,Base,11.0,4.354145137872279,2.0,6.354145137872279,6.354145137872279,18.0,0.0,0.0,0.0,0.0,450,4,2,Return/Recovery
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,2,37,cargo,A,B,11.0,4.399775527382962,6.0,10.399775527382962,20.93727451062676,22.0,0.014547413793103448,0.001398819979796642,450.0,0.9,250,0,5,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,4,35,personnel,A,D,10.0,8.945145331407423,6.0,14.945145331407423,29.42763306422735,25.0,0.019256031403242422,0.0012884472500093802,3.0,1.0,0,1,1,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,3,40,medical,A,D,10.0,9.870505193277156,6.0,15.870505193277156,31.64428476052673,26.0,0.032327586206896554,0.002036960122768538,3.0,1.0,100,0,1,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,6,51,personnel,A,F,10.0,14.714769916450228,6.0,20.71476991645023,41.06821960594137,31.0,0.00687505909269837,0.00033189164641595544,1.0,0.3333333333333333,50,1,0,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,3,16,cargo,D,D,26.0,0.0,6.0,6.0,21.773779567249576,32.0,0.0031544241533686926,0.0005257373588947821,100.0,0.2,0,0,1,Task Executed
20260825_140840-0400,20260825_140840-0400-0001,1,1,B6x7_stress_T60_S1,Greedy-Density-Operational,5,46,cargo,Base,B,18.0,8.865864328753174,6.0,14.865864328753174,25.73172865750635,33.0,0.014137679017427272,0.0009510162816488601,450.0,0.9,0,4,2,Task Executed
