Execution ID,Run ID,Run Correlative,Run Total,Scenario,Method,Helo ID,Task ID,Task Class,Start Node,Node,Start Time,Flight Time,Service Time,Total Task Time,Cycle Time Proxy,Completion Time,Benefit,Selection Score,Raw Impact,Normalized Impact,Remaining Load,Remaining Medical,Remaining Personnel,Status
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,4,3,medical,Base,A,0.0,4.192627457812106,6.0,10.192627457812106,16.385254915624213,11.0,0.021551724137931032,0.021551724137931032,2.0,0.6666666666666666,100,1,1,Task Executed
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,1,1,medical,Base,B,0.0,10.0,6.0,16.0,28.0,16.0,0.032327586206896554,0.032327586206896554,3.0,1.0,0,0,0,Task Executed
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,5,21,medical,Base,B,0.0,11.538461538461538,6.0,17.53846153846154,31.07692307692308,18.0,0.030040291666814697,0.030040291666814697,3.0,1.0,50,0,3,Task Executed
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,8,12,medical,Base,B,0.0,11.11111111111111,6.0,17.11111111111111,30.22222222222222,18.0,0.021551724137931032,0.021551724137931032,2.0,0.6666666666666666,600,0,4,Task Executed
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,2,23,medical,Base,B,0.0,12.5,6.0,18.5,33.0,19.0,0.032327586206896554,0.032327586206896554,3.0,1.0,450,0,0,Task Executed
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,2,42,cargo,B,B,19.0,0.0,6.0,6.0,20.5,25.0,0.006124974776398657,0.006124974776398657,350.0,0.7,100,0,0,Task Executed
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,1,Idle,return,B,Base,16.0,10.0,2.0,12.0,12.0,28.0,0.0,0.0,0.0,0.0,400,3,3,Return/Recovery
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,2,16,cargo,B,B,25.0,0.0,6.0,6.0,20.5,31.0,0.003232758620689655,0.003232758620689655,100.0,0.2,0,0,0,Task Executed
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,4,51,personnel,A,E,11.0,15.461646096066227,6.0,21.461646096066225,43.0372208002735,33.0,0.00655937835210903,0.00655937835210903,1.0,0.3333333333333333,50,1,0,Task Executed
20260825_090536-0400,20260825_090536-0400-0001,1,1,C8x8_T60_S1,Greedy-Benefit,7,40,medical,Base,F,0.0,26.896551724137932,6.0,32.896551724137936,61.79310344827587,33.0,0.03093040059547022,0.03093040059547022,3.0,1.0,300,1,1,Task Executed
