Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros
6helos_7areas_T20_S1,20,Greedy,0.5784414837953291,0.18931043386112215,18,0.9,18,0.9,15,0.75,36.833333333333336,86.0,104.0,267.4523448277301,443.8292950024402,0.42860952696751614,0.7112648958372438,159.4523448277301,156.37695017471006,315.8292950024402,20.0,335.8292950024402,0.5773502691896257,0.09259259259259256,16.507421111515065,0.12482253911829755,0.0017840862274169922,False,,,,
6helos_7areas_T20_S1,20,Exact-HiGHS,0.7135178593087217,1.089189439477439e-15,20,1.0,20,1.0,18,0.9,35.3,84.0,99.0,272.02266108253286,421.89857668451435,0.457950607883052,0.7102669641153441,152.0226610825329,129.8759156019815,281.8985766845144,20.0,301.8985766845144,0.9428090415820634,0.1333333333333333,16.46815420747556,0.13079241161634192,5.994286775588989,True,0.0,25894.0,8644.0,69064.0
6helos_7areas_T20_S2,20,Greedy,0.6155659898750795,0.15703263529284295,18,0.9,18,0.9,16,0.8,34.666666666666664,80.0,104.0,282.0968174549791,463.14544796695054,0.45207823310092804,0.7422202691778054,174.0968174549791,161.04863051197148,335.14544796695054,20.0,355.14544796695054,0.5773502691896257,0.09259259259259256,15.758122929296924,0.11489243823436428,0.0004458427429199219,False,,,,
6helos_7areas_T20_S2,20,Exact-HiGHS,0.7302370360315432,6.841619041898833e-15,18,0.9,18,0.9,18,0.9,29.444444444444443,64.0,76.0,235.3740950618917,380.297334583882,0.5161712611006397,0.8339853828593903,127.3740950618917,126.92323952199028,254.297334583882,18.0,272.297334583882,0.5773502691896257,0.09259259259259256,7.901694723754754,0.06875551951575061,9.52612566947937,True,0.0,27217.0,8827.0,72850.0
6helos_7areas_T20_S3,20,Greedy,0.6044214224725247,0.19803028272246195,18,0.9,18,0.9,15,0.75,38.333333333333336,79.0,98.0,291.932613990998,481.14717630157327,0.49648403739965646,0.8182775107169613,183.93261399099802,167.21456231057525,351.14717630157327,22.0,373.14717630157327,0.5773502691896257,0.09259259259259256,15.322658285492132,0.09983755246656771,0.00034618377685546875,False,,,,
6helos_7areas_T20_S3,20,Exact-HiGHS,0.7536711292844893,0.0,19,0.95,19,0.95,18,0.9,30.68421052631579,75.0,93.0,246.57393075074208,390.8683741367332,0.44188876478627614,0.7004809572342889,132.57393075074208,126.29444338599117,258.8683741367332,18.0,276.8683741367332,0.6871842709362768,0.11403508771929823,11.617656927967289,0.08723949752422033,4.619232892990112,True,0.0,30209.0,10033.0,80620.0
6helos_7areas_T20_S4,20,Greedy,0.6105494171849878,0.1740900047470598,18,0.9,18,0.9,16,0.8,36.5,78.0,104.0,277.3748527837624,451.2153769782661,0.44451098202526024,0.7231015656702982,169.37485278376238,153.8405241945037,323.2153769782661,20.0,343.2153769782661,0.816496580927726,0.14814814814814822,13.275752542235493,0.09299355656552659,0.00043487548828125,False,,,,
6helos_7areas_T20_S4,20,Exact-HiGHS,0.739244494792684,0.0,19,0.95,19,0.95,19,0.95,31.36842105263158,68.0,90.0,252.93517438514456,409.1093935257,0.46839847108360105,0.7576099880105556,138.93517438514456,138.17421914055544,277.1093935257,18.0,295.1093935257,0.8975274678557507,0.1315789473684211,11.784755612543941,0.09186973953610138,6.521843194961548,True,0.0,29433.0,9888.0,78437.0
6helos_7areas_T20_S5,20,Greedy,0.5621511440747129,0.2092688008075381,17,0.85,17,0.85,14,0.7,36.23529411764706,82.0,106.0,263.7215508754806,443.16514393653574,0.41465652653377455,0.6968005407807166,161.7215508754806,159.44359306105514,321.16514393653574,20.0,341.16514393653574,0.6871842709362768,0.12745098039215685,15.760435977307726,0.11203343631517566,0.00035119056701660156,False,,,,
6helos_7areas_T20_S5,20,Exact-HiGHS,0.710925716158427,1.5616582708871195e-16,18,0.9,18,0.9,17,0.85,29.833333333333332,77.0,104.0,240.1890107758269,374.6384908472879,0.3849182864997226,0.6003821968706538,132.1890107758269,118.44948007146107,250.63849084728795,16.0,266.6384908472879,0.5773502691896257,0.09259259259259256,17.71376396739384,0.12974923307785943,3.9031708240509033,True,0.0,25495.0,8369.0,68142.0
