Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros,Solver Message
6helos_7areas_T20_S1,20,Greedy,0.630530798226962,0.1535931682491004,16.0,0.8,16.0,0.8,15.0,0.75,31.1875,79.0,100.0,237.83274017213995,376.8237530418636,0.3963879002868999,0.628039588403106,141.83274017213995,124.99101286972363,266.8237530418636,14.0,280.8237530418636,0.4714045207910317,0.08333333333333333,15.242634485461162,0.10398616275600103,0.0007281303405761719,False,,,,,
6helos_7areas_T20_S1,20,Exact-HiGHS,0.7449500341610302,0.0,19.0,0.95,19.0,0.95,19.0,0.95,33.473684210526315,69.0,90.0,256.85513783380736,409.3098998985901,0.4756576626551988,0.7579812961085002,142.8551378338074,134.45476206478276,277.3098998985902,18.0,295.3098998985902,0.3726779962499649,0.04385964912280708,10.582048000508935,0.08226192487315738,83.46316385269165,True,0.0,217540.0,71293.0,581353.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T20_S2,20,Greedy,0.6035749392691796,0.13579998075186,17.0,0.85,17.0,0.85,17.0,0.85,31.823529411764707,62.0,84.0,246.57953795691904,412.9376195745148,0.489245114993887,0.819320673758958,144.57953795691904,144.3580816175958,288.9376195745148,22.0,310.9376195745148,0.8975274678557507,0.16666666666666666,11.437165800735782,0.0925604705547564,0.0005340576171875,False,,,,,
6helos_7areas_T20_S2,20,Exact-HiGHS,0.6984204186830414,2.0665059230859876e-15,19.0,0.95,19.0,0.95,17.0,0.85,34.26315789473684,74.0,100.0,276.6961815762734,461.94131304724306,0.46116030262712226,0.7699021884120718,162.69618157627337,161.24513147096965,323.94131304724306,24.0,347.94131304724306,0.6871842709362768,0.11403508771929823,14.77891240563092,0.10619241592390338,5.53693699836731,True,0.0,34572.0,14891.0,88851.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T20_S3,20,Greedy,0.7394357049044933,0.12693509069418135,20.0,1.0,20.0,1.0,19.0,0.95,28.6,68.0,89.0,250.59037499607908,400.3168636442116,0.4692703651611968,0.7496570480228681,130.59037499607908,129.7264886481325,260.3168636442116,20.0,280.3168636442116,0.7453559924999298,0.08333333333333333,12.061722175276994,0.09927674557969457,0.0003151893615722656,False,,,,,
6helos_7areas_T20_S3,20,Exact-HiGHS,0.8469424174789465,1.3335379827965002e-12,19.0,0.95,19.0,0.95,19.0,0.95,25.894736842105264,61.0,82.0,208.36888396766972,319.3475797836722,0.42351399180420674,0.6490804467147808,94.3688839676697,90.97869581600249,185.3475797836722,20.0,205.3475797836722,0.8975274678557507,0.1491228070175438,13.538184020333347,0.1272839537488172,11.312734127044678,True,0.0,62571.0,22727.0,165012.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T20_S4,20,Greedy,0.6428833073959566,0.19522344042351694,18.0,0.9,18.0,0.9,15.0,0.75,36.388888888888886,76.0,98.0,273.3399986294246,458.87299693237253,0.4648639432473207,0.7803962532863479,165.33999862942463,163.53299830294796,328.8729969323726,22.0,350.8729969323726,0.5773502691896257,0.09259259259259256,15.559727180225652,0.11429656985141001,0.0003840923309326172,False,,,,,
6helos_7areas_T20_S4,20,Exact-HiGHS,0.798834533319752,1.8067445407182853e-15,19.0,0.95,19.0,0.95,17.0,0.85,31.94736842105263,72.0,98.0,245.99313553040375,396.09630897356317,0.4183556726707547,0.673633178526468,131.99313553040375,130.10317344315942,262.09630897356317,20.0,282.09630897356317,0.6871842709362768,0.11403508771929823,15.682927560969032,0.12683869164182804,22.414402961730957,True,0.0,65276.0,22396.0,173458.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T20_S5,20,Greedy,0.5733406377453507,0.18394703453378786,16.0,0.8,16.0,0.8,15.0,0.75,32.6875,66.0,88.0,252.74020318451028,391.41029374230266,0.47867462724339066,0.7413073745119368,156.74020318451028,120.67009055779235,277.41029374230266,18.0,295.41029374230266,0.7453559924999298,0.14583333333333334,11.171069974918899,0.09048542380874187,0.0003609657287597656,False,,,,,
6helos_7areas_T20_S5,20,Exact-HiGHS,0.7025777271917645,-1.5802138064677473e-16,18.0,0.9,18.0,0.9,17.0,0.85,31.833333333333332,71.0,86.0,252.3608185743062,410.88588761285666,0.4890713538261748,0.7962904798698772,144.3608185743062,140.5250690385505,284.88588761285666,18.0,302.88588761285666,0.816496580927726,0.14814814814814822,9.279214250666683,0.07298830678098274,10.935264825820923,True,0.0,50145.0,20008.0,130453.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6helos_7areas_T20_S6,20,Greedy,0.610492328331093,0.12162361077240728,16.0,0.8,16.0,0.8,16.0,0.8,33.0625,79.0,106.0,258.3385814481222,422.6172450846025,0.40619273812597834,0.6644925237179284,162.33858144812223,142.27866363648022,304.6172450846025,22.0,326.6172450846025,0.4714045207910317,0.08333333333333333,15.715113066341294,0.11419345580921474,0.00038695335388183594,False,,,,,
6helos_7areas_T20_S6,20,Exact-HiGHS,0.6950236092614477,1.5287012130352496e-13,17.0,0.85,17.0,0.85,16.0,0.8,33.529411764705884,83.0,106.0,244.7685067257509,397.3405323620369,0.38485614265055174,0.6247492647201839,142.7685067257509,130.57202563628599,273.3405323620369,22.0,295.3405323620369,0.6871842709362768,0.12745098039215685,21.737822860921227,0.1731852440257602,4.013829946517944,True,0.0,18771.0,8822.0,47517.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
