Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros
6helos_7areas_T20_S1,20,Greedy,0.6142218130058903,0.09583544750423888,17,0.85,17,0.85,15,0.75,33.0,82.0,103.0,259.04505933124994,429.34751782205194,0.4191667626719255,0.694737083854453,157.04505933124997,152.302458490802,309.34751782205194,18.0,327.34751782205194,0.8975274678557507,0.16666666666666666,17.191770971141406,0.13168587168860046,0.00025010108947753906,False,,,,
6helos_7areas_T20_S1,20,Exact-HiGHS,0.6793252525886518,3.268605194329263e-15,19,0.95,19,0.95,18,0.9,30.105263157894736,72.0,72.0,257.82649420224936,333.36281591368777,0.5968205884311328,0.7716731849853884,143.82649420224936,65.53632171143839,209.36281591368777,10.0,219.36281591368777,0.6871842709362768,0.11403508771929823,12.644366297273786,0.12165007407522681,17.358448266983032,True,0.0,83317.0,26053.0,198469.0
6helos_7areas_T20_S2,20,Greedy,0.6170661533372921,0.1289757540276638,18,0.9,18,0.9,15,0.75,32.77777777777778,80.0,97.0,265.0606512202633,441.1979352846938,0.45543067219976513,0.7580720537537694,157.0606512202633,156.13728406443053,313.1979352846938,20.0,333.1979352846938,0.816496580927726,0.14814814814814822,18.668937343648704,0.13936406117910138,0.00018715858459472656,False,,,,
6helos_7areas_T20_S2,20,Exact-HiGHS,0.7084374013589587,6.111859407383516e-15,19,0.95,19,0.95,18,0.9,30.57894736842105,70.0,75.0,243.2593227229963,329.0571602692098,0.5405762727177695,0.7312381339315773,129.2593227229963,73.79783754621353,203.05716026920982,12.0,215.05716026920982,0.8975274678557507,0.1491228070175438,13.333731876522108,0.13638649802421643,28.24445104598999,True,0.0,108125.0,33437.0,258098.0
6helos_7areas_T20_S3,20,Greedy,0.6370615807241665,0.13554006136066746,17,0.85,17,0.85,16,0.8,28.647058823529413,66.0,87.0,229.67588760020703,369.2870484651126,0.43999212183947706,0.7074464529983,127.67588760020702,119.61116086490559,247.2870484651126,20.0,267.2870484651126,0.6871842709362768,0.12745098039215685,16.50626480906483,0.1508386289848218,0.0002110004425048828,False,,,,
6helos_7areas_T20_S3,20,Exact-HiGHS,0.7369474885405414,-1.5065157855736155e-16,19,0.95,19,0.95,18,0.9,29.0,75.0,96.0,242.94440004198844,389.6219447837876,0.42177847229511883,0.6764269874718535,128.94440004198844,126.67754474179918,255.62194478378763,20.0,275.6219447837876,0.6871842709362768,0.11403508771929823,15.126469041716902,0.12574360231059498,9.156163692474365,True,0.0,51897.0,16698.0,122908.0
6helos_7areas_T20_S4,20,Greedy,0.6067532039965188,0.1513368166232135,15,0.75,15,0.75,14,0.7,29.333333333333332,69.0,92.0,232.5640070649195,359.67984982512115,0.42131160700166576,0.6515939308426107,142.5640070649195,113.11584276020164,255.67984982512115,14.0,269.67984982512115,0.5,0.09999999999999994,16.93934032879561,0.1541184136069842,0.00018715858459472656,False,,,,
6helos_7areas_T20_S4,20,Exact-HiGHS,0.7149517215796721,4.658592983756188e-16,19,0.95,19,0.95,17,0.85,34.21052631578947,91.0,114.0,272.30538929425796,339.05565716644924,0.3981072942898508,0.4956954052141071,158.30538929425796,58.75026787219126,217.05565716644924,8.0,225.05565716644924,0.8975274678557507,0.1491228070175438,27.98987354961046,0.2540090377748207,11.586229085922241,True,0.0,67749.0,21401.0,161034.0
6helos_7areas_T20_S5,20,Greedy,0.5677938764463474,0.1981942448715627,18,0.9,18,0.9,15,0.75,35.833333333333336,82.0,103.0,284.4794123668325,479.1528801251077,0.46032267373273866,0.7753282849920836,176.4794123668325,172.6734677582752,349.1528801251077,22.0,371.1528801251077,0.816496580927726,0.14814814814814822,18.854372438712367,0.1292703738015438,0.00020194053649902344,False,,,,
6helos_7areas_T20_S5,20,Exact-HiGHS,0.7081439273972214,1.7245721947745137e-15,19,0.95,19,0.95,17,0.85,32.10526315789474,86.0,113.0,260.90464784197854,335.27966575741146,0.3848151148111778,0.4945127813531143,146.90464784197854,64.3750179154329,211.27966575741146,10.0,221.27966575741146,1.0671873729054748,0.18421052631578952,26.581976015229632,0.23873702541992245,19.900570154190063,True,0.0,89149.0,28450.0,211145.0
6helos_7areas_T20_S6,20,Greedy,0.5228737602927926,0.15741552492880254,15,0.75,15,0.75,12,0.6,32.93333333333333,92.0,116.0,232.97649290499677,392.8680208045845,0.3347363403807425,0.5644655471330237,142.97649290499677,141.89152789958771,284.8680208045845,18.0,302.8680208045845,0.9574271077563381,0.2111111111111111,31.920639063746993,0.27286813798652637,0.00019121170043945312,False,,,,
6helos_7areas_T20_S6,20,Exact-HiGHS,0.6205594522123261,0.0,17,0.85,17,0.85,15,0.75,34.529411764705884,80.0,102.0,260.2627176550119,376.83426201685256,0.4252658785212613,0.6157422581974715,158.2627176550119,102.5715443618407,260.83426201685256,14.0,274.83426201685256,0.6871842709362768,0.12745098039215685,28.686729740656677,0.24925151469700454,2.0421512126922607,True,0.0,14462.0,4947.0,34008.0
6helos_7areas_T20_S7,20,Greedy,0.5931141998407131,0.11219651037898422,17,0.85,17,0.85,14,0.7,35.88235294117647,88.0,107.0,277.860503247917,467.6234907107073,0.4328045221930171,0.7283854995493884,175.86050324791697,169.76298746279028,345.62349071070724,20.0,365.62349071070724,0.3726779962499649,0.049019607843137226,19.18011638165528,0.13512789001363,0.00018095970153808594,False,,,,
6helos_7areas_T20_S7,20,Exact-HiGHS,0.6680692369140168,-1.6618382695685282e-16,18,0.9,18,0.9,16,0.8,34.111111111111114,84.0,101.0,260.8467151852451,377.2115949758195,0.4304401240680612,0.6224613778478869,152.84671518524507,102.36487979057435,255.21159497581942,14.0,269.2115949758194,0.5773502691896257,0.09259259259259256,22.78634126221804,0.19924531308867888,6.519432067871094,True,0.0,36101.0,11479.0,85946.0
6helos_7areas_T20_S8,20,Greedy,0.6053270630163354,0.14317409137618856,16,0.8,16,0.8,15,0.75,27.8125,66.0,87.0,218.96057650342289,355.14961906161716,0.4194647059452546,0.6803632549073125,122.96057650342289,118.1890425581943,241.1496190616172,18.0,259.14961906161716,0.4714045207910317,0.08333333333333333,13.496452200838219,0.12122357581365728,0.000225067138671875,False,,,,
6helos_7areas_T20_S8,20,Exact-HiGHS,0.7064761428474775,-1.5714940070734205e-16,19,0.95,19,0.95,18,0.9,29.157894736842106,72.0,96.0,236.15809031658952,321.9405984329552,0.40999668457741234,0.5589246500572139,122.15809031658952,73.78250811636566,195.9405984329552,12.0,207.9405984329552,0.6871842709362768,0.11403508771929823,21.23014388283234,0.20911429911218024,15.446322917938232,True,0.0,68997.0,22181.0,163193.0
6helos_7areas_T20_S9,20,Greedy,0.5814819444309723,0.1069827185983236,18,0.9,18,0.9,16,0.8,36.27777777777778,91.0,118.0,284.69177909257036,471.200490346692,0.4021070326166248,0.6655374157439152,176.69177909257036,166.50871125412164,343.200490346692,20.0,363.200490346692,0.816496580927726,0.14814814814814822,23.82960698290393,0.16801937331469188,0.00018286705017089844,False,,,,
6helos_7areas_T20_S9,20,Exact-HiGHS,0.6511429919007622,-1.7050372014053111e-16,18,0.9,18,0.9,16,0.8,34.22222222222222,85.0,112.0,272.81728155125813,371.4409628010262,0.4059780975465151,0.5527395279777176,164.81728155125813,86.62368124976808,251.44096280102622,12.0,263.4409628010262,0.5773502691896257,0.09259259259259256,27.05672336005736,0.23549414189154336,14.355509042739868,True,0.0,84242.0,26689.0,199959.0
6helos_7areas_T20_S10,20,Greedy,0.6161769151145989,0.10061425355002501,18,0.9,18,0.9,18,0.9,32.833333333333336,79.0,105.0,276.84158184446375,437.448614745401,0.4394310822927996,0.6943628805482556,168.84158184446375,144.60703290093727,313.448614745401,16.0,329.448614745401,0.5773502691896257,0.09259259259259256,15.89389760748833,0.11312160889803187,0.0002009868621826172,False,,,,
6helos_7areas_T20_S10,20,Exact-HiGHS,0.6851086061200675,1.6205066097660233e-16,19,0.95,19,0.95,18,0.9,32.26315789473684,76.0,76.0,259.35576518744966,321.57329797690306,0.5687626429549335,0.7052046008265418,145.35576518744966,54.21753278945343,199.5732979769031,8.0,207.5732979769031,0.6871842709362768,0.11403508771929823,11.566005338841913,0.11744069166637756,33.811194896698,True,0.0,135131.0,42430.0,321123.0
6helos_7areas_T20_S11,20,Greedy,0.6062289282585109,0.1321784774405268,18,0.9,18,0.9,16,0.8,34.388888888888886,83.0,107.0,284.1880186772631,479.63188268547435,0.44266046522938174,0.7470901599462217,176.18801867726307,171.44386400821128,347.63188268547435,24.0,371.63188268547435,0.5773502691896257,0.09259259259259256,17.28997838713299,0.12238753120945549,0.00021219253540039062,False,,,,
6helos_7areas_T20_S11,20,Exact-HiGHS,0.6985640624242143,3.2723544348524896e-13,20,1.0,20,1.0,18,0.9,32.8,77.0,101.0,277.3722500959624,427.89904882110557,0.4577099836567036,0.7061040409589201,157.3722500959624,132.52679872514318,289.89904882110557,18.0,307.89904882110557,0.4714045207910317,0.06666666666666672,22.678940569160833,0.17620066849142532,18.94815731048584,True,0.0,62225.0,19410.0,148484.0
6helos_7areas_T20_S12,20,Greedy,0.6230339646575072,0.16462177714024653,17,0.85,17,0.85,15,0.75,30.941176470588236,80.0,107.0,253.25483129265095,425.71964103076664,0.39447793036238465,0.6631147056553998,151.25483129265095,150.46480973811566,301.71964103076664,22.0,323.71964103076664,0.6871842709362768,0.12745098039215685,21.798151334242775,0.17123888945374302,0.00019216537475585938,False,,,,
6helos_7areas_T20_S12,20,Exact-HiGHS,0.7458106371562706,2.2329187249025404e-15,19,0.95,19,0.95,18,0.9,29.526315789473685,72.0,72.0,232.0345508571031,301.29391391788204,0.5371170158729238,0.6974396155506528,118.0345508571031,57.25936306077894,175.29391391788204,12.0,187.29391391788204,1.0671873729054748,0.18421052631578952,13.01246632877815,0.1448688246213874,16.884999990463257,True,0.0,82261.0,25460.0,196462.0
6helos_7areas_T20_S13,20,Greedy,0.5881450745486706,0.15102082803403238,17,0.85,17,0.85,16,0.8,34.35294117647059,82.0,104.0,285.48221662989897,467.64685609196897,0.45750355229150474,0.7494340642499503,183.48221662989897,164.16463946207003,347.64685609196897,18.0,365.64685609196897,0.3726779962499649,0.049019607843137226,17.72674086652029,0.12530001307726954,0.00018930435180664062,False,,,,
6helos_7areas_T20_S13,20,Exact-HiGHS,0.6927673775396779,0.0,18,0.9,18,0.9,17,0.85,30.11111111111111,64.0,81.0,239.31792316596093,325.17943486553753,0.4924237102180266,0.6690934873776493,131.31792316596093,73.86151169957661,205.17943486553753,12.0,217.17943486553753,0.5773502691896257,0.09259259259259256,15.415318076553369,0.15912174857382233,15.854259967803955,True,0.0,67373.0,21101.0,160477.0
6helos_7areas_T20_S14,20,Greedy,0.5587680290755527,0.18811211436888745,16,0.8,16,0.8,14,0.7,34.4375,82.0,103.0,264.53315989043244,452.62129280737963,0.4280471842887256,0.7323969139277987,168.53315989043242,168.08813291694716,336.6212928073796,20.0,356.6212928073796,0.7453559924999298,0.14583333333333334,19.281183335007825,0.14328443160016904,0.00019478797912597656,False,,,,
6helos_7areas_T20_S14,20,Exact-HiGHS,0.6882329924668633,1.030802824770943e-13,20,1.0,20,1.0,18,0.9,35.6,92.0,116.0,292.0884327301426,440.0121497621179,0.41966728840537726,0.632201364600744,172.0884327301426,131.9237170319753,304.01214976211793,16.0,320.01214976211793,1.1055415967851334,0.18333333333333326,32.135104515097524,0.24182605361566223,9.514411926269531,True,0.0,27200.0,9154.0,63872.0
6helos_7areas_T20_S15,20,Greedy,0.5712537154989731,0.16124274127033014,16,0.8,16,0.8,14,0.7,32.75,76.0,94.0,259.4832852163951,437.79533641650005,0.46007674683757993,0.7762328659867023,163.48328521639505,160.31205120010495,323.7953364165,18.0,341.7953364165,0.7453559924999298,0.14583333333333334,13.086740518655425,0.09927479287157166,0.0001919269561767578,False,,,,
6helos_7areas_T20_S15,20,Exact-HiGHS,0.6810715609950809,3.2602242942079667e-15,18,0.9,18,0.9,18,0.9,29.77777777777778,49.0,56.0,225.61645355411605,283.6947034204493,0.6714775403396311,0.8443294744656229,117.61645355411605,48.078249866333266,165.69470342044931,10.0,175.69470342044931,0.816496580927726,0.14814814814814822,4.425448103649168,0.05164205237846694,26.753013134002686,True,0.0,92445.0,29060.0,219805.0
6helos_7areas_T20_S16,20,Greedy,0.5632108746546057,0.17114579744149688,18,0.9,18,0.9,15,0.75,39.22222222222222,96.0,123.0,302.80854237076994,515.1443648180505,0.41030967800917334,0.6980275946044044,194.80854237076997,188.33582244728052,383.14436481805046,24.0,407.14436481805046,0.5773502691896257,0.09259259259259256,19.449462853997364,0.12451289769243967,0.00018405914306640625,False,,,,
6helos_7areas_T20_S16,20,Exact-HiGHS,0.6795053616378962,0.0,18,0.9,18,0.9,16,0.8,32.44444444444444,89.0,113.0,261.94028134051035,357.0158644723609,0.3863425978473604,0.5265720714931577,153.94028134051035,85.07558313185052,239.01586447236087,10.0,249.01586447236087,0.5773502691896257,0.09259259259259256,27.381858608665674,0.2367845134401212,6.214086055755615,True,0.0,48166.0,15271.0,114521.0
6helos_7areas_T20_S17,20,Greedy,0.6138930872352664,0.10552231997592158,17,0.85,17,0.85,16,0.8,29.88235294117647,65.0,72.0,240.67528999805432,377.5546478508628,0.557118726847348,0.8739690922473676,138.67528999805432,122.87935785280848,261.5546478508628,14.0,275.5546478508628,0.6871842709362768,0.12745098039215685,5.597768827305044,0.049548025252153995,0.00018405914306640625,False,,,,
6helos_7areas_T20_S17,20,Exact-HiGHS,0.6863145955958738,9.05889074456134e-15,18,0.9,18,0.9,17,0.85,31.444444444444443,90.0,112.0,256.74531305171143,333.85594598944397,0.38206147775552296,0.49680944343667255,148.74531305171143,69.1106329377325,217.85594598944394,8.0,225.85594598944394,0.816496580927726,0.14814814814814822,27.08088740730603,0.24938703046827562,29.87748908996582,True,0.0,133421.0,40959.0,318971.0
