Seed,Task ID,Visual,Load,Medical,Personnel,t_opt,t_eff,t_ineff
1,1,True,200,2,1,20.0,40.0,60.0
1,2,False,300,1,2,15.0,30.0,50.0
1,3,True,100,3,0,10.0,25.0,40.0
1,4,False,200,0,3,30.0,50.0,70.0
1,5,True,150,1,1,25.0,45.0,60.0
1,6,True,100,3,0,10.0,25.0,120.0
1,7,False,400,0,3,30.0,50.0,90.0
1,8,True,150,1,1,25.0,45.0,100.0
1,9,True,200,2,1,20.0,40.0,60.0
1,10,False,300,1,2,15.0,30.0,50.0
1,11,True,100,3,0,10.0,25.0,40.0
1,12,False,200,0,3,30.0,50.0,70.0
1,13,True,150,1,1,25.0,45.0,60.0
1,14,True,100,3,0,10.0,25.0,120.0
1,15,False,400,0,3,30.0,50.0,90.0
1,16,True,150,1,1,25.0,45.0,100.0
1,17,True,150,1,1,25.0,45.0,60.0
1,18,True,100,3,0,10.0,25.0,120.0
1,19,False,400,0,3,30.0,50.0,90.0
1,20,True,150,1,1,25.0,45.0,100.0
1,21,True,200,2,1,17.0,40.0,65.0
1,22,False,300,1,2,16.0,25.0,47.0
1,23,True,100,3,0,8.0,24.0,35.0
1,24,False,200,0,3,34.0,46.0,66.0
1,25,True,150,1,1,30.0,43.0,55.0
1,26,True,100,3,0,6.0,22.0,121.0
1,27,False,400,0,3,26.0,45.0,97.0
1,28,True,150,1,1,27.0,40.0,107.0
1,29,True,200,2,1,21.0,39.0,55.0
1,30,False,300,1,2,16.0,29.0,50.0
1,31,True,100,3,0,12.0,28.0,40.0
1,32,False,200,0,3,25.0,52.0,71.0
1,33,True,150,1,1,20.0,42.0,55.0
1,34,True,100,3,0,7.0,26.0,121.0
1,35,False,400,0,3,35.0,49.0,88.0
1,36,True,150,1,1,25.0,44.0,107.0
1,37,True,150,1,1,21.0,44.0,54.0
1,38,True,100,3,0,12.0,21.0,115.0
1,39,False,400,0,3,33.0,52.0,88.0
1,40,True,150,1,1,21.0,41.0,107.0
1,41,True,200,2,1,15.0,40.0,64.0
1,42,False,300,1,2,10.0,30.0,49.0
1,43,True,100,3,0,11.0,22.0,43.0
1,44,False,200,0,3,35.0,47.0,76.0
1,45,True,150,1,1,24.0,47.0,57.0
1,46,True,100,3,0,11.0,20.0,128.0
1,47,False,400,0,3,25.0,52.0,94.0
1,48,True,150,1,1,30.0,42.0,106.0
1,49,True,200,2,1,19.0,37.0,53.0
1,50,False,300,1,2,15.0,34.0,44.0
1,51,True,100,3,0,13.0,23.0,33.0
1,52,False,200,0,3,32.0,54.0,68.0
1,53,True,150,1,1,25.0,50.0,64.0
1,54,True,100,3,0,11.0,20.0,119.0
1,55,False,400,0,3,30.0,50.0,95.0
1,56,True,150,1,1,21.0,46.0,99.0
1,57,True,150,1,1,22.0,47.0,66.0
1,58,True,100,3,0,6.0,25.0,120.0
1,59,False,400,0,3,28.0,47.0,88.0
1,60,True,150,1,1,23.0,44.0,102.0
2,1,True,200,2,1,19.0,43.0,64.0
2,2,False,300,1,2,12.0,25.0,55.0
2,3,True,100,3,0,15.0,24.0,34.0
2,4,False,200,0,3,35.0,47.0,74.0
2,5,True,150,1,1,27.0,50.0,60.0
2,6,True,100,3,0,12.0,29.0,123.0
2,7,False,400,0,3,27.0,53.0,94.0
2,8,True,150,1,1,30.0,45.0,108.0
2,9,True,200,2,1,25.0,37.0,64.0
2,10,False,300,1,2,12.0,29.0,43.0
2,11,True,100,3,0,13.0,29.0,48.0
2,12,False,200,0,3,30.0,46.0,72.0
2,13,True,150,1,1,27.0,50.0,60.0
2,14,True,100,3,0,6.0,25.0,127.0
2,15,False,400,0,3,25.0,55.0,94.0
2,16,True,150,1,1,30.0,42.0,98.0
2,17,True,150,1,1,30.0,44.0,54.0
2,18,True,100,3,0,5.0,26.0,113.0
2,19,False,400,0,3,27.0,48.0,90.0
